N x
1.4372983E+0 1.2724800E+21
1.4266435E+0 1.3037167E+21
1.4164248E+0 1.3512726E+21
1.4063573E+0 1.3892869E+21
1.3965533E+0 1.4009269E+21
1.3865090E+0 1.3946828E+21
1.3764734E+0 1.3899075E+21
1.3662115E+0 1.3920802E+21
1.3560578E+0 1.4386970E+21
1.3463117E+0 1.4052077E+21
1.3355253E+0 1.3923558E+21
1.3254358E+0 1.4159429E+21
1.3148315E+0 1.4011639E+21
1.3043603E+0 1.4202427E+21
1.2938710E+0 1.4101222E+21
1.2830757E+0 1.4192616E+21
1.2725503E+0 1.4183897E+21
1.2615594E+0 1.3994942E+21
1.2505574E+0 1.4092981E+21
1.2395271E+0 1.3715948E+21
1.2277111E+0 1.4011435E+21
1.2169643E+0 1.4256848E+21
1.2053229E+0 1.3947140E+21
1.1938683E+0 1.4011459E+21
1.1821075E+0 1.3985265E+21
1.1703813E+0 1.4021514E+21
1.1584441E+0 1.4021113E+21
1.1464752E+0 1.3918764E+21
1.1341069E+0 1.3890195E+21
1.1218273E+0 1.3715401E+21
1.1088628E+0 1.3801552E+21
1.0964617E+0 1.3896337E+21
1.0833709E+0 1.3799046E+21
1.0704905E+0 1.3785248E+21
1.0570515E+0 1.3647771E+21
1.0435745E+0 1.3747228E+21
1.0299841E+0 1.3659123E+21
1.0159690E+0 1.3654135E+21
1.0019939E+0 1.3751233E+21
9.8778484E-1 1.3518861E+21
9.7290644E-1 1.3457498E+21
9.5812953E-1 1.3601206E+21
9.4310656E-1 1.3574446E+21
9.2779453E-1 1.3438780E+21
9.1195555E-1 1.3458200E+21
8.9615792E-1 1.3488722E+21
8.7982375E-1 1.3412093E+21
8.6324793E-1 1.3421038E+21
8.4630159E-1 1.3324670E+21
8.2880338E-1 1.3420921E+21
8.1139537E-1 1.3599238E+21
