T(K) Nd(cm-3) Mu(cm2/Vs)
228 4.39578E+16 5.43985E+2
247 1.59494E+14 7.25605E+2
251 1.10937E+13 7.04969E+2
479 3.68582E+13 1.63648E+2
320 5.59193E+15 3.87155E+2
236 1.12004E+13 8.04555E+2
261 9.86493E+16 3.75575E+2
236 6.14936E+18 5.41680E+1
403 2.69440E+17 1.72138E+2
326 6.87480E+18 5.86583E+1
283 1.08621E+18 1.43610E+2
450 4.92373E+17 1.30593E+2
216 4.67370E+15 8.57257E+2
411 1.62271E+17 1.81532E+2
251 1.37682E+14 6.94642E+2
225 3.59571E+13 8.96855E+2
440 1.56468E+16 1.90549E+2
494 2.21395E+15 1.51659E+2
404 2.29384E+17 1.76600E+2
254 4.35506E+17 2.22695E+2
465 1.01134E+18 1.06298E+2
264 8.72733E+17 1.60655E+2
377 3.58763E+17 1.76189E+2
348 7.21493E+17 1.54639E+2
468 1.84766E+16 1.66039E+2
418 3.81378E+15 2.19453E+2
497 2.84282E+15 1.49669E+2
207 6.87394E+13 1.07013E+3
269 3.80261E+14 5.92061E+2
332 2.97835E+15 3.62583E+2
466 1.33306E+17 1.49739E+2
434 2.15179E+16 1.93889E+2
392 4.21920E+16 2.29620E+2
473 3.65445E+18 7.16464E+1
237 6.35229E+13 7.93493E+2
491 1.08608E+17 1.38235E+2
211 1.51710E+15 9.70644E+2
247 1.03980E+15 7.05414E+2
391 1.25084E+13 2.59756E+2
202 5.58439E+18 5.18582E+1
398 3.31067E+14 2.47791E+2
305 1.24072E+16 4.09023E+2
496 3.74367E+13 1.51683E+2
302 8.45770E+17 1.57434E+2
359 1.50479E+14 3.13567E+2
282 2.38147E+14 5.34523E+2
273 5.13215E+18 6.47491E+1
221 4.20828E+17 2.32694E+2
263 1.24976E+14 6.26637E+2
384 2.45545E+16 2.47599E+2
247 1.70913E+18 1.13880E+2
318 5.91602E+16 3.21752E+2
473 1.40679E+17 1.44739E+2
217 3.84862E+15 8.70806E+2
392 6.57370E+14 2.56554E+2
460 7.38569E+17 1.16107E+2
459 1.05584E+17 1.57546E+2
260 5.07596E+13 6.49362E+2
374 1.50324E+18 1.13410E+2
343 1.05731E+17 2.59224E+2
213 3.20648E+13 1.01424E+3
285 3.33877E+18 8.25933E+1
487 3.26314E+18 7.28204E+1
352 2.45415E+18 9.54794E+1
257 1.30120E+13 6.65767E+2
418 9.02133E+17 1.23130E+2
277 2.26176E+17 2.74162E+2
273 9.03941E+18 4.72380E+1
241 1.32619E+15 7.36679E+2
339 3.52822E+14 3.55174E+2
268 5.71365E+13 6.03572E+2
344 5.36486E+17 1.72319E+2
339 9.00881E+18 5.15725E+1
238 2.19753E+18 9.81705E+1
476 7.78325E+17 1.09828E+2
448 1.92120E+13 1.90491E+2
333 8.98842E+16 2.79394E+2
500 1.29624E+16 1.45313E+2
220 9.93151E+13 9.42000E+2
456 4.83222E+13 1.83063E+2
299 3.36245E+14 4.71653E+2
448 9.55351E+18 5.07771E+1
421 5.20039E+16 1.96721E+2
207 6.17427E+16 5.40172E+2
479 4.61276E+17 1.20972E+2
317 2.50648E+14 4.13800E+2
306 6.28849E+16 3.37434E+2
337 8.53705E+14 3.57003E+2
351 6.82149E+17 1.56615E+2
482 3.32446E+14 1.61746E+2
494 1.53344E+14 1.52693E+2
348 9.00802E+17 1.42995E+2
493 1.78701E+16 1.48531E+2
322 8.63735E+14 3.95372E+2
481 2.92649E+18 7.60769E+1
222 4.51383E+16 5.58073E+2
338 3.36041E+15 3.49840E+2
335 6.03228E+13 3.66484E+2
420 5.12142E+16 1.97865E+2
480 3.72829E+18 7.04325E+1
221 4.74085E+14 9.07953E+2
288 1.69410E+13 5.14011E+2
291 4.68266E+16 3.84307E+2
385 1.47306E+18 1.12390E+2
232 3.35532E+13 8.36951E+2
321 2.27734E+15 3.94079E+2
369 2.36739E+15 2.90465E+2
283 2.40100E+15 5.14105E+2
343 2.99780E+14 3.46432E+2
483 2.40245E+18 8.05755E+1
281 1.17839E+13 5.43131E+2
299 3.48780E+16 3.83981E+2
347 4.46610E+15 3.27659E+2
226 1.84353E+13 8.86070E+2
264 3.71626E+18 7.62704E+1
463 4.88432E+17 1.25682E+2
480 2.54452E+13 1.63191E+2
228 5.24864E+16 5.19634E+2
405 8.79598E+15 2.30861E+2
491 1.69287E+18 8.76250E+1
341 1.73174E+14 3.52006E+2
269 3.59214E+14 5.93443E+2
289 4.11563E+18 7.42429E+1
406 9.94555E+16 1.98033E+2
303 1.11403E+14 4.57850E+2
351 2.66224E+13 3.30839E+2
227 6.38634E+18 5.17487E+1
499 4.82360E+14 1.49622E+2
323 5.98952E+16 3.12811E+2
254 8.68651E+14 6.67018E+2
491 2.38522E+18 7.96177E+1
338 4.22777E+16 3.02448E+2
338 2.78149E+14 3.58915E+2
246 1.40927E+14 7.31658E+2
331 1.08444E+15 3.72426E+2
424 9.87638E+17 1.18297E+2
461 3.34296E+18 7.51303E+1
228 2.60344E+16 6.17336E+2
392 8.07958E+15 2.48924E+2
479 2.17198E+13 1.63982E+2
369 5.31308E+16 2.51709E+2
327 4.40191E+18 7.33763E+1
424 3.20177E+18 7.99877E+1
392 3.20597E+18 8.26808E+1
285 1.35725E+17 3.12348E+2
236 7.88838E+14 7.79835E+2
388 1.13437E+13 2.63352E+2
499 9.13743E+14 1.49085E+2
251 5.32944E+17 2.03968E+2
288 2.43302E+14 5.11854E+2
448 1.59327E+18 9.75869E+1
309 2.76679E+14 4.37705E+2
398 1.89857E+15 2.45803E+2
