fname V Rs Rt Qt nt Rr Qr nr rmsre
d52bm1V2n1 -1.2 1.8719153E+0 9.3849975E+2 2.6545319E-9 1.0000000E+0 3.5521354E+3 4.3985907E-9 8.6012678E-1 2.5744077E-2
d52bm1Vn1 -1 2.1340759E+0 1.2188213E+3 2.8841738E-9 1.0000000E+0 3.5407122E+3 1.5138219E-9 9.4435886E-1 8.4219208E-3
d52bm0V8n1 -0.8 2.0138864E+0 1.0064694E+3 3.0655936E-9 1.0000000E+0 2.6886147E+3 2.1093244E-9 9.3341354E-1 7.1745363E-3
d52bm0V6n1 -0.6 1.8708183E+0 7.9640711E+2 3.2982141E-9 1.0000000E+0 1.4522177E+3 3.0021644E-9 9.3476018E-1 5.6471932E-3
d52bm0V4n1 -0.4 1.8326713E+0 6.3952838E+2 3.5901197E-9 1.0000000E+0 9.0992616E+2 4.0252539E-9 9.3753597E-1 5.1795130E-3
d52bm0V2n1 -0.2 1.9817251E+0 5.7349047E+2 4.0084796E-9 1.0000000E+0 8.5087726E+2 4.2582890E-9 9.4839202E-1 6.6655494E-3
d52b0Vn1 0 2.0845202E+0 4.8150758E+2 4.6614246E-9 1.0000000E+0 1.0943185E+3 4.6322230E-9 9.4933636E-1 8.4715366E-3
d52b0Vn1 0 2.0774022E+0 4.8528442E+2 4.6645615E-9 1.0000000E+0 1.0838429E+3 4.2447632E-9 9.5652254E-1 8.9853269E-3
d52b0V2n1 0.2 9.9064339E-1 8.4449438E+1 5.0758379E-9 1.0000000E+0 1.1991297E+2 5.3377377E-8 7.8437922E-1 1.4929212E-3
d52b0V4n1 0.4 2.9794826E+0 1.0848127E+2 6.1656604E-9 1.0000000E+0 4.5466984E+1 4.2640091E-7 7.9200940E-1 6.2097379E-3
