T d154 d184 d214 d244
d 150 180 210 240
290 1.214941158E+00 1.213119799E+00 1.211403097E+00 1.209936705E+00
295 1.217732423E+00 1.215427945E+00 1.213557070E+00 1.211917756E+00
300 1.219805784E+00 1.216899706E+00 1.214709087E+00 1.212694799E+00
305 1.221612505E+00 1.218183848E+00 1.215520303E+00 1.212993812E+00
310 1.222549955E+00 1.218749294E+00 1.215315406E+00 1.212635084E+00
315 1.221619426E+00 1.217373031E+00 1.213268060E+00 1.210146493E+00
320 1.219959349E+00 1.215656367E+00 1.210760206E+00 1.206974677E+00
325 1.218570552E+00 1.212498958E+00 1.206947142E+00 1.202428682E+00
330 1.214049603E+00 1.206212088E+00 1.200906678E+00 1.195595438E+00
335 1.209267016E+00 1.201472336E+00 1.194579832E+00 1.188732139E+00
340 1.203358821E+00 1.194706774E+00 1.187191275E+00 1.180855467E+00
