fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_300 001_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.501114657E-15 1.000000000E+20 1.222674342E+00 8.640432041E-16 8.606513073E-04 
001_300_SRH 001_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.165589786E-15 1.000000000E+20 1.226490329E+00 8.596389295E-16 1.074738926E-03 
002_300 002_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.043232567E-15 1.000000000E+20 1.223838274E+00 1.266056136E-15 9.207565012E-04 
002_300_SRH 002_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.707942775E-15 1.000000000E+20 1.226532807E+00 1.261744144E-15 1.076638719E-03 
003_300 003_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.835679443E-15 1.000000000E+20 1.224708248E+00 1.856152417E-15 9.677895600E-04 
003_300_SRH 003_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.500680003E-15 1.000000000E+20 1.226594799E+00 1.851915929E-15 1.079421854E-03 
004_300 004_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 3.991771268E-15 1.000000000E+20 1.225372373E+00 2.722261920E-15 1.004469973E-03 
004_300_SRH 004_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 3.657153536E-15 1.000000000E+20 1.226685072E+00 2.718088979E-15 1.083495474E-03 
005_300 005_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 5.673611359E-15 1.000000000E+20 1.225906297E+00 3.993402328E-15 1.033903184E-03 
005_300_SRH 005_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 5.339517048E-15 1.000000000E+20 1.226816069E+00 3.989286873E-15 1.089450191E-03 
006_300 006_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 8.110322770E-15 1.000000000E+20 1.226375900E+00 5.858851520E-15 1.059216912E-03 
006_300_SRH 006_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 7.776962731E-15 1.000000000E+20 1.227005219E+00 5.854794027E-15 1.098138262E-03 
007_300 007_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.162008584E-14 1.000000000E+20 1.226841016E+00 8.596240888E-15 1.083493023E-03 
007_300_SRH 007_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.128776416E-14 1.000000000E+20 1.227276376E+00 8.592249249E-15 1.110780089E-03 
008_300 008_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.663342736E-14 1.000000000E+20 1.227359362E+00 1.261270675E-14 1.109890980E-03 
008_300_SRH 008_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.630257107E-14 1.000000000E+20 1.227661215E+00 1.260879765E-14 1.129103969E-03 
009_300 009_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.371102120E-14 1.000000000E+20 1.227989648E+00 1.850516148E-14 1.141877132E-03 
009_300_SRH 009_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.338221199E-14 1.000000000E+20 1.228199907E+00 1.850136252E-14 1.155518895E-03 
010_300 010_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 3.354278379E-14 1.000000000E+20 1.228792735E+00 2.714860098E-14 1.183497014E-03 
010_300_SRH 010_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 3.321678428E-14 1.000000000E+20 1.228940317E+00 2.714495400E-14 1.193309729E-03 
011_300 011_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 4.690836892E-14 1.000000000E+20 1.229829897E+00 3.982565977E-14 1.239634496E-03 
011_300_SRH 011_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 4.658612753E-14 1.000000000E+20 1.229934668E+00 3.982222557E-14 1.246822210E-03 
012_300 012_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 6.457985720E-14 1.000000000E+20 1.231158135E+00 5.841717825E-14 1.316186536E-03 
012_300_SRH 012_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 6.426246929E-14 1.000000000E+20 1.231233706E+00 5.841404269E-14 1.321577256E-03 
013_300 013_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 8.716954677E-14 1.000000000E+20 1.232824534E+00 8.568359064E-14 1.420060208E-03 
013_300_SRH 013_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 8.685815055E-14 1.000000000E+20 1.232880216E+00 8.568087514E-14 1.424220534E-03 
014_300 014_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.149761993E-13 1.000000000E+20 1.234846159E+00 1.256824027E-13 1.558405280E-03 
014_300_SRH 014_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.146718023E-13 1.000000000E+20 1.234888274E+00 1.256802751E-13 1.561719964E-03 
015_300 015_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.479568374E-13 1.000000000E+20 1.237276803E+00 1.843878549E-13 1.739627300E-03 
015_300_SRH 015_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.476601129E-13 1.000000000E+20 1.237309631E+00 1.843865538E-13 1.742357038E-03 
016_300 016_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.858994320E-13 1.000000000E+20 1.240121217E+00 2.706155025E-13 1.970017635E-03 
016_300_SRH 016_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.856105684E-13 1.000000000E+20 1.240147616E+00 2.706153645E-13 1.972334420E-03 
017_300 017_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.287369912E-13 1.000000000E+20 1.243409812E+00 3.974962015E-13 2.254221095E-03 
