Fe T nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+01 290 1.181817744E+00 1.127307511E+00 5.451023300E-02 1.162169387E+00 1.122444376E+00 3.972501100E-02
1.000000000E+01 295 1.186265437E+00 1.133149548E+00 5.311588900E-02 1.163743849E+00 1.126870004E+00 3.687384500E-02
1.000000000E+01 300 1.194004159E+00 1.138572010E+00 5.543214900E-02 1.166716822E+00 1.130570514E+00 3.614630800E-02
1.000000000E+01 305 1.192075925E+00 1.143904914E+00 4.817101100E-02 1.169951341E+00 1.133860811E+00 3.609053000E-02
1.000000000E+01 310 1.198218533E+00 1.148725320E+00 4.949321300E-02 1.173374863E+00 1.136277926E+00 3.709693700E-02
1.000000000E+01 315 1.201277097E+00 1.153247281E+00 4.802981600E-02 1.177676178E+00 1.138033532E+00 3.964264600E-02
1.000000000E+01 320 1.204074418E+00 1.157513169E+00 4.656124900E-02 1.170923980E+00 1.139158884E+00 3.176509600E-02
1.000000000E+01 325 1.209933534E+00 1.161024622E+00 4.890891200E-02 1.182868543E+00 1.139216094E+00 4.365244900E-02
1.000000000E+01 330 1.214860841E+00 1.163984856E+00 5.087598500E-02 1.181083034E+00 1.138429253E+00 4.265378100E-02
1.000000000E+01 335 1.218557031E+00 1.166336862E+00 5.222016900E-02 1.179357561E+00 1.137062445E+00 4.229511600E-02
1.000000000E+01 340 1.220707890E+00 1.167837588E+00 5.287030200E-02 1.179850032E+00 1.140263119E+00 3.958691300E-02
1.016672606E+01 290 1.181984714E+00 1.127452764E+00 5.453195000E-02 1.164097700E+00 1.124074526E+00 4.002317400E-02
1.016672606E+01 295 1.186270709E+00 1.133285831E+00 5.298487800E-02 1.167640950E+00 1.128934304E+00 3.870664600E-02
1.016672606E+01 300 1.194011526E+00 1.138717885E+00 5.529364100E-02 1.172965850E+00 1.133153000E+00 3.981285000E-02
1.016672606E+01 305 1.192085334E+00 1.144060437E+00 4.802489700E-02 1.173735400E+00 1.137045738E+00 3.668966200E-02
1.016672606E+01 310 1.198296863E+00 1.148889050E+00 4.940781300E-02 1.178341414E+00 1.140154536E+00 3.818687800E-02
1.016672606E+01 315 1.201293835E+00 1.153420537E+00 4.787329800E-02 1.183447431E+00 1.142687553E+00 4.075987800E-02
1.016672606E+01 320 1.204096532E+00 1.157694689E+00 4.640184300E-02 1.186894176E+00 1.144669367E+00 4.222480900E-02
1.016672606E+01 325 1.209963075E+00 1.161212426E+00 4.875064900E-02 1.190699374E+00 1.145634893E+00 4.506448100E-02
1.016672606E+01 330 1.214900221E+00 1.164180006E+00 5.072021500E-02 1.190621159E+00 1.145797230E+00 4.482392900E-02
1.016672606E+01 335 1.218609106E+00 1.166536367E+00 5.207273900E-02 1.190213697E+00 1.145131250E+00 4.508244700E-02
1.016672606E+01 340 1.220775379E+00 1.168050134E+00 5.272524500E-02 1.189875961E+00 1.148691312E+00 4.118464900E-02
1.033324570E+01 290 1.182229366E+00 1.127826985E+00 5.440238100E-02 1.171643098E+00 1.125300510E+00 4.634258800E-02
1.033324570E+01 295 1.186278321E+00 1.133479937E+00 5.279838400E-02 1.170389147E+00 1.130477158E+00 3.991198900E-02
1.033324570E+01 300 1.194022212E+00 1.138926730E+00 5.509548200E-02 1.178057279E+00 1.135076458E+00 4.298082100E-02
1.033324570E+01 305 1.192099050E+00 1.144283250E+00 4.781580000E-02 1.179608663E+00 1.139415282E+00 4.019338100E-02
1.033324570E+01 310 1.198411683E+00 1.149125824E+00 4.928585900E-02 1.181900981E+00 1.143043281E+00 3.885770000E-02
1.033324570E+01 315 1.201318477E+00 1.153670154E+00 4.764832300E-02 1.187620133E+00 1.146166680E+00 4.145345300E-02
1.033324570E+01 320 1.204128763E+00 1.157955503E+00 4.617326000E-02 1.192291825E+00 1.148809715E+00 4.348211000E-02
1.033324570E+01 325 1.210006433E+00 1.161485419E+00 4.852101400E-02 1.196467837E+00 1.150494594E+00 4.597324300E-02
1.033324570E+01 330 1.214957880E+00 1.164461097E+00 5.049678300E-02 1.197768135E+00 1.151422394E+00 4.634574100E-02
1.033324570E+01 335 1.218685318E+00 1.166825723E+00 5.185959500E-02 1.198461693E+00 1.151556679E+00 4.690501400E-02
1.033324570E+01 340 1.220875402E+00 1.168362320E+00 5.251308200E-02 1.198788962E+00 1.155198932E+00 4.359003000E-02
1.049996187E+01 290 1.182587548E+00 1.128369870E+00 5.421767800E-02 1.175908786E+00 1.126275314E+00 4.963347200E-02
1.049996187E+01 295 1.186289231E+00 1.133753406E+00 5.253582500E-02 1.173165789E+00 1.131686553E+00 4.147923600E-02
1.049996187E+01 300 1.194037660E+00 1.139221567E+00 5.481609300E-02 1.180698775E+00 1.136566191E+00 4.413258400E-02
1.049996187E+01 305 1.192118971E+00 1.144599500E+00 4.751947100E-02 1.182261985E+00 1.141234745E+00 4.102724000E-02
1.049996187E+01 310 1.198579898E+00 1.149461983E+00 4.911791500E-02 1.184422038E+00 1.145247004E+00 3.917503400E-02
1.049996187E+01 315 1.201354191E+00 1.154025765E+00 4.732842600E-02 1.190595318E+00 1.148811198E+00 4.178412000E-02
1.049996187E+01 320 1.204175625E+00 1.158330065E+00 4.584556000E-02 1.195951475E+00 1.151953850E+00 4.399762500E-02
1.049996187E+01 325 1.210069405E+00 1.161876278E+00 4.819312700E-02 1.200641294E+00 1.154186326E+00 4.645496800E-02
1.049996187E+01 330 1.215041721E+00 1.164865808E+00 5.017591300E-02 1.203005761E+00 1.155707417E+00 4.729834400E-02
1.049996187E+01 335 1.218795443E+00 1.167242669E+00 5.155277400E-02 1.204572016E+00 1.156471952E+00 4.810006400E-02
1.049996187E+01 340 1.221020640E+00 1.168813832E+00 5.220680800E-02 1.205443703E+00 1.159884668E+00 4.555903500E-02
1.066670514E+01 290 1.183111308E+00 1.129153352E+00 5.395795600E-02 1.176617313E+00 1.127118046E+00 4.949926700E-02
1.066670514E+01 295 1.186305004E+00 1.134131626E+00 5.217337800E-02 1.183113035E+00 1.132710802E+00 5.040223300E-02
1.066670514E+01 300 1.194060014E+00 1.139632331E+00 5.442768300E-02 1.181839144E+00 1.137804130E+00 4.403501400E-02
1.066670514E+01 305 1.192147852E+00 1.145042225E+00 4.710562700E-02 1.186338680E+00 1.142721569E+00 4.361711100E-02
1.066670514E+01 310 1.198826111E+00 1.149936503E+00 4.888960800E-02 1.189925425E+00 1.147023789E+00 4.290163600E-02
1.066670514E+01 315 1.201406074E+00 1.154529277E+00 4.687679700E-02 1.192704709E+00 1.150917874E+00 4.178683500E-02
1.066670514E+01 320 1.204243677E+00 1.158861375E+00 4.538230200E-02 1.198563261E+00 1.154434896E+00 4.412836500E-02
1.066670514E+01 325 1.210160669E+00 1.162432798E+00 4.772787100E-02 1.203637565E+00 1.157080126E+00 4.655743900E-02
1.066670514E+01 330 1.215163088E+00 1.165445482E+00 4.971760600E-02 1.206802251E+00 1.159051933E+00 4.775031800E-02
1.066670514E+01 335 1.218955438E+00 1.167839923E+00 5.111551500E-02 1.209041819E+00 1.160296846E+00 4.874497300E-02
1.066670514E+01 340 1.221230428E+00 1.169459993E+00 5.177043500E-02 1.210349219E+00 1.163215927E+00 4.713329200E-02
1.083333839E+01 290 1.183875867E+00 1.130275812E+00 5.360005500E-02 1.177111715E+00 1.128541839E+00 4.856987600E-02
1.083333839E+01 295 1.186327704E+00 1.134641588E+00 5.168611600E-02 1.184143084E+00 1.133665096E+00 5.047798800E-02
1.083333839E+01 300 1.194092398E+00 1.140191319E+00 5.390107900E-02 1.182640128E+00 1.138933102E+00 4.370702600E-02
1.083333839E+01 305 1.192189506E+00 1.145650026E+00 4.653948000E-02 1.190040797E+00 1.144050574E+00 4.599022300E-02
1.083333839E+01 310 1.199186023E+00 1.150590519E+00 4.859550400E-02 1.191488317E+00 1.148579778E+00 4.290853900E-02
1.083333839E+01 315 1.201480765E+00 1.155228999E+00 4.625176600E-02 1.194206686E+00 1.152731623E+00 4.147506300E-02
1.083333839E+01 320 1.204341865E+00 1.159604924E+00 4.473694100E-02 1.200434443E+00 1.156537979E+00 4.389646400E-02
1.083333839E+01 325 1.210292392E+00 1.163214157E+00 4.707823500E-02 1.205799468E+00 1.159497822E+00 4.630164600E-02
1.083333839E+01 330 1.215337656E+00 1.166261841E+00 4.907581500E-02 1.209561501E+00 1.161812668E+00 4.774883300E-02
1.083333839E+01 335 1.219185784E+00 1.168686963E+00 5.049882100E-02 1.212318861E+00 1.163424964E+00 4.889389700E-02
1.083333839E+01 340 1.221532302E+00 1.170378233E+00 5.115406900E-02 1.213981308E+00 1.166025205E+00 4.795610300E-02
1.100000000E+01 290 1.184989113E+00 1.131867614E+00 5.312149900E-02 1.177461966E+00 1.130513154E+00 4.694881200E-02
1.100000000E+01 295 1.186360292E+00 1.135308460E+00 5.105183200E-02 1.184867383E+00 1.134637008E+00 5.023037500E-02
1.100000000E+01 300 1.194138714E+00 1.140930448E+00 5.320826600E-02 1.187972748E+00 1.140064120E+00 4.790862800E-02
1.100000000E+01 305 1.192249205E+00 1.146461188E+00 4.578801700E-02 1.190780102E+00 1.145358394E+00 4.542170800E-02
1.100000000E+01 310 1.199711168E+00 1.151472395E+00 4.823877300E-02 1.192425632E+00 1.150083898E+00 4.234173400E-02
1.100000000E+01 315 1.201587709E+00 1.156179479E+00 4.540823000E-02 1.195296935E+00 1.154452155E+00 4.084478000E-02
1.100000000E+01 320 1.204482246E+00 1.160621287E+00 4.386095900E-02 1.201801839E+00 1.158496476E+00 4.330536300E-02
1.100000000E+01 325 1.210480524E+00 1.164291759E+00 4.618876500E-02 1.207395218E+00 1.161712454E+00 4.568276400E-02
1.100000000E+01 330 1.215587596E+00 1.167393607E+00 4.819398900E-02 1.211611584E+00 1.164299754E+00 4.731183000E-02
1.100000000E+01 335 1.219514593E+00 1.169864095E+00 4.965049800E-02 1.214777619E+00 1.166197567E+00 4.858005200E-02
1.100000000E+01 340 1.221963159E+00 1.171665895E+00 5.029726400E-02 1.216745430E+00 1.168632122E+00 4.811330800E-02
1.116672606E+01 290 1.186604137E+00 1.134094114E+00 5.251002300E-02 1.177718004E+00 1.133003482E+00 4.471452200E-02
1.116672606E+01 295 1.186406564E+00 1.136143905E+00 5.026265900E-02 1.185387432E+00 1.135681768E+00 4.970566400E-02
1.116672606E+01 300 1.194204453E+00 1.141869474E+00 5.233497900E-02 1.193353429E+00 1.141272318E+00 5.208111100E-02
1.116672606E+01 305 1.193160272E+00 1.147506624E+00 4.565364800E-02 1.191330695E+00 1.146745243E+00 4.458545200E-02
1.116672606E+01 310 1.199835606E+00 1.152622269E+00 4.721333700E-02 1.193449547E+00 1.151662226E+00 4.178732100E-02
1.116672606E+01 315 1.201739109E+00 1.157432456E+00 4.430665300E-02 1.198795134E+00 1.156236143E+00 4.255899100E-02
1.116672606E+01 320 1.204680794E+00 1.161974544E+00 4.270625000E-02 1.202845477E+00 1.160500443E+00 4.234503400E-02
1.116672606E+01 325 1.210746292E+00 1.165738414E+00 4.500787800E-02 1.208631696E+00 1.163945811E+00 4.468588500E-02
1.116672606E+01 330 1.215939864E+00 1.168926473E+00 4.701339100E-02 1.213209166E+00 1.166772298E+00 4.643686800E-02
1.116672606E+01 335 1.219977326E+00 1.171473083E+00 4.850424300E-02 1.216717594E+00 1.168915115E+00 4.780247900E-02
1.116672606E+01 340 1.222568791E+00 1.173436559E+00 4.913223200E-02 1.218972059E+00 1.171317921E+00 4.765413800E-02
1.133324570E+01 290 1.188502291E+00 1.137152735E+00 5.134955600E-02 1.177915869E+00 1.136242402E+00 4.167346700E-02
