fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
00T1 6:48 287.2 40.37 1.000E+000 3.025E+000 2.132E-005 2.377E+004 2.764E+000 1.058E-008 1.678E-003 
00T2 7:8 290.1 39.97 1.000E+000 4.273E+000 1.892E-005 2.182E+004 2.737E+000 1.236E-008 1.676E-003 
00T3 7:30 292.7 39.61 1.000E+000 4.313E+000 1.890E-005 2.016E+004 2.720E+000 1.379E-008 1.253E-003 
00T4 7:50 295.4 39.25 1.000E+000 4.412E+000 1.766E-005 1.850E+004 2.691E+000 1.574E-008 1.529E-003 
00T5 8:11 298.2 38.88 1.000E+000 4.479E+000 1.676E-005 1.687E+004 2.686E+000 1.727E-008 9.045E-004 
00T6 8:28 300.8 38.54 1.000E+000 4.584E+000 1.592E-005 1.542E+004 2.680E+000 1.883E-008 1.227E-003 
00T7 8:50 303.3 38.23 1.000E+000 5.397E+000 1.883E-005 1.410E+004 2.646E+000 2.134E-008 1.025E-003 
00T8 9:6 306 37.89 1.000E+000 3.479E+000 1.792E-005 1.275E+004 2.634E+000 2.348E-008 1.667E-003 
00T9 9:35 308.4 37.59 1.000E+000 3.676E+000 1.518E-005 1.162E+004 2.652E+000 2.422E-008 1.426E-003 
0T10 10:32 311.2 37.26 1.000E+000 3.135E+000 1.513E-005 1.037E+004 2.642E+000 2.640E-008 1.170E-003 
0T11 10:53 314 36.92 1.000E+000 3.804E+000 1.607E-005 9.206E+003 2.621E+000 2.939E-008 1.006E-003 
0T12 11:35 317 36.57 1.000E+000 3.115E+000 1.438E-005 8.052E+003 2.618E+000 3.205E-008 1.532E-003 
0T13 11:56 319.1 36.33 1.000E+000 3.221E+000 1.467E-005 7.302E+003 2.614E+000 3.361E-008 9.487E-004 
0T14 12:14 321.2 36.1 1.000E+000 3.384E+000 1.481E-005 6.598E+003 2.594E+000 3.637E-008 5.264E-004 
0T15 12:33 324.1 35.77 1.000E+000 3.726E+000 1.593E-005 5.704E+003 2.584E+000 3.941E-008 6.989E-004 
0T16 12:53 326.3 35.53 1.000E+000 2.985E+000 1.704E-005 5.086E+003 2.569E+000 4.215E-008 8.202E-004 
0T17 13:13 329.1 35.23 1.000E+000 2.969E+000 1.591E-005 4.373E+003 2.566E+000 4.524E-008 8.583E-004 
0T18 13:35 332.5 34.87 1.000E+000 2.805E+000 1.776E-005 3.621E+003 2.535E+000 5.055E-008 6.045E-004 
