fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
0S01 8:39:02 290 39.98 1.000E+000 5.399E-001 1.688E-011 2.276E+004 2.863E+000 5.820E-006 1.312E-005 7.151E-002 1.312E-005 2.803E-007 2.988E-001 4.000E-002 7.008E-006 1.552E-002 
0S02 9:03:38 292.5 39.64 1.000E+000 5.540E-001 2.691E-011 2.259E+004 2.853E+000 6.579E-006 1.303E-005 6.682E-002 1.303E-005 2.547E-007 2.926E-001 4.000E-002 6.367E-006 5.243E-003 
0S03 9:28:08 296.2 39.14 1.000E+000 4.062E-001 5.142E-011 2.007E+004 2.826E+000 7.695E-006 1.314E-005 6.059E-002 1.314E-005 2.307E-007 2.899E-001 3.500E-002 6.592E-006 4.162E-002 
0S04 9:55:20 299.7 38.69 1.000E+000 4.390E-001 9.456E-011 1.723E+004 2.819E+000 9.247E-006 1.328E-005 5.398E-002 1.328E-005 2.050E-007 2.858E-001 3.000E-002 6.832E-006 2.551E-003 
0S05 10:16:14 303 38.26 1.000E+000 4.148E-001 1.582E-010 1.661E+004 2.804E+000 1.081E-005 1.314E-005 4.872E-002 1.314E-005 1.759E-007 2.748E-001 3.000E-002 5.865E-006 1.960E-002 
0S06 10:40:26 305.7 37.93 1.000E+000 4.542E-001 2.496E-010 1.408E+004 2.802E+000 1.240E-005 1.261E-005 4.235E-002 1.261E-005 1.484E-007 2.779E-001 2.250E-002 6.594E-006 2.412E-003 
0S07 11:06:08 309.1 37.51 1.000E+000 4.266E-001 4.252E-010 1.178E+004 2.783E+000 1.450E-005 1.246E-005 3.687E-002 1.246E-005 1.256E-007 2.733E-001 2.000E-002 6.278E-006 2.103E-003 
0S08 11:27:52 311.8 37.18 1.000E+000 4.624E-001 6.501E-010 1.059E+004 2.782E+000 1.672E-005 1.227E-005 3.273E-002 1.226E-005 1.050E-007 2.617E-001 2.000E-002 5.252E-006 1.466E-003 
0S09 11:50:18 315.3 36.77 1.000E+000 4.770E-001 1.106E-009 9.110E+003 2.768E+000 1.976E-005 1.279E-005 2.964E-002 1.278E-005 9.152E-008 2.416E-001 2.000E-002 4.576E-006 4.789E-002 
0S10 12:13:14 318.4 36.41 1.000E+000 4.985E-001 1.781E-009 8.375E+003 2.772E+000 2.309E-005 1.263E-005 2.623E-002 1.263E-005 8.714E-008 2.631E-001 1.500E-002 5.809E-006 1.202E-003 
0S11 12:31:48 321.2 36.1 1.000E+000 5.390E-001 2.672E-009 7.483E+003 2.766E+000 2.638E-005 1.259E-005 2.346E-002 1.258E-005 7.801E-008 2.642E-001 1.250E-002 6.241E-006 8.235E-004 
0S12 12:49:20 324.2 35.76 1.000E+000 5.651E-001 4.062E-009 6.406E+003 2.748E+000 2.982E-005 1.206E-005 2.010E-002 1.206E-005 6.354E-008 2.622E-001 1.031E-002 6.161E-006 1.129E-003 
0S13 13:10:04 327.1 35.45 1.000E+000 6.085E-001 6.219E-009 5.737E+003 2.760E+000 3.487E-005 1.260E-005 1.853E-002 1.260E-005 6.075E-008 2.603E-001 1.000E-002 6.075E-006 8.539E-003 
0S14 13:29:08 329.7 35.17 1.000E+000 6.059E-001 8.773E-009 4.771E+003 2.728E+000 3.768E-005 1.164E-005 1.557E-002 1.164E-005 4.356E-008 2.405E-001 1.000E-002 4.356E-006 6.663E-004 
0S15 13:48:28 333.2 34.8 1.000E+000 6.188E-001 1.412E-008 4.191E+003 2.726E+000 4.409E-005 1.119E-005 1.314E-002 1.119E-005 2.796E-008 1.902E-001 1.000E-002 2.796E-006 4.915E-004 
0S16 14:23:16 336.2 34.49 1.000E+000 6.112E-001 2.059E-008 3.776E+003 2.725E+000 5.045E-005 1.183E-005 1.236E-002 1.183E-005 2.366E-008 1.618E-001 1.000E-002 2.366E-006 4.978E-004 
0S17 14:52:16 340.2 34.08 1.000E+000 6.499E-001 3.471E-008 2.892E+003 2.705E+000 5.858E-005 1.168E-005 1.029E-002 1.167E-005 3.444E-009 2.866E-002 1.000E-002 3.444E-007 3.866E-004 
