N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.016600691E+00 1.015143995E+00 1.014082765E+00 1.013265113E+00
1.600000000E+01 1.234293597E+00 1.228956624E+00 1.223997455E+00 1.219881096E+00
1.700000000E+01 1.243428802E+00 1.237388116E+00 1.232381416E+00 1.228394494E+00
1.549996187E+01 1.200073302E+00 1.192532226E+00 1.185849378E+00 1.179374985E+00
1.649996187E+01 1.236221977E+00 1.229908088E+00 1.224187533E+00 1.219293930E+00
1.674996808E+01 1.237100812E+00 1.230627231E+00 1.224870750E+00 1.219998225E+00
1.624993176E+01 1.237354013E+00 1.231552814E+00 1.226315737E+00 1.221662169E+00
1.574996808E+01 1.224272341E+00 1.218981780E+00 1.214238344E+00 1.209916159E+00
1.524993176E+01 1.110917487E+00 1.093069317E+00 1.076535715E+00 1.061318989E+00
