T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.284793390E+00 1.252747369E+00 3.204602100E-02 1.284716746E+00 1.252688912E+00 3.202783400E-02 7.664400000E-05 5.845700000E-05
295 1.282766312E+00 1.251223871E+00 3.154244100E-02 1.282696784E+00 1.251169448E+00 3.152733600E-02 6.952800000E-05 5.442300000E-05
300 1.281711132E+00 1.250597084E+00 3.111404800E-02 1.281648912E+00 1.250546910E+00 3.110200200E-02 6.222000000E-05 5.017400000E-05
305 1.281280127E+00 1.250277557E+00 3.100257000E-02 1.281224964E+00 1.250232368E+00 3.099259600E-02 5.516300000E-05 4.518900000E-05
310 1.281761482E+00 1.251205257E+00 3.055622500E-02 1.281712789E+00 1.251163899E+00 3.054889000E-02 4.869300000E-05 4.135800000E-05
315 1.282699174E+00 1.252588703E+00 3.011047100E-02 1.282656050E+00 1.252550487E+00 3.010556300E-02 4.312400000E-05 3.821600000E-05
320 1.283920562E+00 1.254236236E+00 2.968432600E-02 1.283882048E+00 1.254201030E+00 2.968101800E-02 3.851400000E-05 3.520600000E-05
325 1.284969477E+00 1.256333809E+00 2.863566800E-02 1.284934281E+00 1.256299898E+00 2.863438300E-02 3.519600000E-05 3.391100000E-05
330 1.285249616E+00 1.258444516E+00 2.680510000E-02 1.285216479E+00 1.258410695E+00 2.680578400E-02 3.313700000E-05 3.382100000E-05
335 1.283638093E+00 1.259890579E+00 2.374751400E-02 1.283605650E+00 1.259855585E+00 2.375006500E-02 3.244300000E-05 3.499400000E-05
340 1.278484725E+00 1.260598837E+00 1.788588800E-02 1.278451483E+00 1.260560143E+00 1.789134000E-02 3.324200000E-05 3.869400000E-05
