T nFsrh nFBsrh dnsrh nF nFB dn
290 1.165301775E+00 1.225078928E+0 -5.977715300E-02 1.165301775E+00 1.225078928E+0 -5.977715300E-02
295 1.172044401E+00 1.183276036E+0 -1.123163500E-02 1.172044401E+00 1.183276036E+0 -1.123163500E-02
300 1.169101094E+00 1.150013569E+0 1.908752500E-02 1.169101094E+00 1.150013569E+0 1.908752500E-02
305 1.174874110E+00 1.123437433E+0 5.143667700E-02 1.174874110E+00 1.123437433E+0 5.143667700E-02
310 1.179954800E+00 1.102106850E+0 7.784795000E-02 1.179954800E+00 1.102106850E+0 7.784795000E-02
315 1.179159597E+00 1.084904146E+0 9.425545100E-02 1.179159597E+00 1.084904146E+0 9.425545100E-02
320 1.179356193E+00 1.070961999E+0 1.083941940E-01 1.179356193E+00 1.070961999E+0 1.083941940E-01
325 1.165703573E+00 1.059606149E+0 1.060974240E-01 1.165703573E+00 1.059606149E+0 1.060974240E-01
330 1.146816329E+00 1.050310970E+0 9.650535900E-02 1.146816329E+00 1.050310970E+0 9.650535900E-02
335 1.138830451E+00 1.042665282E+0 9.616516900E-02 1.138830451E+00 1.042665282E+0 9.616516900E-02
340 1.117361286E+00 1.036346175E+0 8.101511100E-02 1.117361286E+00 1.036346175E+0 8.101511100E-02
