fname time Tem kT_1 A Rs Io Rsh dev 
01FR 1fr.dat 294.2 39.41 1.313E+001 4.035E+002 3.331E-008 9.281E+008 7.632E-004 
03FR 3fr.dat 298.4 38.85 1.349E+001 3.807E+002 3.653E-008 3.822E+011 1.470E-003 
05FR 5fr.dat 301.7 38.43 1.403E+001 3.637E+002 3.063E-008 4.516E+010 2.082E-003 
07FR 7fr.dat 306.6 37.82 1.403E+001 3.335E+002 4.139E-008 8.041E+009 1.757E-003 
09FR 9fr.dat 310.9 37.29 1.420E+001 3.072E+002 5.054E-008 9.286E+010 1.733E-003 
11FR 11fr.dat 316.8 36.6 1.357E+001 2.692E+002 1.141E-007 1.000E+012 7.695E-004 
13FR 13fr.dat 322.4 35.96 1.403E+001 2.435E+002 1.109E-007 5.131E+011 1.006E-003 
15FR 15fr.dat 327.9 35.36 1.334E+001 2.124E+002 2.465E-007 2.316E+008 4.624E-004 
17FR 17fr.dat 333.4 34.78 1.660E+001 2.001E+002 5.549E-008 1.001E+004 1.340E-003 
19FR 19fr.dat 338.3 34.27 1.264E+001 1.875E+002 5.925E-007 2.481E+010 7.071E-004 
21FR 21fr.dat 345.7 33.54 1.103E+001 1.564E+002 1.649E-006 3.706E+009 1.141E-003 
