Eg :	  1.089014	  1.124037	  0.500000	  1.000000	  1.000000	  1.089014	  1.124037	12	 0	E91.grd	[eV]


y (composition)	Eg (eV)
0.0000000E+00	1.0890145E+00
2.5806452E-02	1.0881015E+00
5.1612903E-02	1.0876641E+00
7.7419355E-02	1.0872385E+00
1.0322581E-01	1.0866205E+00
1.2903226E-01	1.0862212E+00
1.5483871E-01	1.0856402E+00
1.8064516E-01	1.0852641E+00
2.0645161E-01	1.0845366E+00
2.3225806E-01	1.0841844E+00
2.5806452E-01	1.0836698E+00
2.8387097E-01	1.0833352E+00
3.0967742E-01	1.0828455E+00
3.3548387E-01	1.0825267E+00
3.6129032E-01	1.0822138E+00
3.8709677E-01	1.0819064E+00
4.1290323E-01	1.0816045E+00
4.3870968E-01	1.0813077E+00
4.6451613E-01	1.0810159E+00
4.9032258E-01	1.0810159E+00
5.1612903E-01	1.0816045E+00
5.4193548E-01	1.0825267E+00
5.6774194E-01	1.0831704E+00
5.9354839E-01	1.0841844E+00
6.1935484E-01	1.0856402E+00
6.4516129E-01	1.0876641E+00
6.7096774E-01	1.0911180E+00
6.9677419E-01	1.0937982E+00
7.2258065E-01	1.0965074E+00
7.4838710E-01	1.1002199E+00
7.7419355E-01	1.1041819E+00
8.0000000E-01	1.1080451E+00
8.2580645E-01	1.1107241E+00
8.5161290E-01	1.1137804E+00
8.7741935E-01	1.1158691E+00
9.0322581E-01	1.1180252E+00
9.2903226E-01	1.1208734E+00
9.5483871E-01	1.1224916E+00
9.8064516E-01	1.1233004E+00
1.0000000E+00	1.1240366E+00

mu_n :	 2.491625e-02	 1.245567e-01	 1.000000e-03	 1.000000e+00	 1.000000e+00	 2.491625e-02	 1.245567e-01	12	 0	M91.grd	[m^2/Vs]

y (composition)	mu_n (m2/Vs)
0.0000000E+00	2.4916254E-02
2.5806452E-02	2.4323574E-02
5.1612903E-02	2.4051335E-02
7.7419355E-02	2.3793369E-02
1.0322581E-01	2.3430691E-02
1.2903226E-01	2.3203625E-02
1.5483871E-01	2.2882920E-02
1.8064516E-01	2.2681266E-02
2.0645161E-01	2.2304122E-02
2.3225806E-01	2.2127471E-02
2.5806452E-01	2.1875961E-02
2.8387097E-01	2.1716612E-02
3.0967742E-01	2.1489067E-02
3.3548387E-01	2.1344496E-02
3.6129032E-01	2.1205242E-02
3.8709677E-01	2.1071005E-02
4.1290323E-01	2.0941508E-02
4.3870968E-01	2.0816495E-02
4.6451613E-01	2.0695726E-02
4.9032258E-01	2.0695726E-02
5.1612903E-01	2.0941508E-02
5.4193548E-01	2.1344496E-02
5.6774194E-01	2.1639280E-02
5.9354839E-01	2.2127471E-02
6.1935484E-01	2.2882920E-02
6.4516129E-01	2.4051335E-02
6.7096774E-01	2.6418255E-02
6.9677419E-01	2.8648712E-02
7.2258065E-01	3.1337974E-02
7.4838710E-01	3.5921712E-02
7.7419355E-01	4.2328947E-02
8.0000000E-01	5.0640950E-02
8.2580645E-01	5.7993091E-02
8.5161290E-01	6.8413257E-02
8.7741935E-01	7.7025325E-02
9.0322581E-01	8.7367866E-02
9.2903226E-01	1.0346813E-01
9.5483871E-01	1.1385167E-01
9.8064516E-01	1.1936100E-01
1.0000000E+00	1.2455665E-01


mu_p :	 1.504268e-02	 4.769578e-02	 1.000000e-03	 1.000000e+00	 1.000000e+00	 1.504268e-02	 4.769578e-02	12	 0	M93.grd	[m^2/Vs]

y (composition)	mu_p (m2/Vs)
0.0000000E+00	1.5042678E-02
2.5806452E-02	1.4618118E-02
5.1612903E-02	1.4421479E-02
7.7419355E-02	1.4234194E-02
1.0322581E-01	1.3969292E-02
1.2903226E-01	1.3802479E-02
1.5483871E-01	1.3565593E-02
1.8064516E-01	1.3415862E-02
2.0645161E-01	1.3134176E-02
2.3225806E-01	1.3001482E-02
2.5806452E-01	1.2811710E-02
2.8387097E-01	1.2690951E-02
3.0967742E-01	1.2517791E-02
3.3548387E-01	1.2407326E-02
3.6129032E-01	1.2300588E-02
3.8709677E-01	1.2197379E-02
4.1290323E-01	1.2097514E-02
4.3870968E-01	1.2000822E-02
4.6451613E-01	1.1907145E-02
4.9032258E-01	1.1907145E-02
5.1612903E-01	1.2097514E-02
5.4193548E-01	1.2407326E-02
5.6774194E-01	1.2632198E-02
5.9354839E-01	1.3001482E-02
6.1935484E-01	1.3565593E-02
6.4516129E-01	1.4421479E-02
6.7096774E-01	1.6097480E-02
6.9677419E-01	1.7609785E-02
7.2258065E-01	1.9350413E-02
7.4838710E-01	2.2118378E-02
7.7419355E-01	2.5597495E-02
8.0000000E-01	2.9512038E-02
8.2580645E-01	3.2493880E-02
8.5161290E-01	3.6086258E-02
8.7741935E-01	3.8596951E-02
9.0322581E-01	4.1172228E-02
9.2903226E-01	4.4434458E-02
9.5483871E-01	4.6161250E-02
9.8064516E-01	4.6979378E-02
1.0000000E+00	4.7695784E-02

K_rad :	 2.935864e-23	 1.190774e-22	 1.000000e+01	 1.000000e+01	 1.000000e+01	 2.935864e-23	 1.190774e-22	12	 0	R91.grd	[m^3/s]

y (composition)	K_rad (m^3/s)
0.0000000E+00	2.9358643E-23
2.5806452E-02	2.8306361E-23
5.1612903E-02	2.7815687E-23
7.7419355E-02	2.7346325E-23
1.0322581E-01	2.6678947E-23
1.2903226E-01	2.6256517E-23
1.5483871E-01	2.5653647E-23
1.8064516E-01	2.5270722E-23
2.0645161E-01	2.4546286E-23
2.3225806E-01	2.4203142E-23
2.5806452E-01	2.3710229E-23
2.8387097E-01	2.3395212E-23
3.0967742E-01	2.2941614E-23
3.3548387E-01	2.2651060E-23
3.6129032E-01	2.2369413E-23
3.8709677E-01	2.2096227E-23
4.1290323E-01	2.1831085E-23
4.3870968E-01	2.1573599E-23
4.6451613E-01	2.1323407E-23
4.9032258E-01	2.1323407E-23
5.1612903E-01	2.1831085E-23
5.4193548E-01	2.2651060E-23
5.6774194E-01	2.3241558E-23
5.9354839E-01	2.4203142E-23
6.1935484E-01	2.5653647E-23
6.4516129E-01	2.7815687E-23
6.7096774E-01	3.1934479E-23
6.9677419E-01	3.5546483E-23
7.2258065E-01	3.9612939E-23
7.4838710E-01	4.5951202E-23
7.7419355E-01	5.3838056E-23
8.0000000E-01	6.2829909E-23
8.2580645E-01	6.9932983E-23
8.5161290E-01	7.9022302E-23
8.7741935E-01	8.5904484E-23
9.0322581E-01	9.3638059E-23
9.2903226E-01	1.0493167E-22
9.5483871E-01	1.1194458E-22
9.8064516E-01	1.1562368E-22
1.0000000E+00	1.1907736E-22
