fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L1 34554 299.02 38.774 1.523358956E-09 2.901579722E+00 7.120990267E+03 8.380235579E-05 4.365348698E+00 2.577417729E+03 0.000000000E+00 2.575035275E-04 4.741829254E-01 2.326370203E-04 3.737088245E-01 4.122475577E-05 2.703871426E-01 1.524612154E-04 4.377869811E-01 
00L2 35092 300.02 38.645 1.160345195E-08 3.279386404E+00 8.088285422E+03 8.169811887E-05 3.756050424E+00 2.349892036E+03 0.000000000E+00 2.534674190E-04 4.726622345E-01 2.328615148E-04 3.760610664E-01 4.139110257E-05 2.699521894E-01 1.533245087E-04 2.250737924E-01 
00L3 35634 301.03 38.515 6.870234288E-09 3.146984578E+00 7.814744101E+03 8.853978011E-05 4.050446161E+00 2.282195000E+03 0.000000000E+00 2.544911901E-04 4.707448471E-01 2.331258025E-04 3.784677251E-01 4.153409660E-05 2.707370394E-01 1.534102041E-04 3.976223515E-01 
00L4 36250 302.03 38.388 3.007827490E-09 2.988164189E+00 7.519483293E+03 1.041472172E-04 4.605901782E+00 2.294221901E+03 0.000000000E+00 2.565782479E-04 4.703858337E-01 2.334081169E-04 3.788359325E-01 4.159310608E-05 2.721834696E-01 1.528134033E-04 4.759141264E-01 
00L5 36886 303.03 38.261 6.396038373E-09 3.102092538E+00 7.881137378E+03 1.036039306E-04 4.416227899E+00 2.131464038E+03 0.000000000E+00 2.547810549E-04 4.676481918E-01 2.334728874E-04 3.817763724E-01 4.168355596E-05 2.707322557E-01 1.539652921E-04 3.365906193E-01 
00L6 37508 304.02 38.136 3.644015567E-09 2.984040931E+00 7.470031679E+03 1.137732405E-04 4.569109565E+00 2.086089345E+03 0.000000000E+00 2.556560150E-04 4.662034172E-01 2.333214138E-04 3.828685396E-01 4.164661745E-05 2.704847843E-01 1.539708195E-04 6.384529548E-01 
00L7 38184 305.02 38.011 7.243191963E-09 3.090920862E+00 8.097073596E+03 1.195948932E-04 4.573472520E+00 1.994599640E+03 0.000000000E+00 2.537647866E-04 4.649406052E-01 2.333803236E-04 3.857769110E-01 4.185987677E-05 2.693898209E-01 1.553858224E-04 1.856851126E-01 
00L8 38820 306.03 37.886 7.164113127E-09 3.100447460E+00 8.029683625E+03 1.328442710E-04 4.802486602E+00 1.956696006E+03 0.000000000E+00 2.544067727E-04 4.637523918E-01 2.335133554E-04 3.861207183E-01 4.181393043E-05 2.703986563E-01 1.546387352E-04 3.800978187E-01 
00L9 39470 307.04 37.761 4.123200506E-09 2.981492687E+00 7.549026881E+03 1.423279042E-04 5.051740936E+00 1.905720109E+03 0.000000000E+00 2.557470957E-04 4.614998642E-01 2.335379760E-04 3.897424320E-01 4.200556015E-05 2.711102650E-01 1.549360139E-04 7.771397777E-01 
0L10 40114 308.04 37.639 9.646581225E-09 3.120047745E+00 7.979974236E+03 1.421281463E-04 4.699268777E+00 1.776321323E+03 0.000000000E+00 2.536090552E-04 4.606915321E-01 2.335056863E-04 3.895428996E-01 4.190472387E-05 2.695595160E-01 1.554598041E-04 3.887682869E-01 
0L11 40758 309.03 37.518 5.250317714E-09 3.015524444E+00 7.885185748E+03 1.686752802E-04 5.427306948E+00 1.815523887E+03 0.000000000E+00 2.551671370E-04 4.594546062E-01 2.336728345E-04 3.910272276E-01 4.198148873E-05 2.689407948E-01 1.561023236E-04 4.099082426E-01 
0L12 41394 310.03 37.397 1.678535117E-08 3.220626053E+00 8.808371378E+03 1.704633073E-04 5.046148061E+00 1.699547071E+03 0.000000000E+00 2.524114669E-04 4.572769455E-01 2.335777582E-04 3.918801023E-01 4.185660549E-05 2.697942179E-01 1.551421584E-04 2.450883391E-01 
0L13 42030 311.04 37.276 5.872899865E-08 3.465116563E+00 9.901363918E+03 1.635532483E-04 4.364020486E+00 1.549549751E+03 0.000000000E+00 2.495844507E-04 4.550933529E-01 2.334278273E-04 3.943451385E-01 4.189185688E-05 2.699973881E-01 1.551530822E-04 1.313040349E-01 
0L14 42672 312.02 37.159 1.498090721E-08 3.178991541E+00 8.241781420E+03 1.863309934E-04 5.077304718E+00 1.567686748E+03 0.000000000E+00 2.526015076E-04 4.539717587E-01 2.337600190E-04 3.953111437E-01 4.195059525E-05 2.715110460E-01 1.545070233E-04 1.756372536E-01 
0L15 43306 313.02 37.04 5.935504742E-08 3.450723372E+00 1.000626706E+04 1.916185019E-04 4.763575683E+00 1.482831430E+03 0.000000000E+00 2.502581276E-04 4.521647442E-01 2.338378491E-04 3.958677882E-01 4.185638039E-05 2.690689226E-01 1.555554358E-04 4.468661645E-01 
0L16 43946 314.02 36.922 4.461981863E-08 3.368505306E+00 9.729504924E+03 2.069966764E-04 5.069240589E+00 1.455879775E+03 0.000000000E+00 2.508649039E-04 4.508422283E-01 2.340211867E-04 3.957492976E-01 4.175417602E-05 2.688862057E-01 1.552836521E-04 3.234556356E-01 
0L17 44590 315.03 36.803 1.136136981E-07 3.587493100E+00 1.118314722E+04 2.198762127E-04 4.841351474E+00 1.392996457E+03 0.000000000E+00 2.494630369E-04 4.491753822E-01 2.340213001E-04 3.972727611E-01 4.175996468E-05 2.672920427E-01 1.562279211E-04 6.930370771E-02 
0L18 45234 316.04 36.686 5.408539885E-08 3.399911041E+00 9.791140408E+03 2.338946718E-04 5.215869078E+00 1.362261677E+03 0.000000000E+00 2.510335162E-04 4.476035027E-01 2.339839975E-04 3.983189251E-01 4.171676030E-05 2.671134161E-01 1.561749087E-04 8.399385794E-01 
0L19 45866 317.02 36.572 5.771051498E-08 3.400176907E+00 9.906176545E+03 2.459143712E-04 5.210470025E+00 1.324430667E+03 0.000000000E+00 2.506608670E-04 4.464170444E-01 2.341429109E-04 3.988992657E-01 4.169509983E-05 2.658057911E-01 1.568589386E-04 5.178245996E-01 
0L20 46498 318.01 36.459 7.528873151E-08 3.441512684E+00 1.038573585E+04 2.596840855E-04 5.286707543E+00 1.282917857E+03 0.000000000E+00 2.502679493E-04 4.440434296E-01 2.341312958E-04 4.012321340E-01 4.171388358E-05 2.637380072E-01 1.581659052E-04 1.557969976E-01 
0L21 47128 319.03 36.342 9.214066011E-08 3.469098080E+00 1.052654972E+04 2.676758271E-04 5.193738997E+00 1.230832982E+03 0.000000000E+00 2.500678231E-04 4.421102715E-01 2.342078659E-04 4.013847530E-01 4.156166649E-05 2.650539595E-01 1.568081976E-04 4.016013254E-01 
0L22 47766 320.02 36.23 9.946116948E-08 3.507993439E+00 1.092242657E+04 3.019450504E-04 5.619485167E+00 1.231629123E+03 0.000000000E+00 2.505917276E-04 4.402548569E-01 2.345074606E-04 4.013850683E-01 4.144021807E-05 2.644566490E-01 1.566957569E-04 4.771576544E-01 
0L23 48398 321.03 36.116 6.660679569E-08 3.409076614E+00 1.067550057E+04 3.339626875E-04 6.217976683E+00 1.230690864E+03 0.000000000E+00 2.511633009E-04 4.398488319E-01 2.343532573E-04 4.015519095E-01 4.139197343E-05 2.634459261E-01 1.571208212E-04 2.233292542E-02 
0L24 49026 322.02 36.005 2.365496594E-07 3.683774613E+00 1.269631517E+04 3.269058472E-04 5.378555112E+00 1.136026540E+03 0.000000000E+00 2.490072539E-04 4.371043045E-01 2.341297825E-04 4.038188270E-01 4.132646975E-05 2.641714685E-01 1.564460464E-04 4.656251447E-01 
0L25 49656 323.03 35.892 3.616796437E-07 3.739464786E+00 1.293513573E+04 3.114060591E-04 4.923517538E+00 1.038688277E+03 0.000000000E+00 2.480121120E-04 4.361781944E-01 2.342752683E-04 4.024076156E-01 4.112032946E-05 2.627716318E-01 1.564823140E-04 6.000116056E-02 
0L26 50292 324.03 35.781 4.796846826E-07 3.783309115E+00 1.463741664E+04 3.413112519E-04 5.246093684E+00 1.032932357E+03 0.000000000E+00 2.475538132E-04 4.341064648E-01 2.341693458E-04 4.040261196E-01 4.107104364E-05 2.623410807E-01 1.565544950E-04 1.958104701E-02 
0L27 50926 325.03 35.671 8.876593916E-07 3.911091201E+00 1.663076747E+04 3.451433859E-04 4.981529059E+00 9.725009784E+02 0.000000000E+00 2.467385627E-04 4.323114605E-01 2.340822325E-04 4.052586334E-01 4.101072766E-05 2.602347513E-01 1.575910908E-04 4.546869581E-01 
0L28 51552 326.03 35.562 1.474910716E-06 4.048553055E+00 1.846734685E+04 3.580460158E-04 4.714055517E+00 9.323937322E+02 0.000000000E+00 2.462742303E-04 4.307676014E-01 2.341478550E-04 4.055223491E-01 4.090232636E-05 2.621998856E-01 1.559967230E-04 2.772034831E-01 
0L29 52176 327.03 35.453 1.756420661E-06 4.039276942E+00 2.001697961E+04 3.698942528E-04 4.766466969E+00 9.002332004E+02 0.000000000E+00 2.453928240E-04 4.291532482E-01 2.340600798E-04 4.048731853E-01 4.066855738E-05 2.597738333E-01 1.565526984E-04 2.689618093E-01 
0L30 52804 328.02 35.346 1.351166917E-06 3.989288400E+00 1.805142652E+04 3.952807982E-04 4.905929114E+00 8.913334419E+02 0.000000000E+00 2.462638501E-04 4.262065437E-01 2.340377531E-04 4.072230206E-01 4.061985365E-05 2.573004505E-01 1.578678097E-04 3.352540412E-01 
0L31 53424 329.03 35.238 6.981654617E-07 3.814580715E+00 1.498920108E+04 4.242511935E-04 5.409196869E+00 8.888128348E+02 0.000000000E+00 2.477019809E-04 4.250831997E-01 2.341018623E-04 4.059150450E-01 4.039372997E-05 2.572293779E-01 1.570438978E-04 3.728426598E-01 
0L32 54046 330.02 35.132 3.885152744E-06 4.188168510E+00 2.429035312E+04 4.068848690E-04 4.543601702E+00 8.013847812E+02 0.000000000E+00 2.436004388E-04 4.234165413E-01 2.340591614E-04 4.056638216E-01 4.020311855E-05 2.568212133E-01 1.565375732E-04 3.483221466E-01 
0L33 54670 331.04 35.024 7.603391968E-06 4.330314097E+00 3.158761618E+04 4.260983801E-04 4.422727440E+00 7.733017887E+02 0.000000000E+00 2.400069643E-04 4.222803932E-01 2.339312081E-04 4.051346886E-01 4.002105299E-05 2.562778589E-01 1.561644380E-04 2.159995073E-01 
0L34 55298 332.04 34.918 1.163239556E-05 4.408318232E+00 3.746189038E+04 4.401058775E-04 4.274917508E+00 7.445316864E+02 0.000000000E+00 2.361182643E-04 4.203360413E-01 2.338637669E-04 4.055337751E-01 3.986452567E-05 2.555668358E-01 1.559852849E-04 6.978486770E-03 
0L35 55912 333.01 34.816 6.566108837E-06 4.251555962E+00 3.265409880E+04 4.968432396E-04 4.921124087E+00 7.726890958E+02 0.000000000E+00 2.406088481E-04 4.181739944E-01 2.333680666E-04 4.068646208E-01 3.970529037E-05 2.520375959E-01 1.575377410E-04 5.708136798E-01 
