Ew Nt
4.4469855E-1 4.0478818E+14
4.4199288E-1 3.6281301E+14
4.3928719E-1 3.4982549E+14
4.3658151E-1 3.3878310E+14
4.3387582E-1 3.1251098E+14
4.3117014E-1 2.7469626E+14
4.2846446E-1 2.4013160E+14
4.2575878E-1 2.1809863E+14
4.2305309E-1 2.0563577E+14
4.2034742E-1 1.9375610E+14
4.1764173E-1 1.7703570E+14
4.1493605E-1 1.5728575E+14
4.1223037E-1 1.4055679E+14
4.0952469E-1 1.3232353E+14
4.0681900E-1 1.3456867E+14
4.0411332E-1 1.4530274E+14
4.0140764E-1 1.5975467E+14
3.9870196E-1 1.7245403E+14
3.9599628E-1 1.7924392E+14
3.9329060E-1 1.7835533E+14
3.9058491E-1 1.7050317E+14
3.8787923E-1 1.5848913E+14
3.8517355E-1 1.4632651E+14
3.8246787E-1 1.3758034E+14
3.7976219E-1 1.3354880E+14
3.7705650E-1 1.3283589E+14
3.7435082E-1 1.3291555E+14
3.7164514E-1 1.3232073E+14
3.6893946E-1 1.3170377E+14
3.6623378E-1 1.3346494E+14
3.6352810E-1 1.4073762E+14
3.6082241E-1 1.5624874E+14
3.5811673E-1 1.8119698E+14
3.5541105E-1 2.1463214E+14
3.5270537E-1 2.5397924E+14
3.4999969E-1 2.9657801E+14
3.4729401E-1 3.4120906E+14
3.4458832E-1 3.8867880E+14
3.4188264E-1 4.4144599E+14
3.3917696E-1 5.0290237E+14
3.3647128E-1 5.7676512E+14
3.3376560E-1 6.6655821E+14
3.3105991E-1 7.7496768E+14
3.2835423E-1 9.0312044E+14
3.2564855E-1 1.0502409E+15
3.2294287E-1 1.2141127E+15
3.2023719E-1 1.3921642E+15
3.1753151E-1 1.5822998E+15
3.1482582E-1 1.7826861E+15
3.1212014E-1 1.9906413E+15
3.0941446E-1 2.2016393E+15
3.0670878E-1 2.4093116E+15
3.0400310E-1 2.6062966E+15
3.0129741E-1 2.7851490E+15
2.9859173E-1 2.9388258E+15
2.9588605E-1 3.0608307E+15
2.9318037E-1 3.1448960E+15
2.9047469E-1 3.1834345E+15
2.8776901E-1 3.1641307E+15
2.8506332E-1 3.0655093E+15
2.8235764E-1 2.8546018E+15
2.7965196E-1 2.4916477E+15
2.7694628E-1 1.9454237E+15
2.7424060E-1 1.2158994E+15
2.7153491E-1 7.9855031E+14
