N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.020600000E-05 8.597000000E-06 6.883000000E-06 4.453000000E-06 1.490000001E-07 -7.546000000E-06 8.961000000E-06 9.866000000E-06 1.247000000E-05 1.779300000E-05 2.791000000E-05
1.600000000E+01 1.665470000E-04 1.462620000E-04 1.282570000E-04 1.134440000E-04 1.022940000E-04 9.504200000E-05 9.126700000E-05 9.081300000E-05 9.243100000E-05 9.434300000E-05 9.331100000E-05
1.700000000E+01 2.475645000E-03 2.333162000E-03 2.171210000E-03 1.978019000E-03 1.790165000E-03 1.608579000E-03 1.443949000E-03 1.306289000E-03 1.201726000E-03 1.135541000E-03 1.109636000E-03
1.549996187E+01 4.182500000E-05 3.638500000E-05 3.212800000E-05 2.899600000E-05 2.675600000E-05 2.490300000E-05 2.234700000E-05 1.708200000E-05 6.115000000E-06 -1.382700000E-05 1.760100000E-05
1.649996187E+01 6.591090000E-04 5.962220000E-04 5.329340000E-04 4.726400000E-04 4.189990000E-04 3.746660000E-04 3.416650000E-04 3.210920000E-04 3.131040000E-04 3.171360000E-04 3.317320000E-04
1.674996808E+01 1.293195000E-03 1.193618000E-03 1.085004000E-03 9.739420000E-04 8.684690000E-04 7.753720000E-04 6.975840000E-04 6.392510000E-04 6.021280000E-04 5.875180000E-04 5.958270000E-04
1.624993176E+01 3.321340000E-04 2.953540000E-04 2.605300000E-04 2.298220000E-04 2.043840000E-04 1.855160000E-04 1.732950000E-04 1.679370000E-04 1.691470000E-04 1.755950000E-04 1.854820000E-04
1.574996808E+01 8.343800000E-05 7.274100000E-05 6.381100000E-05 5.705800000E-05 5.235800000E-05 4.966900000E-05 4.835300000E-05 4.736500000E-05 4.487700000E-05 3.718100000E-05 2.003600000E-05
1.524993176E+01 2.088400000E-05 1.812900000E-05 1.595100000E-05 1.405900000E-05 1.186800000E-05 8.250000000E-06 1.295000000E-06 -1.110100000E-05 1.250300000E-05 1.350700000E-05 1.640000000E-05
