fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00L1 7:4 297.3 39 3.50E+00 3.73E-11 4.21E-06 1 2.779 6.85E+02 1.728E-004 0.1081 1.719E-004 4.754E-006 0.2558 
00L2 7:26 300.5 38.58 3.51E+00 6.65E-11 4.54E-06 1 2.732 6.91E+02 1.756E-004 0.1097 1.747E-004 4.937E-006 0.2576 
00L3 7:47 303.6 38.19 3.51E+00 1.06E-10 5.08E-06 1 2.686 7.13E+02 1.757E-004 0.1113 1.748E-004 5.055E-006 0.2598 
00L4 8:8 307.2 37.74 3.52E+00 1.96E-10 6.76E-06 1 2.726 7.49E+02 1.761E-004 0.1128 1.752E-004 5.205E-006 0.2634 
00L5 8:28 310 37.4 3.52E+00 3.39E-10 7.97E-06 1 2.745 7.52E+02 1.760E-004 0.1111 1.751E-004 5.141E-006 0.2642 
00L6 8:45 313.7 36.96 3.53E+00 6.26E-10 9.17E-06 1 2.72 7.62E+02 1.777E-004 0.1109 1.768E-004 5.220E-006 0.2661 
00L7 9:3 315.2 36.78 3.53E+00 8.08E-10 9.70E-06 1 2.704 7.67E+02 1.765E-004 0.1097 1.756E-004 5.133E-006 0.2665 
00L8 9:22 318.9 36.36 3.53E+00 1.40E-09 1.28E-05 1 2.751 8.04E+02 1.796E-004 0.1103 1.787E-004 5.334E-006 0.2706 
00L9 9:41 320.6 36.16 3.53E+00 1.63E-09 1.16E-05 1 2.623 7.84E+02 1.759E-004 0.1072 1.750E-004 5.040E-006 0.2687 
0L10 10:0 323.6 35.83 3.54E+00 2.05E-09 1.03E-05 1 2.461 7.61E+02 1.772E-004 0.1059 1.763E-004 5.007E-006 0.2681 
0L11 10:20 325.8 35.59 3.54E+00 2.50E-09 1.05E-05 1 2.39 7.60E+02 1.790E-004 0.1056 1.781E-004 5.066E-006 0.2694 
0L12 10:45 328.2 35.33 3.54E+00 2.20E-09 5.58E-06 1 2.054 6.38E+02 1.859E-004 0.1017 1.848E-004 4.965E-006 0.2643 
0L13 11:5 330.5 35.08 3.55E+00 3.84E-09 1.18E-05 1 2.301 7.64E+02 1.789E-004 0.1025 1.779E-004 4.994E-006 0.2738 
0L14 11:26 333.4 34.78 3.55E+00 1.03E-08 2.18E-05 1 2.625 8.13E+02 1.806E-004 0.09868 1.796E-004 4.903E-006 0.2767 
0L15 11:57 335.9 34.52 3.55E+00 1.84E-08 3.14E-05 1 2.859 8.59E+02 1.775E-004 0.09459 1.766E-004 4.632E-006 0.2773 
