N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.078541265E+00 1.079179333E+00 1.080149578E+00 1.081587661E+00 1.083679580E+00 1.086673535E+00 1.090883677E+00 1.096673349E+00 1.104397817E+00 1.114284011E+00 1.126245911E+00 1.139701570E+00 1.153553581E+00 1.166493635E+00 1.177544762E+00 1.186438958E+00 1.193523019E+00 1.199355700E+00 1.204390396E+00
1.600000000E+01 1.241398221E+00 1.244290360E+00 1.246509319E+00 1.248211085E+00 1.249531765E+00 1.250594351E+00 1.251511313E+00 1.252386991E+00 1.253320400E+00 1.254407396E+00 1.255740464E+00 1.257405284E+00 1.259474223E+00 1.261998230E+00 1.264999432E+00 1.268467479E+00 1.272363612E+00 1.276633782E+00 1.281224964E+00
1.700000000E+01 1.262674693E+00 1.272610697E+00 1.280554581E+00 1.287137654E+00 1.292824769E+00 1.297909336E+00 1.302552638E+00 1.306850168E+00 1.310897431E+00 1.314828456E+00 1.318816603E+00 1.323045302E+00 1.327665814E+00 1.332760579E+00 1.338328435E+00 1.344299406E+00 1.350570492E+00 1.357040633E+00 1.363627331E+00
1.549996187E+01 1.214120800E+00 1.215352323E+00 1.216297688E+00 1.217070319E+00 1.217767323E+00 1.218476318E+00 1.219280705E+00 1.220262014E+00 1.221497166E+00 1.223049240E+00 1.224952981E+00 1.227202601E+00 1.229754091E+00 1.232548383E+00 1.235542315E+00 1.238722430E+00 1.242093653E+00 1.245661011E+00 1.249422724E+00
1.649996187E+01 1.254314188E+00 1.259932063E+00 1.264495061E+00 1.268250086E+00 1.271356538E+00 1.273937454E+00 1.276115963E+00 1.278030463E+00 1.279834386E+00 1.281689146E+00 1.283754915E+00 1.286179055E+00 1.289081269E+00 1.292536896E+00 1.296564288E+00 1.301124739E+00 1.306139556E+00 1.311517764E+00 1.317178786E+00
1.674996808E+01 1.258158304E+00 1.265642657E+00 1.271720579E+00 1.276806154E+00 1.281160739E+00 1.284937617E+00 1.288243427E+00 1.291190020E+00 1.293920453E+00 1.296609094E+00 1.299445085E+00 1.302607885E+00 1.306240148E+00 1.310423412E+00 1.315165331E+00 1.320407273E+00 1.326052059E+00 1.331997663E+00 1.338158306E+00
1.624993176E+01 1.248722135E+00 1.252843383E+00 1.256115520E+00 1.258713181E+00 1.260777126E+00 1.262438514E+00 1.263827795E+00 1.265075424E+00 1.266310652E+00 1.267660578E+00 1.269248285E+00 1.271187923E+00 1.273575557E+00 1.276476984E+00 1.279916619E+00 1.283873716E+00 1.288291244E+00 1.293096039E+00 1.298219465E+00
1.574996808E+01 1.231586469E+00 1.233514940E+00 1.234958770E+00 1.236056563E+00 1.236925685E+00 1.237667264E+00 1.238370934E+00 1.239119236E+00 1.239990461E+00 1.241058727E+00 1.242390868E+00 1.244041333E+00 1.246048374E+00 1.248433691E+00 1.251204012E+00 1.254351257E+00 1.257852394E+00 1.261673981E+00 1.265781715E+00
1.524993176E+01 1.178069745E+00 1.178867514E+00 1.179615427E+00 1.180415034E+00 1.181370771E+00 1.182597614E+00 1.184224425E+00 1.186388795E+00 1.189217375E+00 1.192786737E+00 1.197069602E+00 1.201892343E+00 1.206950058E+00 1.211907365E+00 1.216538540E+00 1.220800673E+00 1.224787817E+00 1.228629544E+00 1.232423332E+00
