fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L1 29804 295.1 39.3 7.623929088E-09 3.355580957E+00 7.385333919E+03 7.287674620E-05 4.063735311E+00 3.021064892E+03 0.000000000E+00 2.757589588E-04 4.880531636E-01 2.480363440E-04 4.336012721E-05 3.581855769E-01 2.693584036E-01 1.609755873E-04 3.069934059E-03 
00L2 30616 298 38.9 7.317586511E-09 3.283670057E+00 7.219703357E+03 8.469117430E-05 4.260173205E+00 2.572994679E+03 0.000000000E+00 2.750847877E-04 4.840835353E-01 2.482492406E-04 4.381685349E-05 3.646136701E-01 2.715438068E-01 1.613620064E-04 4.147430377E-03 
00L3 31408 301 38.52 3.219132843E-08 3.530733978E+00 8.475539823E+03 9.434692441E-05 4.015600341E+00 2.204279458E+03 0.000000000E+00 2.708746113E-04 4.776089489E-01 2.484584880E-04 4.414432809E-05 3.720048632E-01 2.716710271E-01 1.624918511E-04 3.462442032E-03 
00L4 31976 304.1 38.13 9.883194829E-09 3.260785377E+00 7.049433916E+03 1.223356864E-04 4.626453313E+00 2.019630442E+03 0.000000000E+00 2.752230678E-04 4.733157340E-01 2.497483405E-04 4.444247123E-05 3.759626025E-01 2.729279374E-01 1.628359180E-04 1.819225027E-03 
00L5 32756 307 37.76 3.430335499E-08 3.465132493E+00 8.190125722E+03 1.404114693E-04 4.516680798E+00 1.761799852E+03 0.000000000E+00 2.716677309E-04 4.675463634E-01 2.498567379E-04 4.465629696E-05 3.822671319E-01 2.724506210E-01 1.639060201E-04 1.792264161E-03 
00L6 33494 310 37.4 1.681428361E-07 3.814252976E+00 1.044373707E+04 1.660322539E-04 4.314330038E+00 1.566801452E+03 0.000000000E+00 2.684506684E-04 4.621243498E-01 2.497660896E-04 4.469741903E-05 3.872488345E-01 2.719713007E-01 1.643460869E-04 3.535495125E-03 
00L7 34100 313 37.04 3.616595204E-08 3.413542179E+00 7.775180488E+03 1.987349379E-04 4.836044392E+00 1.441830390E+03 0.000000000E+00 2.719444526E-04 4.570035625E-01 2.506021857E-04 4.479655531E-05 3.911471584E-01 2.720786071E-01 1.646456360E-04 6.836812315E-03 
00L8 34810 316 36.69 6.860918121E-08 3.513583885E+00 9.246111276E+03 2.524171060E-04 5.488223224E+00 1.354609516E+03 0.000000000E+00 2.706049119E-04 4.522723837E-01 2.506372137E-04 4.475670782E-05 3.948321508E-01 2.701538245E-01 1.656711983E-04 3.141711221E-03 
00L9 35524 319 36.34 1.375046548E-07 3.658927359E+00 1.044247924E+04 3.069766646E-04 5.747766373E+00 1.249569956E+03 0.000000000E+00 2.702083684E-04 4.468928978E-01 2.510262532E-04 4.454199050E-05 3.970516675E-01 2.680356046E-01 1.661793796E-04 1.857124212E-03 
0L10 36224 322 36 7.229755434E-08 3.357065425E+00 8.639946053E+03 2.999076325E-04 5.728434215E+00 1.061988288E+03 0.000000000E+00 2.697831992E-04 4.405809779E-01 2.511839156E-04 4.440763972E-05 4.012731693E-01 2.666565993E-01 1.665349361E-04 8.903406818E-03 
0L11 37902 325 35.67 1.377320094E-06 4.128859242E+00 1.456119271E+04 3.334621042E-04 4.500365014E+00 9.053930506E+02 0.000000000E+00 2.659804633E-04 4.368672903E-01 2.509322856E-04 4.396027245E-05 4.010091702E-01 2.646341232E-01 1.661171731E-04 5.332795887E-03 
0L12 40238 328 35.34 5.921944835E-07 3.740022102E+00 1.109086110E+04 3.298764041E-04 4.920529356E+00 7.875282574E+02 0.000000000E+00 2.655361368E-04 4.306561439E-01 2.505209477E-04 4.353516227E-05 4.035203804E-01 2.621093982E-01 1.660953883E-04 4.640497337E-03 
0L13 42754 331 35.03 4.618625809E-07 3.583175510E+00 1.063613641E+04 3.775693004E-04 5.671536137E+00 7.396716123E+02 0.000000000E+00 2.646236124E-04 4.251348527E-01 2.496400867E-04 4.300575236E-05 4.052150015E-01 2.594443072E-01 1.657610176E-04 4.928464032E-03 
0L14 43426 334 34.71 1.072142784E-06 3.740538564E+00 1.193930459E+04 3.889217578E-04 5.105567498E+00 6.412201052E+02 0.000000000E+00 2.630834486E-04 4.200503030E-01 2.494225416E-04 4.253145184E-05 4.059506164E-01 2.568067461E-01 1.656165676E-04 5.359704970E-03 
0L15 44118 337 34.41 1.497585185E-06 3.818143126E+00 1.210667389E+04 4.284378726E-04 4.763555632E+00 5.868093234E+02 0.000000000E+00 2.631653171E-04 4.145008427E-01 2.495631535E-04 4.196850137E-05 4.057117437E-01 2.540299995E-01 1.652108076E-04 1.023422510E-02 
0L16 44770 340 34.1 3.243940291E-06 3.936749214E+00 1.296359269E+04 3.677545305E-04 3.953879674E+00 4.840285269E+02 0.000000000E+00 2.602067578E-04 4.096255226E-01 2.489433639E-04 4.124191320E-05 4.044373365E-01 2.510119020E-01 1.643026202E-04 9.652401828E-03 
