T d154 d184 d214 d244
d 150 180 210 240
290 1.205456027E+00 1.202217804E+00 1.199193961E+00 1.197067864E+00
295 1.206830567E+00 1.203845868E+00 1.201072069E+00 1.199092540E+00
300 1.208236275E+00 1.205499434E+00 1.203093809E+00 1.200745301E+00
305 1.210343632E+00 1.207522603E+00 1.205263487E+00 1.202973100E+00
310 1.212407367E+00 1.209457348E+00 1.207002821E+00 1.204555122E+00
315 1.213728471E+00 1.210450413E+00 1.207685824E+00 1.204935743E+00
320 1.214003454E+00 1.210109853E+00 1.206813330E+00 1.203483562E+00
325 1.211026694E+00 1.205997909E+00 1.201663542E+00 1.197361614E+00
330 1.200531314E+00 1.193282753E+00 1.186977124E+00 1.180964255E+00
335 1.174754282E+00 1.163472847E+00 1.153569145E+00 1.144435760E+00
340 1.119959612E+00 1.101785411E+00 1.086143317E+00 1.072218988E+00
