X GeCrNph200 GeCrNph300 GeCrNph400 OrCrNph200 OrCrNph300 OrCrNph400 OrCrNph500 OrCrNph600 OrCrNph700 OrCrNph750 OsCrNph200 OsCrNph300 OsCrNph400 OsCrNph500 OsCrNph600 OsCrNph700
4.64000E+2 3.51186E+12 7.68971E+13 1.58646E+14 0.00000E+0 0.00000E+0 3.76825E+13 1.26182E+14 2.22978E+14 3.11938E+14 3.56267E+14 7.24102E+12 2.80848E+13 4.94884E+13 1.33447E+14 2.26426E+14 3.12405E+14
4.65000E+2 8.02572E+12 7.78997E+13 1.55464E+14 0.00000E+0 0.00000E+0 4.41671E+13 1.31656E+14 2.27168E+14 3.20463E+14 3.66949E+14 8.83237E+12 3.28796E+13 5.75649E+13 1.38390E+14 2.27586E+14 3.14632E+14
4.66000E+2 1.12805E+13 8.14020E+13 1.59053E+14 0.00000E+0 0.00000E+0 4.80801E+13 1.35152E+14 2.30099E+14 3.24445E+14 3.71456E+14 6.01331E+12 2.90190E+13 5.26746E+13 1.37622E+14 2.31615E+14 3.30747E+14
4.67000E+2 1.87262E+13 8.68766E+13 1.61891E+14 0.00000E+0 0.00000E+0 5.09561E+13 1.39462E+14 2.35918E+14 3.28111E+14 3.74054E+14 8.94288E+12 3.35321E+13 5.87752E+13 1.43302E+14 2.36629E+14 3.30018E+14
4.68000E+2 1.82046E+13 9.22894E+13 1.73962E+14 0.00000E+0 0.00000E+0 5.44814E+13 1.43723E+14 2.40899E+14 3.30997E+14 3.75901E+14 1.11185E+13 3.76849E+13 6.49340E+13 1.49551E+14 2.42784E+14 3.37284E+14
4.69000E+2 2.18595E+13 9.76744E+13 1.81066E+14 0.00000E+0 0.00000E+0 5.89504E+13 1.47896E+14 2.44627E+14 3.37608E+14 3.83946E+14 1.37214E+13 4.15816E+13 7.01243E+13 1.56336E+14 2.51202E+14 3.44560E+14
4.70000E+2 2.48030E+13 1.04343E+14 1.91722E+14 0.00000E+0 0.00000E+0 6.27554E+13 1.52590E+14 2.50206E+14 3.45301E+14 3.92692E+14 1.53723E+13 4.58918E+13 7.71534E+13 1.62720E+14 2.56639E+14 3.52133E+14
4.71000E+2 2.80170E+13 1.08914E+14 1.97621E+14 0.00000E+0 0.00000E+0 6.69399E+13 1.58665E+14 2.58259E+14 3.51866E+14 3.98521E+14 1.82903E+13 5.01828E+13 8.28146E+13 1.69423E+14 2.64336E+14 3.59156E+14
4.72000E+2 3.18643E+13 1.13195E+14 2.02162E+14 0.00000E+0 0.00000E+0 7.12694E+13 1.62924E+14 2.62326E+14 3.54556E+14 4.00529E+14 2.03801E+13 5.39031E+13 8.81844E+13 1.75820E+14 2.71721E+14 3.67256E+14
4.73000E+2 3.46485E+13 1.17867E+14 2.08779E+14 0.00000E+0 0.00000E+0 7.43692E+13 1.66133E+14 2.65576E+14 3.58785E+14 4.05247E+14 2.32338E+13 5.82528E+13 9.40324E+13 1.82068E+14 2.78235E+14 3.74904E+14
4.74000E+2 3.87382E+13 1.21478E+14 2.11616E+14 0.00000E+0 0.00000E+0 7.74338E+13 1.70542E+14 2.71389E+14 3.64778E+14 4.11331E+14 2.42572E+13 6.07984E+13 9.81330E+13 1.87179E+14 2.84353E+14 3.83494E+14
4.75000E+2 4.40853E+13 1.25738E+14 2.14351E+14 0.00000E+0 0.00000E+0 8.03718E+13 1.73796E+14 2.74916E+14 3.68694E+14 4.15444E+14 2.65917E+13 6.45069E+13 1.03222E+14 1.93606E+14 2.92127E+14 3.91262E+14
