N x
1.4939126E+0 1.3731031E+21
1.4820346E+0 1.3542333E+21
1.4697256E+0 1.3292525E+21
1.4571884E+0 1.3344032E+21
1.4447653E+0 1.3477615E+21
1.4322613E+0 1.3453948E+21
1.4195754E+0 1.3333543E+21
1.4066159E+0 1.3255744E+21
1.3935433E+0 1.3308490E+21
1.3804446E+0 1.3308966E+21
1.3671228E+0 1.3493474E+21
1.3541368E+0 1.3436299E+21
1.3404393E+0 1.3240626E+21
1.3267899E+0 1.3235105E+21
1.3127955E+0 1.3308303E+21
1.2990110E+0 1.3291861E+21
1.2846789E+0 1.3152540E+21
1.2702849E+0 1.3386534E+21
1.2561386E+0 1.3343771E+21
1.2413201E+0 1.3245789E+21
1.2266205E+0 1.3299098E+21
1.2115622E+0 1.3054058E+21
1.1959244E+0 1.3155377E+21
1.1807172E+0 1.3181155E+21
1.1647272E+0 1.3083730E+21
1.1488686E+0 1.3245296E+21
1.1328286E+0 1.3086113E+21
1.1161177E+0 1.3036477E+21
1.0994715E+0 1.3123214E+21
1.0824730E+0 1.3072721E+21
1.0651672E+0 1.2932877E+21
1.0472289E+0 1.2902970E+21
1.0292462E+0 1.3018382E+21
1.0110005E+0 1.2900997E+21
9.9201957E-1 1.2906236E+21
9.7309178E-1 1.2825098E+21
9.5310682E-1 1.2714757E+21
9.3303834E-1 1.2785795E+21
9.1240875E-1 1.2766565E+21
8.9136037E-1 1.2784524E+21
8.6980417E-1 1.2784930E+21
