N x
1.4126954E+0 1.3371892E+21
1.3997895E+0 1.4143325E+21
1.3881905E+0 1.4349385E+21
1.3754130E+0 1.4013411E+21
1.3630117E+0 1.4511212E+21
1.3508758E+0 1.4181211E+21
1.3376654E+0 1.4024912E+21
1.3250096E+0 1.4198704E+21
1.3118617E+0 1.3802955E+21
1.2981997E+0 1.4594832E+21
1.2862616E+0 1.4539429E+21
1.2722251E+0 1.3814678E+21
1.2586503E+0 1.4257652E+21
1.2451793E+0 1.4086199E+21
1.2309698E+0 1.3973449E+21
1.2169641E+0 1.4126297E+21
1.2027337E+0 1.4172355E+21
1.1884893E+0 1.4375177E+21
1.1743253E+0 1.3921485E+21
1.1587828E+0 1.3919019E+21
1.1442457E+0 1.4424381E+21
1.1293712E+0 1.3938723E+21
1.1133981E+0 1.3843931E+21
1.0978886E+0 1.4016843E+21
1.0818505E+0 1.4099577E+21
1.0660727E+0 1.4170504E+21
1.0497126E+0 1.4024611E+21
1.0330995E+0 1.4001487E+21
1.0161524E+0 1.4084556E+21
9.9918597E-1 1.4034709E+21
9.8152894E-1 1.3962846E+21
9.6376860E-1 1.3977798E+21
9.4548969E-1 1.3934742E+21
9.2692342E-1 1.4027964E+21
9.0815792E-1 1.4002827E+21
8.8874229E-1 1.3827170E+21
8.6864605E-1 1.3785032E+21
8.4820010E-1 1.3902621E+21
8.2747938E-1 1.3837572E+21
8.0578616E-1 1.3863413E+21
7.8402858E-1 1.4031797E+21
