V d44s d44b V1 d52a d54b V2 d54c
-1.200000e+00 8.067620e+02 3.528639e+02 -1.200000e+00 5.668990e+02 3.174834e+02 -1.200000e+00 4.392738e+02
-1.100000e+00 7.995978e+02 3.501792e+02 -1.000000e+00 5.360897e+02 3.239034e+02 -1.000000e+00 3.983811e+02
-1.000000e+00 7.621377e+02 3.639350e+02 -8.000000e-01 4.908661e+02 2.917035e+02 -8.000000e-01 3.607894e+02
-9.000000e-01 7.229068e+02 3.743341e+02 -6.000000e-01 4.654293e+02 2.005991e+02 -6.000000e-01 3.158608e+02
-8.000000e-01 6.950239e+02 4.212257e+02 -4.000000e-01 3.977082e+02 1.352970e+02 -4.000000e-01 2.675768e+02
-7.000000e-01 6.672182e+02 4.252544e+02 -2.000000e-01 3.166503e+02 1.273317e+02 -2.000000e-01 2.218759e+02
-6.000000e-01 6.243797e+02 4.544014e+02 0.000000e+00 2.067500e+02 8.361143e+01 -2.000000e-01 2.218759e+02
-5.000000e-01 6.112788e+02 4.410256e+02 2.000000e-01 9.342477e+01 3.649363e+01 0.000000e+00 1.597829e+02
-4.000000e-01 5.691739e+02 4.667876e+02 4.000000e-01 6.385775e+01 3.844989e+01 2.000000e-01 8.747055e+01
-3.000000e-01 5.296771e+02 4.706417e+02 NaN NaN NaN 4.000000e-01 3.348660e+01
-2.000000e-01 4.820462e+02 4.681753e+02 NaN NaN NaN NaN NaN
-1.000000e-01 4.676872e+02 4.485885e+02 NaN NaN NaN NaN NaN
0.000000e+00 4.938530e+02 4.389879e+02 NaN NaN NaN NaN NaN
1.000000e-01 2.757954e+02 4.257012e+02 NaN NaN NaN NaN NaN
2.000000e-01 2.020248e+02 4.094757e+02 NaN NaN NaN NaN NaN
3.000000e-01 1.778047e+02 3.446181e+02 NaN NaN NaN NaN NaN
