V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 3.761480e+03 -1.200000e+00 7.221282e+02 -1.200000e+00 3.221687e+02 5.272861e+02 3.047697e+02 7.819387e+02 5.796325e+02 6.092375e+02
-2.000000e-01 1.035470e+04 -1.100000e+00 6.700267e+02 -1.000000e+00 2.573133e+02 4.455612e+02 2.762243e+02 7.421952e+02 5.238377e+02 5.184299e+02
0.000000e+00 1.012799e+04 -9.000000e-01 6.220813e+02 -8.000000e-01 2.388423e+02 4.185974e+02 2.410584e+02 6.690453e+02 4.697807e+02 4.709584e+02
1.000000e-01 4.839711e+03 -8.000000e-01 5.995941e+02 -6.000000e-01 2.084714e+02 3.504389e+02 2.347446e+02 5.997317e+02 4.170993e+02 3.913515e+02
2.000000e-01 1.704622e+03 -7.000000e-01 5.657766e+02 -4.000000e-01 1.669909e+02 3.277904e+02 2.090125e+02 5.176835e+02 3.612172e+02 3.912725e+02
NaN NaN -6.000000e-01 5.603483e+02 -2.000000e-01 1.418329e+02 2.919489e+02 1.549161e+02 4.342772e+02 3.008942e+02 3.144136e+02
NaN NaN -5.000000e-01 5.113327e+02 0.000000e+00 1.122106e+02 2.287787e+02 1.133983e+02 3.433635e+02 2.364097e+02 2.507221e+02
NaN NaN -4.000000e-01 5.006800e+02 2.000000e-01 4.807450e+01 1.448426e+02 3.574441e+01 2.281267e+02 8.714397e+01 1.589613e+02
NaN NaN -3.000000e-01 4.607158e+02 4.000000e-01 3.132994e+01 6.798787e+01 2.260592e+01 4.615280e+01 4.093657e+01 6.006410e+01
NaN NaN -2.000000e-01 4.370597e+02 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 3.920852e+02 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 3.460283e+02 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 1.000000e-01 2.841402e+02 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 2.000000e-01 2.138968e+02 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 3.000000e-01 1.448861e+02 NaN NaN NaN NaN NaN NaN NaN
