V d42 V1 d61a d61c d64a d64b
-1.200000e+00 5.146336e+02 -1.200000e+00 6.631098e+02 6.130376e+02 3.686442e+02 3.376331e+02
-1.100000e+00 5.020224e+02 -1.000000e+00 6.975797e+02 5.736943e+02 3.742198e+02 3.106005e+02
-1.000000e+00 4.935176e+02 -8.000000e-01 6.127982e+02 5.380826e+02 3.234394e+02 2.815502e+02
-9.000000e-01 4.761552e+02 -6.000000e-01 5.426775e+02 4.780213e+02 2.874313e+02 2.568791e+02
-8.000000e-01 4.530483e+02 -4.000000e-01 4.445019e+02 4.390731e+02 2.353469e+02 2.289406e+02
-7.000000e-01 4.359023e+02 -2.000000e-01 4.112029e+02 3.687708e+02 1.592407e+02 1.864033e+02
-6.000000e-01 4.181118e+02 0.000000e+00 3.256438e+02 2.998301e+02 1.490801e+02 1.477198e+02
-5.000000e-01 4.077823e+02 2.000000e-01 1.969331e+02 1.855425e+02 1.002106e+02 1.186781e+02
-4.000000e-01 3.890660e+02 4.000000e-01 4.755696e+01 8.501374e+01 5.717989e+01 7.913263e+01
-3.000000e-01 3.696011e+02 NaN NaN NaN NaN NaN
-2.000000e-01 3.461813e+02 NaN NaN NaN NaN NaN
-1.000000e-01 3.216963e+02 NaN NaN NaN NaN NaN
0.000000e+00 3.030412e+02 NaN NaN NaN NaN NaN
1.000000e-01 2.928230e+02 NaN NaN NaN NaN NaN
2.000000e-01 3.012371e+02 NaN NaN NaN NaN NaN
3.000000e-01 2.810236e+02 NaN NaN NaN NaN NaN
