V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 7.926855e+01 5.174286e+02 -1.200000e+00 3.116555e+02 9.729475e+03 1.362980e+03 8.600285e+02 4.005070e+02 5.001450e+02 2.391233e+02 6.576113e+02 1.224232e+04 8.179596e+02 1.283612e+03 1.057447e+03
-1.100000e+00 2.160545e+02 4.941518e+02 -1.000000e+00 9.354247e+02 1.306817e+04 8.565108e+03 1.457030e+03 3.566478e+02 4.115091e+02 2.262070e+02 5.054937e+02 1.303213e+04 7.372097e+02 1.306443e+03 9.637961e+02
-1.000000e+00 1.239079e+02 4.845376e+02 -8.000000e-01 7.172369e+03 1.481276e+04 1.240112e+04 2.428857e+03 2.983741e+02 3.337065e+02 1.957315e+02 5.501751e+02 1.356885e+04 6.765114e+02 1.163570e+03 9.082851e+02
-9.000000e-01 3.240701e+01 4.640388e+02 -6.000000e-01 3.527649e+02 1.795820e+04 1.719220e+04 1.914154e+03 2.569639e+02 3.036417e+02 2.013628e+02 4.709043e+02 1.459797e+04 5.898034e+02 9.627967e+02 8.462364e+02
-8.000000e-01 4.667561e+01 4.464508e+02 -4.000000e-01 2.440977e+04 1.691252e+04 2.544250e+04 1.901545e+03 2.229571e+02 2.880858e+02 1.484459e+02 3.867919e+02 1.416741e+04 5.142968e+02 8.756870e+02 7.459066e+02
-7.000000e-01 4.385303e+03 4.178819e+02 -2.000000e-01 2.490538e+04 1.559923e+04 3.061792e+04 3.908879e+03 1.837192e+02 1.782825e+02 1.113122e+02 3.445641e+02 1.253445e+04 4.448068e+02 8.004379e+02 6.487678e+02
-6.000000e-01 5.132220e+03 3.960554e+02 0.000000e+00 1.197551e+04 1.198451e+04 1.368682e+04 3.264554e+03 1.358755e+02 1.196579e+02 9.433037e+01 2.597796e+02 1.031883e+04 3.575030e+02 6.343458e+02 6.306983e+02
-5.000000e-01 5.480164e+03 3.710432e+02 2.000000e-01 2.115674e+03 1.661891e+03 2.185386e+03 7.784225e+02 1.020878e+02 7.694755e+01 6.092811e+01 1.226921e+02 1.859268e+03 2.680704e+02 4.674014e+02 2.556706e+02
-4.000000e-01 6.069394e+03 3.531526e+02 4.000000e-01 1.538459e+02 1.472561e+02 1.501977e+02 1.744492e+02 3.637110e+02 5.895047e+02 1.188902e+02 2.861406e+02 1.887326e+02 1.670382e+02 2.118706e+02 1.652531e+02
-3.000000e-01 7.147248e+03 3.282157e+02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 7.974613e+03 3.020362e+02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 8.776042e+03 2.724782e+02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 7.931588e+03 2.404175e+02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 3.615453e+03 2.036438e+02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.068922e+03 1.493177e+02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 2.945842e+02 9.708172e+01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
