N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.207281633E+00 1.201773030E+00 1.189612408E+00 1.163904182E+00 1.113715421E+00 1.026514953E+00 1.018291237E+00 1.020362519E+00 1.025179590E+00 1.033714792E+00 1.047068619E+00
1.600000000E+01 1.260795872E+00 1.260793755E+00 1.261599305E+00 1.263099423E+00 1.265137564E+00 1.266875542E+00 1.267977019E+00 1.267747256E+00 1.264785255E+00 1.257029564E+00 1.241028883E+00
1.700000000E+01 1.339090776E+00 1.337232995E+00 1.336218116E+00 1.336191684E+00 1.337209334E+00 1.339154709E+00 1.341952561E+00 1.345294413E+00 1.349045325E+00 1.353281861E+00 1.357499096E+00
1.549996187E+01 1.234670513E+00 1.234771521E+00 1.234899911E+00 1.234394265E+00 1.231770255E+00 1.224684815E+00 1.209136435E+00 1.178544815E+00 1.123739439E+00 1.035743090E+00 1.012691806E+00
1.649996187E+01 1.294213418E+00 1.293252186E+00 1.293392838E+00 1.294567428E+00 1.295503679E+00 1.298036870E+00 1.301029995E+00 1.304100325E+00 1.307092928E+00 1.309577556E+00 1.311000566E+00
1.674996808E+01 1.315215150E+00 1.313858480E+00 1.313497145E+00 1.314077690E+00 1.315518416E+00 1.317843708E+00 1.320875627E+00 1.324328284E+00 1.327884398E+00 1.331552852E+00 1.334834060E+00
1.624993176E+01 1.276102903E+00 1.275543699E+00 1.276055782E+00 1.277557692E+00 1.279666203E+00 1.282212877E+00 1.284774128E+00 1.286945118E+00 1.288329584E+00 1.288139673E+00 1.285090444E+00
1.574996808E+01 1.247166639E+00 1.247344237E+00 1.248218318E+00 1.249342705E+00 1.250196050E+00 1.249866971E+00 1.247091058E+00 1.239344886E+00 1.223175559E+00 1.192524727E+00 1.139654761E+00
1.524993176E+01 1.222546853E+00 1.221074797E+00 1.218555251E+00 1.212283689E+00 1.198127434E+00 1.167800500E+00 1.113778291E+00 1.024549062E+00 1.015214310E+00 1.016751525E+00 1.020259324E+00
