fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
0US1 9:42 299.4 38.72 1.678E+000 6.732E-006 6.010E-010 3.076 1.138 7.244E+002 1.473E-005 0.01002 1.470E-005 2.385E-010 0.00162 
0US2 10:1 302.2 38.37 1.736E+000 6.450E-006 4.046E-010 2.923 1.081 7.385E+002 1.415E-005 0.009797 1.412E-005 3.464E-008 0.2504 
0US3 10:26 305.7 37.93 1.807E+000 8.550E-006 8.470E-010 3.004 1.091 7.557E+002 1.557E-005 0.01082 1.553E-005 1.181E-008 0.07031 
0US4 10:45 308.7 37.56 1.869E+000 9.249E-006 9.122E-010 2.936 1.065 7.701E+002 1.629E-005 0.01142 1.625E-005 2.038E-008 0.1098 
0US5 11:10 311.4 37.23 1.924E+000 8.567E-006 7.429E-010 2.765 1.032 7.829E+002 1.368E-005 0.009766 1.364E-005 3.339E-008 0.2506 
0US6 11:26 313 37.04 1.957E+000 1.076E-005 3.269E-009 2.903 1.12 7.904E+002 1.514E-005 0.01072 1.510E-005 1.023E-008 0.06319 
0US7 11:58 315.7 36.73 2.012E+000 1.211E-005 4.259E-009 2.895 1.112 8.028E+002 1.449E-005 0.01028 1.445E-005 3.971E-009 0.02672 
0US8 12:19 318.4 36.41 2.067E+000 1.397E-005 1.243E-008 2.924 1.178 8.150E+002 1.559E-005 0.01103 1.554E-005 1.457E-008 0.08503 
0US9 12:47 321.5 36.06 2.131E+000 1.633E-005 1.617E-008 2.933 1.162 8.288E+002 1.657E-005 0.01165 1.652E-005 2.359E-008 0.1225 
US10 13:7 325 35.67 2.203E+000 1.809E-005 1.922E-008 2.859 1.14 8.440E+002 1.478E-005 0.01036 1.473E-005 5.152E-009 0.03376 
US11 13:31 327.7 35.38 2.258E+000 1.992E-005 1.685E-008 2.812 1.097 8.555E+002 1.510E-005 0.0105 1.505E-005 7.263E-009 0.04597 
US12 13:50 330.8 35.05 2.321E+000 2.451E-005 2.583E-008 2.863 1.098 8.685E+002 1.727E-005 0.01171 1.721E-005 2.546E-008 0.1263 
