N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.198035371E+00 1.194967540E+00 1.192230528E+00 1.189788613E+00
1.600000000E+01 1.218568955E+00 1.215642353E+00 1.213324761E+00 1.210779746E+00
1.700000000E+01 1.237850886E+00 1.235116471E+00 1.233705513E+00 1.233003999E+00
1.549996187E+01 1.206621566E+00 1.203521930E+00 1.200702358E+00 1.198621255E+00
1.649996187E+01 1.219514050E+00 1.216730118E+00 1.214485596E+00 1.212618578E+00
1.674996808E+01 1.225075899E+00 1.222430612E+00 1.220477154E+00 1.218604954E+00
1.624993176E+01 1.219279831E+00 1.216568174E+00 1.214219819E+00 1.212153334E+00
1.574996808E+01 1.212931852E+00 1.210015725E+00 1.207356137E+00 1.204965244E+00
1.524993176E+01 1.202583592E+00 1.199497780E+00 1.196744139E+00 1.194602404E+00
