N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.198148122E+00 1.195123509E+00 1.192437615E+00 1.190055512E+00
1.600000000E+01 1.219045876E+00 1.216294900E+00 1.214231156E+00 1.211874464E+00
1.700000000E+01 1.241797024E+00 1.240085631E+00 1.239631415E+00 1.239709788E+00
1.549996187E+01 1.206830567E+00 1.203845868E+00 1.201072069E+00 1.199092540E+00
1.649996187E+01 1.220858252E+00 1.218563768E+00 1.216903059E+00 1.215565062E+00
1.674996808E+01 1.227437416E+00 1.225565063E+00 1.224437031E+00 1.223312011E+00
1.624993176E+01 1.220063512E+00 1.217645220E+00 1.215632185E+00 1.213940312E+00
1.574996808E+01 1.213243047E+00 1.210513349E+00 1.207931553E+00 1.205673966E+00
1.524993176E+01 1.202732175E+00 1.199700239E+00 1.197009032E+00 1.194939480E+00
