N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.212888048E+00 1.212567498E+00 1.212205093E+00 1.211824613E+00
1.600000000E+01 1.251099584E+00 1.251223871E+00 1.251376703E+00 1.250963498E+00
1.700000000E+01 1.298092044E+00 1.297700161E+00 1.298025239E+00 1.298633733E+00
1.549996187E+01 1.229029036E+00 1.228944587E+00 1.228735196E+00 1.228858085E+00
1.649996187E+01 1.264891721E+00 1.265032689E+00 1.265125663E+00 1.265179672E+00
1.674996808E+01 1.278128522E+00 1.278151104E+00 1.278317712E+00 1.278196386E+00
1.624993176E+01 1.257742141E+00 1.258037322E+00 1.258063337E+00 1.258076222E+00
1.574996808E+01 1.240205921E+00 1.240409080E+00 1.240270245E+00 1.240089098E+00
1.524993176E+01 1.220786219E+00 1.220601101E+00 1.220275894E+00 1.220285813E+00
