N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.778e+15 300 1.149555826E+00 1.151946395E+00
1.468000E+10 1.778e+15 300 1.150336780E+00 1.016576203E+00
2.154000E+10 1.778e+15 300 1.150892546E+00 1.152010742E+00
3.162000E+10 1.778e+15 300 1.151302679E+00 1.152066462E+00
4.642000E+10 1.778e+15 300 1.151624971E+00 1.152146521E+00
6.813000E+10 1.778e+15 300 1.151905885E+00 1.152262022E+00
1.000000E+11 1.778e+15 300 1.152183045E+00 1.152426256E+00
1.468000E+11 1.778e+15 300 1.152490751E+00 1.152656987E+00
2.154000E+11 1.778e+15 300 1.152861284E+00 1.152974996E+00
3.162000E+11 1.778e+15 300 1.153324329E+00 1.153402220E+00
4.642000E+11 1.778e+15 300 1.062302467E+00 1.153957601E+00
6.813000E+11 1.778e+15 300 1.154612932E+00 1.154649654E+00
1.000000E+12 1.778e+15 300 1.155444167E+00 1.155469464E+00
1.468000E+12 1.778e+15 300 1.156369909E+00 1.156387359E+00
2.154000E+12 1.778e+15 300 1.160238668E+00 1.160293122E+00
3.162000E+12 1.778e+15 300 1.166865978E+00 1.166894749E+00
4.642000E+12 1.778e+15 300 1.167567603E+00 1.167593758E+00
6.813000E+12 1.778e+15 300 1.168081767E+00 1.168112627E+00
1.000000E+13 1.778e+15 300 1.168738416E+00 1.168752914E+00
1.468000E+13 1.778e+15 300 1.169119966E+00 1.169122751E+00
2.154000E+13 1.778e+15 300 1.169449214E+00 1.169450461E+00
3.162000E+13 1.778e+15 300 1.178959956E+00 1.178960716E+00
4.642000E+13 1.778e+15 300 1.178573992E+00 1.178574527E+00
6.813000E+13 1.778e+15 300 1.167184076E+00 1.167184431E+00
1.000000E+14 1.778e+15 300 1.181713759E+00 1.181730315E+00
