X Y Yfit
2.060E-1 7.716E-7 7.679E-7
2.170E-1 8.229E-7 8.154E-7
2.270E-1 8.632E-7 8.590E-7
2.360E-1 8.964E-7 8.985E-7
2.460E-1 9.427E-7 9.427E-7
2.560E-1 9.899E-7 9.871E-7
2.670E-1 1.034E-6 1.036E-6
2.760E-1 1.069E-6 1.077E-6
2.860E-1 1.124E-6 1.122E-6
2.970E-1 1.172E-6 1.172E-6
3.070E-1 1.214E-6 1.218E-6
3.160E-1 1.258E-6 1.259E-6
3.270E-1 1.299E-6 1.310E-6
3.370E-1 1.354E-6 1.356E-6
3.470E-1 1.396E-6 1.403E-6
3.570E-1 1.450E-6 1.450E-6
3.670E-1 1.497E-6 1.497E-6
3.770E-1 1.551E-6 1.544E-6
3.870E-1 1.602E-6 1.592E-6
3.970E-1 1.641E-6 1.639E-6
4.070E-1 1.692E-6 1.687E-6
4.170E-1 1.731E-6 1.735E-6
4.270E-1 1.781E-6 1.783E-6
4.370E-1 1.821E-6 1.832E-6
4.470E-1 1.880E-6 1.880E-6
4.580E-1 1.922E-6 1.934E-6
4.670E-1 1.968E-6 1.978E-6
4.770E-1 2.021E-6 2.027E-6
4.870E-1 2.071E-6 2.076E-6
4.970E-1 2.118E-6 2.125E-6
5.070E-1 2.169E-6 2.175E-6
5.170E-1 2.224E-6 2.225E-6
5.470E-1 2.384E-6 2.374E-6
5.780E-1 2.539E-6 2.531E-6
6.080E-1 2.706E-6 2.683E-6
6.370E-1 2.855E-6 2.832E-6
