N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.828095000E-03 -2.039164000E-03 -2.798735000E-03 -3.980268000E-03
1.600000000E+01 3.425350500E-02 3.380810700E-02 3.331553800E-02 3.222320700E-02
1.700000000E+01 8.244064200E-02 7.930827600E-02 7.563108100E-02 7.417543300E-02
1.549996187E+01 2.191085000E-02 2.107431900E-02 2.203721800E-02 2.219291800E-02
1.649996187E+01 6.294776900E-02 6.100635800E-02 5.990018900E-02 5.861699700E-02
1.674996808E+01 7.514737900E-02 7.136097500E-02 7.001206000E-02 6.861160200E-02
1.624993176E+01 4.729221600E-02 4.651406700E-02 4.560090600E-02 4.481222600E-02
1.574996808E+01 2.673906800E-02 2.670730300E-02 2.595246300E-02 2.633992900E-02
1.524993176E+01 1.294020900E-02 1.268299200E-02 1.296695000E-02 1.288513600E-02
