T(K) Nd(cm-3) Mu(cm2/Vs)
461 1.58900E+18 2.09123E+2
366 1.99404E+16 7.65548E+2
420 6.36548E+16 5.22358E+2
235 5.98876E+16 1.06217E+3
439 2.51965E+17 3.75125E+2
250 2.54003E+16 1.31484E+3
223 4.79462E+16 1.19518E+3
228 7.54910E+18 1.97300E+2
486 9.66244E+16 3.85626E+2
465 3.65897E+18 1.60289E+2
398 1.87622E+18 2.17697E+2
327 1.33301E+18 2.71016E+2
449 2.42079E+17 3.69108E+2
480 5.50799E+18 1.39531E+2
320 1.31357E+18 2.75180E+2
349 6.41662E+16 6.91642E+2
287 2.56380E+17 5.39456E+2
396 5.77802E+17 3.25917E+2
390 3.86132E+17 3.76705E+2
371 2.66286E+18 2.01309E+2
360 3.29387E+16 7.41649E+2
280 9.94364E+17 3.22881E+2
375 1.31329E+18 2.54218E+2
451 3.96341E+16 4.87512E+2
382 3.31329E+16 6.71455E+2
422 9.88242E+17 2.60387E+2
323 7.89146E+18 1.59347E+2
360 8.11641E+17 3.08453E+2
341 5.25943E+16 7.44710E+2
398 1.09522E+17 5.14785E+2
447 9.15936E+16 4.47894E+2
240 4.91037E+17 4.51237E+2
393 3.15350E+17 3.97648E+2
271 4.55385E+17 4.42255E+2
272 5.68824E+18 1.90337E+2
381 5.54485E+18 1.59573E+2
325 2.11392E+17 5.32867E+2
288 1.14556E+17 7.22329E+2
358 1.28547E+18 2.62181E+2
410 9.88898E+17 2.65569E+2
378 1.65349E+18 2.33629E+2
319 3.20990E+17 4.65102E+2
290 4.68369E+18 1.93427E+2
304 1.24439E+18 2.87082E+2
449 4.33692E+18 1.55943E+2
494 4.34401E+16 4.07667E+2
428 5.77113E+16 5.13763E+2
224 8.89527E+18 1.91903E+2
356 6.45414E+17 3.37079E+2
372 5.17922E+16 6.55685E+2
241 4.75162E+16 1.12971E+3
360 1.54923E+16 8.10643E+2
276 3.17923E+16 1.10193E+3
226 6.45768E+16 1.06009E+3
398 2.65145E+18 1.94294E+2
201 3.84495E+18 2.52747E+2
445 1.67183E+17 4.04091E+2
243 8.71286E+17 3.61127E+2
231 7.79025E+16 9.70883E+2
222 2.40408E+18 2.70757E+2
435 7.34860E+17 2.80012E+2
346 1.33098E+17 5.81407E+2
470 2.93062E+18 1.70353E+2
289 3.88485E+16 9.90955E+2
391 6.17143E+16 5.89571E+2
337 2.44648E+17 4.93221E+2
440 1.20224E+18 2.36826E+2
485 1.60530E+16 4.48391E+2
346 2.17576E+17 5.02080E+2
349 5.08073E+17 3.71850E+2
233 4.91622E+17 4.56442E+2
453 2.33028E+16 5.05957E+2
296 6.13311E+16 8.54279E+2
431 7.45016E+18 1.37340E+2
349 1.64966E+17 5.42417E+2
253 2.82528E+16 1.25965E+3
454 5.63514E+18 1.43720E+2
440 2.09283E+18 1.97624E+2
297 7.73842E+16 7.97433E+2
351 1.27078E+18 2.65981E+2
456 9.95803E+17 2.44517E+2
257 7.49362E+17 3.72683E+2
377 1.12580E+16 7.61404E+2
413 1.64480E+16 6.21491E+2
260 5.35229E+17 4.22273E+2
320 2.72986E+17 4.92918E+2
322 2.52864E+17 5.04559E+2
222 6.71742E+17 4.14179E+2
286 1.88060E+16 1.16908E+3
378 4.10370E+18 1.74534E+2
210 4.62213E+18 2.34246E+2
319 9.40549E+16 6.99048E+2
251 1.75207E+17 6.71809E+2
364 1.92459E+17 4.97558E+2
350 4.95916E+18 1.72323E+2
258 2.95073E+18 2.34140E+2
254 1.25984E+18 3.10286E+2
378 1.26059E+18 2.56722E+2
430 1.09059E+17 4.61809E+2
478 4.28611E+17 2.97832E+2
235 1.52078E+16 1.60652E+3
404 8.40757E+16 5.31794E+2
338 8.05384E+18 1.54700E+2
295 8.57321E+16 7.77423E+2
211 1.42836E+17 7.91141E+2
333 1.61523E+17 5.71315E+2
249 4.07373E+18 2.18202E+2
421 3.98452E+16 5.52029E+2
367 8.04994E+18 1.47619E+2
310 2.02360E+17 5.60934E+2
286 2.60416E+18 2.30792E+2
387 1.40609E+18 2.43737E+2
426 7.46969E+18 1.38247E+2
200 5.35074E+16 1.22620E+3
341 6.98841E+16 6.99177E+2
496 7.04793E+16 3.86904E+2
383 6.52417E+17 3.20279E+2
271 2.13718E+17 5.96788E+2
373 2.56514E+17 4.45695E+2
490 1.37556E+16 4.42488E+2
211 1.02444E+17 9.11094E+2
397 2.73376E+16 6.40862E+2
269 6.14212E+18 1.87647E+2
339 9.30862E+18 1.49016E+2
332 8.10301E+17 3.22300E+2
477 8.15839E+18 1.26099E+2
481 2.73684E+16 4.43128E+2
444 1.21271E+17 4.31842E+2
458 1.59587E+18 2.09897E+2
280 1.42831E+17 6.83097E+2
422 4.33286E+18 1.61777E+2
362 1.75039E+17 5.13440E+2
405 2.24710E+16 6.29280E+2
498 1.10752E+17 3.63499E+2
336 9.54366E+16 6.59818E+2
252 2.40344E+17 5.90343E+2
467 3.40242E+18 1.63485E+2
229 6.49455E+16 1.04867E+3
339 1.97092E+16 8.78494E+2
232 5.01332E+16 1.14279E+3
468 1.07773E+18 2.33594E+2
468 7.25546E+16 4.27129E+2
228 1.01706E+16 1.83472E+3
364 5.09294E+17 3.61438E+2
478 1.21518E+16 4.68932E+2
427 3.24177E+18 1.75292E+2
350 8.69734E+17 3.05544E+2
351 1.51597E+17 5.51885E+2
494 1.34414E+18 2.08682E+2
465 4.95767E+17 2.95658E+2
253 3.50506E+18 2.25725E+2
457 1.20837E+16 5.14496E+2
302 3.30121E+17 4.75463E+2
241 3.83502E+17 4.96874E+2
496 3.83062E+18 1.51566E+2
341 2.51008E+18 2.14411E+2
392 4.64677E+17 3.53102E+2
490 1.40465E+18 2.07373E+2
436 1.70814E+17 4.14596E+2
315 8.54739E+18 1.58566E+2
354 4.19608E+17 3.94323E+2
306 4.58825E+18 1.88957E+2
371 4.32637E+17 3.77684E+2
218 1.01977E+16 1.94563E+3
438 1.22869E+18 2.35698E+2
455 1.39338E+18 2.20388E+2
267 7.76795E+16 8.78404E+2
411 1.40913E+16 6.33521E+2
282 7.59353E+17 3.55995E+2
401 5.40706E+16 5.76732E+2
444 2.93573E+16 5.16839E+2
384 4.54504E+18 1.68194E+2
210 6.48214E+18 2.15258E+2
455 1.00220E+18 2.44440E+2
