V d42 V1 d61a d61c d64a d64b
-1.200000e+00 1.671857e-05 -1.200000e+00 1.277848e-05 6.345140e-06 5.534947e-06 5.607065e-06
-1.100000e+00 1.789166e-05 -1.000000e+00 1.400267e-05 8.141715e-06 6.952400e-06 7.459767e-06
-1.000000e+00 1.978184e-05 -8.000000e-01 1.752739e-05 1.092897e-05 9.784356e-06 1.086084e-05
-9.000000e-01 2.230155e-05 -6.000000e-01 2.308338e-05 1.596869e-05 1.438079e-05 1.712760e-05
-8.000000e-01 2.498046e-05 -4.000000e-01 3.554651e-05 2.462735e-05 2.403132e-05 3.100429e-05
-7.000000e-01 2.843008e-05 -2.000000e-01 5.307087e-05 4.427328e-05 7.144774e-05 6.551451e-05
-6.000000e-01 3.183201e-05 0.000000e+00 6.426700e-05 7.250368e-05 1.013251e-04 1.131927e-04
-5.000000e-01 3.454954e-05 2.000000e-01 8.373596e-06 1.528808e-05 4.935732e-06 2.055743e-05
-4.000000e-01 3.835550e-05 4.000000e-01 1.847480e-06 2.490581e-06 7.973539e-07 5.659329e-06
-3.000000e-01 4.236665e-05 NaN NaN NaN NaN NaN
-2.000000e-01 4.691740e-05 NaN NaN NaN NaN NaN
-1.000000e-01 5.095416e-05 NaN NaN NaN NaN NaN
0.000000e+00 4.736325e-05 NaN NaN NaN NaN NaN
1.000000e-01 2.682838e-05 NaN NaN NaN NaN NaN
2.000000e-01 9.873879e-06 NaN NaN NaN NaN NaN
3.000000e-01 4.648868e-06 NaN NaN NaN NaN NaN
