V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 1.736843e-06 -1.200000e+00 3.470365e-06 -1.200000e+00 3.148423e-05 3.608559e-05 2.384227e-05 1.246152e-05 1.093593e-05 2.425777e-06
-2.000000e-01 4.923179e-05 -1.100000e+00 4.065655e-06 -1.000000e+00 4.467677e-05 4.974570e-05 2.783416e-05 1.679948e-05 1.177262e-05 2.573104e-06
0.000000e+00 6.716252e-05 -9.000000e-01 5.443336e-06 -8.000000e-01 5.851867e-05 6.869849e-05 3.802519e-05 2.452086e-05 1.274473e-05 2.861364e-06
1.000000e-01 5.208663e-05 -8.000000e-01 6.479373e-06 -6.000000e-01 8.549747e-05 1.124324e-04 5.089173e-05 4.048226e-05 1.333492e-05 3.341294e-06
2.000000e-01 2.763865e-05 -7.000000e-01 7.815901e-06 -4.000000e-01 1.390737e-04 1.727428e-04 7.761702e-05 7.099205e-05 1.398584e-05 3.941600e-06
NaN NaN -6.000000e-01 9.428152e-06 -2.000000e-01 2.229863e-04 2.107639e-04 1.313202e-04 1.122867e-04 1.358048e-05 5.555854e-06
NaN NaN -5.000000e-01 1.231706e-05 0.000000e+00 2.640943e-04 1.042778e-04 4.346032e-05 9.813064e-05 1.023357e-05 7.263480e-06
NaN NaN -4.000000e-01 1.575741e-05 2.000000e-01 3.865803e-05 7.283554e-06 4.104694e-07 8.609513e-06 7.552207e-07 7.500068e-06
NaN NaN -3.000000e-01 2.136936e-05 4.000000e-01 3.668612e-06 1.827115e-06 1.953537e-07 2.116586e-06 3.729115e-07 4.539485e-06
NaN NaN -2.000000e-01 2.906488e-05 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 4.002547e-05 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 4.238469e-05 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 1.000000e-01 2.337642e-05 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 2.000000e-01 1.001300e-05 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 3.000000e-01 4.884732e-06 NaN NaN NaN NaN NaN NaN NaN
