V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 3.046972e-06 2.453633e-06 -1.200000e+00 3.324016e-06 3.045610e-06 1.492323e-06 2.657984e-07 1.454843e-05 6.498366e-05 1.691416e-04 7.529408e-06 5.436004e-06 5.406418e-05 6.872484e-06 1.174596e-05
-1.100000e+00 1.569836e-06 2.640047e-06 -1.000000e+00 2.077715e-06 6.604270e-06 1.272803e-06 4.582198e-07 1.778747e-05 1.004662e-04 1.651380e-04 1.088677e-05 6.202398e-06 6.611545e-05 8.614926e-06 1.372074e-05
-1.000000e+00 2.449882e-06 2.791876e-06 -8.000000e-01 1.354625e-06 1.622548e-05 2.567350e-06 1.139363e-06 2.601081e-05 1.521791e-04 1.899496e-04 1.306340e-05 6.474819e-06 7.860169e-05 1.296835e-05 1.568702e-05
-9.000000e-01 6.231982e-06 2.981955e-06 -6.000000e-01 5.763089e-06 3.263149e-06 3.310482e-06 4.686747e-07 3.715851e-05 1.828437e-04 2.050187e-04 1.768091e-05 7.297720e-06 1.013943e-04 2.184235e-05 1.921191e-05
-8.000000e-01 5.429825e-06 3.155402e-06 -4.000000e-01 6.556769e-06 2.641798e-05 5.927849e-06 3.690527e-07 4.861225e-05 2.211934e-04 2.522641e-04 2.540172e-05 7.325986e-06 1.311419e-04 3.191194e-05 2.289688e-05
-7.000000e-01 1.697502e-06 3.423339e-06 -2.000000e-01 9.210987e-06 5.386966e-06 1.046846e-05 3.682227e-05 6.142908e-05 3.727475e-04 2.865587e-04 3.398712e-05 8.443017e-06 1.643912e-04 2.346748e-05 2.502304e-05
-6.000000e-01 2.972896e-06 3.727739e-06 0.000000e+00 1.461360e-05 6.989964e-06 1.155321e-05 1.545126e-05 5.603212e-05 3.084867e-04 1.230924e-04 3.132692e-05 7.517667e-06 1.514879e-04 1.791848e-05 9.958786e-06
-5.000000e-01 3.161306e-06 4.101651e-06 2.000000e-01 7.263674e-06 3.782162e-06 4.546318e-06 8.667319e-06 8.630271e-06 3.428589e-05 1.649970e-06 6.893640e-06 4.243081e-06 2.369398e-05 2.816583e-06 1.255601e-06
-4.000000e-01 3.576724e-06 4.518494e-06 4.000000e-01 6.275011e-06 5.336262e-06 4.616753e-06 5.189958e-06 1.617982e-05 2.003515e-05 1.721118e-05 1.058571e-05 6.730006e-06 3.081879e-06 1.830103e-06 7.129601e-06
-3.000000e-01 4.463704e-06 5.031328e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 5.184316e-06 5.747537e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 5.456074e-06 6.604851e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 5.752952e-06 7.018241e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 4.998057e-06 4.910387e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 4.947910e-06 2.311393e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 4.182755e-06 1.155175e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
