fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
00D1 35972 304.9 38.026 1.000000000E+00 4.871199002E-01 1.519422300E-10 1.784475381E+19 3.196850546E+00 1.277276487E-05 6.019375581E-01 
00D2 36094 304.9 38.026 1.000000000E+00 1.228947775E+00 3.051095372E-10 1.248478020E+16 1.457303630E+01 4.101777162E-04 2.958656212E-02 
00D3 36184 304.88 38.029 1.000000000E+00 8.759822974E-01 2.350734798E-10 2.326917554E+19 5.098669760E+00 5.805868478E-05 7.966143968E-01 
00D4 36270 304.87 38.03 1.000000000E+00 5.299982325E-01 1.582755656E-10 3.667038014E+19 3.197439212E+00 1.280624719E-05 6.026863641E-01 
00D5 36362 304.95 38.02 1.000000000E+00 4.767893083E-01 1.526174822E-10 1.890787802E+19 3.195577607E+00 1.281243582E-05 6.028408104E-01 
00D6 36448 304.94 38.021 1.000000000E+00 1.241154331E+00 3.118354647E-10 1.141123588E+19 1.476362028E+01 4.173662156E-04 1.805134002E-01 
00D7 36540 304.96 38.019 1.000000000E+00 4.901977325E-01 1.550575007E-10 3.518554861E+19 3.192875302E+00 1.277094200E-05 6.023916788E-01 
00D8 36630 304.97 38.018 1.000000000E+00 1.222261311E+00 3.096554406E-10 1.176366541E+18 1.471600675E+01 4.162319646E-04 1.806961119E-01 
00D9 36714 304.98 38.016 1.000000000E+00 1.225204245E+00 3.135220028E-10 3.458714488E+18 1.465665746E+01 4.127015944E-04 1.835336985E-01 
0D10 36802 304.99 38.015 1.000000000E+00 4.595053687E-01 1.519270770E-10 8.046254717E+19 3.207774589E+00 1.301941040E-05 6.037971598E-01 
0D11 36894 305.01 38.013 1.000000000E+00 4.863019596E-01 1.575751425E-10 6.093253937E+19 3.193558921E+00 1.278413582E-05 6.026161228E-01 
0D12 36982 305.02 38.011 1.000000000E+00 1.212818893E+00 3.082171482E-10 6.132530123E+15 1.469307022E+01 4.154420561E-04 1.760594076E-01 
0D13 37074 305.01 38.013 1.000000000E+00 1.193483052E+00 3.051957797E-10 3.772327428E+14 1.452319324E+01 4.091166520E-04 2.787276460E-02 
0D14 37202 304.94 38.021 1.000000000E+00 1.262417809E+00 3.303305062E-10 1.140638153E+18 1.466487554E+01 4.134098147E-04 1.793963121E-01 
0D15 37812 304.87 38.03 1.000000000E+00 1.389341794E+00 3.139096155E-10 2.233399628E+18 1.453374829E+01 4.049950221E-04 1.774583070E-01 
0D16 37932 305.54 37.947 1.000000000E+00 6.439925743E-01 1.766080754E-10 8.544296306E+19 3.133487227E+00 1.189551349E-05 5.919894443E-01 
0D17 38038 305.71 37.925 1.000000000E+00 1.343868093E+00 3.552215133E-10 1.111981166E+19 1.461941388E+01 4.110879953E-04 4.131346611E-02 
0D18 38112 305.69 37.928 1.000000000E+00 6.583696104E-01 1.814650820E-10 1.583495699E+19 3.109526825E+00 1.158816973E-05 5.898684102E-01 
0D19 38198 305.6 37.939 1.000000000E+00 1.350770276E+00 3.493152868E-10 7.750601825E+16 1.451393501E+01 4.070409395E-04 1.745504837E-01 
0D20 38292 305.5 37.952 1.000000000E+00 6.364679297E-01 1.744671640E-10 8.414786116E+19 3.133817210E+00 1.191989824E-05 5.926182492E-01 
0D21 38376 305.41 37.963 1.000000000E+00 1.368382942E+00 3.418276238E-10 1.234300313E+18 1.464913585E+01 4.110098295E-04 3.106883541E-02 
0D22 38464 305.35 37.97 1.000000000E+00 6.378143469E-01 1.671396931E-10 3.456121111E+19 3.127832315E+00 1.179044116E-05 5.929738982E-01 
0D23 38554 305.29 37.978 1.000000000E+00 6.337154015E-01 1.667860453E-10 2.957070651E+19 3.144917174E+00 1.202493865E-05 5.941708701E-01 
0D24 38646 305.21 37.988 1.000000000E+00 1.344442878E+00 3.231579282E-10 1.693093029E+16 1.424078627E+01 3.968126650E-04 3.246810093E-02 
0D25 38732 305.16 37.994 1.000000000E+00 1.381887724E+00 3.278606444E-10 6.565650717E+15 1.432365628E+01 3.986264888E-04 1.766763330E-01 
0D26 38824 305.12 37.999 1.000000000E+00 6.194497219E-01 1.621438470E-10 4.831069268E+19 3.149367571E+00 1.205563851E-05 5.947487131E-01 
0D27 38912 305.11 38 1.000000000E+00 1.362549378E+00 3.274933827E-10 2.050588743E+18 1.451169371E+01 4.044350663E-04 3.200840243E-02 
0D28 38996 305.09 38.003 1.000000000E+00 1.390366796E+00 3.267199260E-10 1.273448332E+16 1.441834703E+01 4.020646229E-04 3.948966272E-02 
0D29 39092 305.1 38.001 1.000000000E+00 1.252537807E+00 3.184272099E-10 3.996892715E+16 1.445855372E+01 4.037082154E-04 1.604083483E-01 
0D30 39182 305.08 38.004 1.000000000E+00 5.948668658E-01 1.576599557E-10 1.491978839E+19 3.144125224E+00 1.197609946E-05 5.957902564E-01 
0D31 39270 305.09 38.003 1.000000000E+00 1.375055503E+00 3.232034788E-10 6.567677239E+17 1.449854243E+01 4.063716293E-04 3.345168719E-02 
0D32 39358 305.06 38.006 1.000000000E+00 1.341948636E+00 3.212391237E-10 6.598577164E+17 1.455283405E+01 4.083214302E-04 2.994781898E-02 
0D33 39448 305.05 38.008 1.000000000E+00 6.169581056E-01 1.604070229E-10 3.519818022E+19 3.171250181E+00 1.236666346E-05 5.973105657E-01 
0D34 39540 305.04 38.009 1.000000000E+00 6.070417170E-01 1.564220769E-10 2.943293203E+19 3.154207038E+00 1.211965102E-05 5.960815057E-01 
0D35 39624 305.05 38.008 1.000000000E+00 1.336366862E+00 3.181021360E-10 6.394446735E+15 1.462476113E+01 4.112465885E-04 1.760255984E-01 
0D36 39714 305.03 38.01 1.000000000E+00 1.326053359E+00 3.155694260E-10 1.136667745E+19 1.453522712E+01 4.079847718E-04 3.603663533E-02 
0D37 39808 305.03 38.01 1.000000000E+00 9.915625995E-01 2.451058191E-10 9.267756218E+18 5.045296143E+00 5.659882823E-05 7.947424184E-01 
0D38 39892 305.02 38.011 1.000000000E+00 6.141551867E-01 1.502803626E-10 5.468610120E+19 2.752644562E+00 6.028756822E-06 5.210237154E-01 
0D39 39980 305.04 38.009 1.000000000E+00 1.374764079E+00 3.156343695E-10 1.121887139E+17 1.449660844E+01 4.058511083E-04 4.230621786E-02 
0D40 40070 305.04 38.009 1.000000000E+00 6.360933346E-01 1.623122161E-10 9.319311280E+19 3.181600611E+00 1.249216203E-05 5.969518842E-01 
0D41 40160 305.02 38.011 1.000000000E+00 1.392389922E+00 3.223735614E-10 2.337776288E+16 1.478699891E+01 4.169857489E-04 3.030230149E-02 
0D42 40250 305 38.014 1.000000000E+00 1.372392620E+00 3.170156719E-10 6.604593820E+17 1.469868959E+01 4.134927505E-04 3.092840235E-02 
0D43 40344 305.03 38.01 1.000000000E+00 6.261701464E-01 1.587721841E-10 8.384429969E+18 3.197689324E+00 1.285448073E-05 5.999203521E-01 
0D44 40428 305.03 38.01 1.000000000E+00 1.354246888E+00 3.170357017E-10 2.198487160E+18 1.470105484E+01 4.134738646E-04 3.182999229E-02 
0D45 40518 305.02 38.011 1.000000000E+00 1.404402830E+00 3.150511696E-10 1.430093532E+16 1.488301973E+01 4.199048545E-04 2.975662395E-02 
0D46 40614 305 38.014 1.000000000E+00 1.397604331E+00 3.126545220E-10 1.231365874E+18 1.537785168E+01 4.387226532E-04 1.457725165E-02 
0D47 40694 305.02 38.011 1.000000000E+00 2.236689488E-01 1.063955996E-10 2.792205608E+19 3.124006233E+00 1.169605689E-05 5.854026433E-01 
0D48 40782 305.02 38.011 1.000000000E+00 5.714506076E-01 1.437902333E-10 4.203309335E+19 3.176115186E+00 1.232734931E-05 5.984747455E-01 
0D49 40874 305.02 38.011 1.000000000E+00 1.346038316E+00 2.959540929E-10 2.638419602E+17 1.455196778E+01 4.068424028E-04 1.763254427E-01 
0D50 40960 305.03 38.01 1.000000000E+00 6.348765025E-01 1.493432346E-10 4.674465828E+19 3.194097014E+00 1.249766791E-05 5.980177355E-01 
0D51 41052 305.02 38.011 1.000000000E+00 1.334740871E+00 2.860250179E-10 3.698229586E+14 1.446453703E+01 4.036341106E-04 2.623655687E-02 
0D52 41170 305.03 38.01 1.000000000E+00 5.895745541E-01 1.405135531E-10 6.395275526E+19 3.180755936E+00 1.229591087E-05 5.990552115E-01 
0D53 41232 305.02 38.011 1.000000000E+00 1.440412069E+00 2.916822772E-10 1.145976632E+19 1.491916455E+01 4.197666885E-04 2.651513793E-02 
0D54 41314 305.02 38.011 1.000000000E+00 6.028257541E-01 1.387785058E-10 8.085962387E+19 3.191368735E+00 1.237431456E-05 6.010581211E-01 
0D55 41406 305.03 38.01 1.000000000E+00 6.193382523E-01 1.395079062E-10 9.564703162E+19 3.204872728E+00 1.257963476E-05 6.043403296E-01 
0D56 41494 305.01 38.013 1.000000000E+00 1.423188579E+00 2.838863378E-10 2.074293511E+18 1.444393653E+01 4.022951159E-04 2.982814783E-02 
0D57 41588 305.03 38.01 1.000000000E+00 1.405052668E+00 2.799674181E-10 4.921162653E+16 1.457292108E+01 4.054965817E-04 3.079004681E-02 
0D58 41670 305.03 38.01 1.000000000E+00 1.430793536E+00 2.811237146E-10 1.062200511E+16 1.450325644E+01 4.026730146E-04 3.024913088E-02 
0D59 41778 305.01 38.013 1.000000000E+00 1.383083545E+00 2.760271113E-10 1.535481529E+16 1.444775897E+01 4.015223855E-04 2.919131814E-02 
0D60 41848 304.99 38.015 1.000000000E+00 1.399007400E+00 2.789291254E-10 1.151088992E+19 1.481146479E+01 4.138727557E-04 1.803934634E-01 
0D61 41946 305.03 38.01 1.000000000E+00 9.695124047E-01 2.083831320E-10 2.619048816E+19 5.051514746E+00 5.577100438E-05 7.970075800E-01 
0D62 42040 305.06 38.006 1.000000000E+00 1.383327903E+00 2.771244127E-10 1.013858859E+16 1.477020174E+01 4.120223624E-04 3.462731527E-02 
0D63 42116 305 38.014 1.000000000E+00 6.145107411E-01 1.452043710E-10 4.788441703E+19 3.202790312E+00 1.268919462E-05 6.008927412E-01 
0D64 42204 305.03 38.01 1.000000000E+00 1.364826629E+00 2.898301684E-10 3.242109167E+15 1.440702814E+01 4.010647425E-04 3.010451000E-02 
0D65 42296 305.02 38.011 1.000000000E+00 7.051890928E-01 1.584609412E-10 4.998593888E+19 3.327999364E+00 1.461075731E-05 6.204977368E-01 
0D66 42382 305 38.014 1.000000000E+00 6.104013227E-01 1.421272303E-10 4.281824100E+19 3.164053872E+00 1.211147438E-05 5.988604053E-01 
0D67 42474 305.02 38.011 1.000000000E+00 1.402721326E+00 2.974658728E-10 8.669748163E+15 1.473987573E+01 4.125314925E-04 3.257020551E-02 
0D68 42560 305.02 38.011 1.000000000E+00 5.649682158E-01 1.377967888E-10 3.148978957E+19 3.159742815E+00 1.202757742E-05 5.978993707E-01 
0D69 42652 305.01 38.013 1.000000000E+00 1.356907450E+00 2.902434047E-10 8.027502925E+15 1.462412852E+01 4.098945358E-04 2.864457751E-02 
