N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.697764670E-01 -1.666210790E-01 -1.631530020E-01 -1.594817410E-01
1.600000000E+01 3.067430100E-02 3.060075100E-02 3.010952900E-02 2.976100800E-02
1.700000000E+01 7.950890200E-02 7.996264800E-02 7.930618600E-02 8.030320100E-02
1.549996187E+01 2.398186000E-03 -1.859765000E-03 -4.321516000E-03 -7.144650000E-03
1.649996187E+01 5.633273800E-02 5.765853000E-02 5.831836000E-02 5.907736500E-02
1.674996808E+01 7.025800700E-02 6.957956600E-02 7.089765400E-02 7.187646400E-02
1.624993176E+01 4.257660000E-02 4.308453500E-02 4.358377300E-02 4.406184300E-02
1.574996808E+01 2.074259900E-02 1.938842100E-02 1.816190100E-02 1.781792000E-02
1.524993176E+01 -5.117908500E-02 -6.153124800E-02 -7.088860700E-02 -7.980520700E-02
