T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.292586301E+00 1.226337648E+00 6.624865300E-02 1.284061411E+00 1.225037229E+00 5.902418200E-02 8.524890000E-03 1.300419000E-03
295 1.292812263E+00 1.228997758E+00 6.381450500E-02 1.285215553E+00 1.227678327E+00 5.753722600E-02 7.596710000E-03 1.319431000E-03
300 1.294059942E+00 1.231296813E+00 6.276312900E-02 1.287274992E+00 1.229914387E+00 5.736060500E-02 6.784950000E-03 1.382426000E-03
305 1.296224347E+00 1.233989781E+00 6.223456600E-02 1.290082696E+00 1.232493320E+00 5.758937600E-02 6.141651000E-03 1.496461000E-03
310 1.299059573E+00 1.236394714E+00 6.266485900E-02 1.293354051E+00 1.234706873E+00 5.864717800E-02 5.705522000E-03 1.687841000E-03
315 1.302406523E+00 1.237827333E+00 6.457919000E-02 1.296900110E+00 1.235870565E+00 6.102954500E-02 5.506413000E-03 1.956768000E-03
320 1.306021002E+00 1.239204496E+00 6.681650600E-02 1.300463427E+00 1.236861856E+00 6.360157100E-02 5.557575000E-03 2.342640000E-03
325 1.309507956E+00 1.239713324E+00 6.979463200E-02 1.303637095E+00 1.236896074E+00 6.674102100E-02 5.870861000E-03 2.817250000E-03
330 1.312754281E+00 1.238540463E+00 7.421381800E-02 1.306310125E+00 1.235207541E+00 7.110258400E-02 6.444156000E-03 3.332922000E-03
335 1.314988837E+00 1.236930133E+00 7.805870400E-02 1.307734389E+00 1.232969188E+00 7.476520100E-02 7.254448000E-03 3.960945000E-03
340 1.315854280E+00 1.234181249E+00 8.167303100E-02 1.307573602E+00 1.229526919E+00 7.804668300E-02 8.280678000E-03 4.654330000E-03
