fname time Tem kT_1 A Rs Io Rsh dev 
00L1 27344 295 39.3 2.563443389E+01 2.626058625E+03 8.280710431E-12 1.089936916E+08 3.177413682E-03 
00L2 27952 298 38.9 2.511882722E+01 2.248989282E+03 1.255075337E-11 7.557555962E+07 3.150148189E-03 
00L3 28568 301 38.52 2.420289125E+01 1.880931038E+03 2.320529167E-11 1.177191547E+10 2.728301065E-03 
00L4 29164 304 38.14 2.398822517E+01 1.633902054E+03 3.106308874E-11 6.236666448E+12 3.142060814E-03 
00L5 29920 307 37.76 2.349221143E+01 1.415547664E+03 4.797628433E-11 3.751351127E+08 3.522364843E-03 
00L6 30666 310 37.4 2.349822179E+01 1.283488103E+03 5.960964806E-11 7.996545171E+07 4.682235804E-03 
00L7 31302 313 37.04 2.301040134E+01 1.150342685E+03 9.110341203E-11 1.717851588E+08 4.692153363E-03 
00L8 32022 316 36.69 2.295578191E+01 1.076786013E+03 1.126645609E-10 4.992958636E+07 5.142069172E-03 
00L9 32744 319 36.34 2.301510545E+01 1.018576706E+03 1.368704470E-10 3.194194915E+07 5.800132157E-03 
0L10 33444 322 36.01 2.278702547E+01 9.514279068E+02 1.901771377E-10 3.513787468E+07 5.461382314E-03 
0L11 34154 325 35.67 2.249325054E+01 8.945043352E+02 2.691868510E-10 3.794670584E+07 5.001308700E-03 
0L12 34880 328 35.34 2.248868185E+01 8.637146133E+02 3.294220929E-10 2.592658487E+07 5.365925478E-03 
0L13 35606 331 35.02 2.253549357E+01 8.412722395E+02 3.968541577E-10 1.645479879E+07 5.348778155E-03 
0L14 36482 334 34.71 2.237847391E+01 8.083215331E+02 5.162180419E-10 1.562930225E+07 5.311339173E-03 
0L15 39264 337 34.41 2.229768190E+01 7.982986359E+02 6.400238674E-10 9.613655018E+06 5.798538992E-03 
0L16 40280 340.1 34.09 2.212503639E+01 7.380400951E+02 9.255109417E-10 8.515854734E+06 5.169230218E-03 
DARK1 26722 295 39.3 2.519787200E+01 2.636786280E+03 1.105701318E-11 2.615129585E+07 3.201109489E-03 
DARK10 32756 322 36 2.245583121E+01 9.533244779E+02 2.278682129E-10 2.092208179E+07 5.709792237E-03 
DARK11 33456 325 35.67 2.231353964E+01 9.107131818E+02 2.958075535E-10 2.078460301E+07 5.540633483E-03 
DARK12 34168 328 35.34 2.217410544E+01 8.603642684E+02 3.806949910E-10 1.931657233E+07 4.951540492E-03 
DARK13 34894 331 35.02 2.225620838E+01 8.377463197E+02 4.520515952E-10 1.220007234E+07 5.456200538E-03 
DARK14 35618 334 34.71 2.211961686E+01 8.193717709E+02 5.708818131E-10 1.117145525E+07 5.695929712E-03 
DARK15 36494 336.9 34.41 2.163572425E+01 7.658216720E+02 8.143050320E-10 9.954562878E+06 4.916326742E-03 
DARK16 39276 340.1 34.1 2.171534157E+01 7.326011368E+02 1.032996695E-09 7.463111306E+06 4.590581858E-03 
DARK2 27362 298 38.9 2.440917340E+01 2.234876221E+03 1.904627473E-11 4.138152795E+07 3.016762828E-03 
DARK3 27974 301 38.52 2.382363111E+01 1.888263534E+03 2.973732907E-11 5.563461304E+07 3.066611944E-03 
DARK4 28586 304 38.14 2.318931777E+01 1.601834849E+03 4.788747810E-11 9.661488576E+07 3.170210464E-03 
DARK5 29186 307 37.76 2.290215717E+01 1.404189092E+03 6.726498966E-11 9.623656116E+07 3.471324183E-03 
DARK6 29934 310 37.4 2.275470317E+01 1.261079631E+03 8.912462228E-11 6.871379119E+07 4.201912512E-03 
DARK7 30684 313 37.04 2.257794996E+01 1.148414151E+03 1.171006010E-10 6.426720536E+07 4.961351556E-03 
DARK8 31316 316 36.69 2.243219423E+01 1.068442696E+03 1.503805893E-10 5.412938157E+07 5.464983443E-03 
DARK9 32036 319 36.34 2.240542836E+01 1.001770283E+03 1.879157482E-10 3.157765832E+07 5.363298738E-03 
