fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
T01_280 T01_280.dat 280 41.41 1.000E+000 1.829E+001 2.329E-005 1.000E+020 1.733E+000 2.445E-004 2.463E-003 
T02_285 T02_285.dat 285 40.68 1.000E+000 1.756E+001 2.503E-005 1.000E+020 1.725E+000 2.412E-004 2.028E-003 
T03_290 T03_290.dat 290 39.98 1.000E+000 1.666E+001 2.688E-005 1.000E+020 1.718E+000 2.380E-004 1.642E-003 
T04_295 T04_295.dat 295 39.3 1.000E+000 1.622E+001 2.881E-005 1.000E+020 1.705E+000 2.378E-004 1.235E-003 
T05_300 T05_300.dat 300 38.65 1.000E+000 1.555E+001 3.081E-005 1.000E+020 1.697E+000 2.341E-004 1.079E-003 
T06_305 T06_305.dat 305 38.01 1.000E+000 1.469E+001 3.283E-005 1.000E+020 1.689E+000 2.301E-004 1.091E-003 
T07_310 T07_310.dat 310 37.4 1.000E+000 1.379E+001 3.504E-005 1.000E+020 1.678E+000 2.279E-004 1.269E-003 
T08_315 T08_315.dat 315 36.81 1.000E+000 1.293E+001 3.726E-005 1.000E+020 1.670E+000 2.237E-004 1.625E-003 
T09_320 T09_320.dat 320 36.23 1.000E+000 1.205E+001 3.951E-005 1.000E+020 1.664E+000 2.187E-004 2.131E-003 
T10_325 T10_325.dat 325 35.67 1.000E+000 1.189E+001 4.186E-005 1.000E+020 1.657E+000 2.142E-004 2.705E-003 
T11_330 T11_330.dat 330 35.13 1.000E+000 1.103E+001 4.433E-005 1.000E+020 1.648E+000 2.101E-004 3.288E-003 
T12_335 T12_335.dat 335 34.61 1.000E+000 1.023E+001 4.682E-005 1.000E+020 1.641E+000 2.054E-004 4.005E-003 
T13_340 T13_340.dat 340 34.1 1.000E+000 9.446E+000 4.970E-005 1.000E+020 1.619E+000 2.027E-004 4.757E-003 
