fname time Tem kT_1 A Rs Io Rsh dev 
01FR 01fr.dat 295.9 39.18 2.263E+001 2.066E+003 5.527E-010 1.000E+015 3.933E-003 
02FR 02fr.dat 295.9 39.18 2.287E+001 1.979E+003 5.062E-010 1.000E+015 7.260E-003 
03FR 03fr.dat 298 38.91 2.153E+001 1.756E+003 7.698E-010 1.000E+015 3.778E-003 
04FR 04fr.dat 298 38.91 2.214E+001 1.919E+003 6.007E-010 1.000E+015 5.562E-003 
05FR 05fr.dat 300.1 38.63 2.169E+001 1.917E+003 7.974E-010 1.000E+015 5.592E-003 
06FR 06fr.dat 300 38.65 2.265E+001 2.160E+003 5.670E-010 1.000E+015 4.945E-003 
07FR 07fr.dat 300 38.65 2.163E+001 1.697E+003 7.884E-010 1.000E+015 4.692E-003 
08FR 08fr.dat 302.1 38.38 2.160E+001 1.785E+003 9.513E-010 1.000E+015 4.530E-003 
09FR 09fr.dat 302 38.39 2.165E+001 1.725E+003 8.884E-010 1.000E+015 4.451E-003 
10FR 10fr.dat 302 38.39 2.185E+001 1.779E+003 8.262E-010 1.000E+015 5.946E-003 
11FR 11fr.dat 302 38.39 2.184E+001 1.762E+003 8.352E-010 1.000E+015 3.468E-003 
12FR 12fr.dat 305.1 38 2.158E+001 1.589E+003 1.131E-009 1.000E+015 7.561E-003 
13FR 13fr.dat 305 38.01 2.191E+001 1.688E+003 9.939E-010 1.000E+015 5.328E-003 
14FR 14fr.dat 305 38.01 2.183E+001 1.520E+003 1.010E-009 1.000E+015 4.466E-003 
15FR 15fr.dat 305 38.01 2.173E+001 1.597E+003 1.058E-009 1.000E+015 4.404E-003 
16FR 16fr.dat 307 37.77 2.208E+001 1.552E+003 1.261E-009 1.000E+015 4.762E-003 
17FR 17fr.dat 307 37.77 2.173E+001 1.415E+003 1.402E-009 1.000E+015 4.854E-003 
18FR 18fr.dat 307 37.77 2.298E+001 1.766E+003 9.168E-010 1.000E+015 5.026E-003 
19FR 19fr.dat 307 37.77 2.217E+001 1.453E+003 1.214E-009 1.000E+015 6.770E-003 
20FR 20fr.dat 310.1 37.39 2.205E+001 1.463E+003 1.522E-009 1.000E+015 7.167E-003 
21FR 21fr.dat 310 37.4 2.203E+001 1.466E+003 1.562E-009 1.000E+015 4.573E-003 
22FR 22fr.dat 310 37.4 2.237E+001 1.459E+003 1.353E-009 1.000E+015 3.951E-003 
23FR 23fr.dat 310 37.4 2.214E+001 1.324E+003 1.428E-009 1.000E+015 4.975E-003 
24FR 24fr.dat 312.1 37.15 2.064E+001 1.229E+003 2.456E-009 1.000E+015 6.719E-003 
25FR 25fr.dat 312.1 37.15 2.099E+001 1.387E+003 2.357E-009 1.000E+015 9.398E-003 
26FR 26fr.dat 312 37.16 2.074E+001 1.301E+003 2.402E-009 1.000E+015 5.226E-003 
27FR 27fr.dat 312.1 37.15 2.129E+001 1.548E+003 2.059E-009 1.000E+015 6.960E-003 
28FR 28fr.dat 315.1 36.8 2.144E+001 1.212E+003 2.419E-009 1.000E+015 5.323E-003 
29FR 29fr.dat 315 36.81 2.163E+001 1.171E+003 2.267E-009 1.000E+015 6.074E-003 
30FR 30fr.dat 315 36.81 2.168E+001 1.183E+003 2.274E-009 1.000E+015 6.042E-003 
31FR 31fr.dat 317.1 36.56 2.187E+001 1.282E+003 2.535E-009 1.000E+015 5.798E-003 
32FR 32fr.dat 317 36.57 2.207E+001 1.246E+003 2.352E-009 1.000E+015 3.378E-003 
33FR 33fr.dat 317 36.57 2.249E+001 1.323E+003 2.100E-009 1.000E+015 5.507E-003 
34FR 34fr.dat 320 36.23 2.206E+001 1.156E+003 2.931E-009 1.000E+015 6.002E-003 
35FR 35fr.dat 320 36.23 2.178E+001 1.117E+003 3.362E-009 1.000E+015 5.276E-003 
36FR 36fr.dat 320 36.23 2.213E+001 1.188E+003 3.012E-009 1.000E+015 5.079E-003 
37FR 37fr.dat 322 36.01 2.179E+001 1.139E+003 3.501E-009 1.000E+015 4.557E-003 
38FR 38fr.dat 322.1 36 2.173E+001 1.044E+003 3.569E-009 1.000E+015 5.144E-003 
39FR 39fr.dat 322 36.01 2.189E+001 1.097E+003 3.592E-009 1.000E+015 4.945E-003 
40FR 40fr.dat 325 35.67 2.198E+001 1.014E+003 4.124E-009 1.000E+015 5.352E-003 
41FR 41fr.dat 325.1 35.66 2.216E+001 9.588E+002 4.288E-009 1.000E+015 6.115E-003 
42FR 42fr.dat 325.1 35.66 2.210E+001 1.005E+003 4.063E-009 1.000E+015 5.578E-003 
43FR 43fr.dat 327 35.46 2.180E+001 1.079E+003 4.554E-009 1.000E+015 3.749E-003 
44FR 44fr.dat 327 35.46 2.199E+001 1.066E+003 4.339E-009 1.000E+015 4.177E-003 
45FR 45fr.dat 330.1 35.12 2.188E+001 8.963E+002 5.285E-009 1.000E+015 6.016E-003 
46FR 46fr.dat 330 35.13 2.207E+001 9.299E+002 5.482E-009 1.000E+015 3.444E-003 
47FR 47fr.dat 330 35.13 2.169E+001 9.084E+002 5.846E-009 1.000E+015 4.823E-003 
