N_Fe N_B T n_Fe n_Fe_calk n_Fe n_Fe_calk
1.000000E+10 1.000e+17 290 1.158238888E+00 1.158238888E+00 1.200143713E+0 1.200143713E+0
1.468000E+10 1.000e+17 290 1.165510568E+00 1.165510568E+00 1.200227077E+0 1.200227077E+0
2.154000E+10 1.000e+17 290 1.173569633E+00 1.173569633E+00 1.200305247E+0 1.200305247E+0
3.162000E+10 1.000e+17 290 1.175492530E+00 1.175492530E+00 1.200378720E+0 1.200378720E+0
4.642000E+10 1.000e+17 290 1.186679695E+00 1.186679695E+00 1.200447702E+0 1.200447702E+0
6.813000E+10 1.000e+17 290 1.187698577E+00 1.187698577E+00 1.200512412E+0 1.200512412E+0
1.000000E+11 1.000e+17 290 1.188407018E+00 1.188407018E+00 1.200573165E+0 1.200573165E+0
1.468000E+11 1.000e+17 290 1.188903621E+00 1.188903621E+00 1.200630210E+0 1.200630210E+0
2.154000E+11 1.000e+17 290 1.199457641E+00 1.199457641E+00 1.200683688E+0 1.200683688E+0
3.162000E+11 1.000e+17 290 1.200140660E+00 1.200140660E+00 1.200733940E+0 1.200733940E+0
4.642000E+11 1.000e+17 290 1.200367028E+00 1.200367028E+00 1.200781110E+0 1.200781110E+0
6.813000E+11 1.000e+17 290 1.200557542E+00 1.200557542E+00 1.200825349E+0 1.200825349E+0
1.000000E+12 1.000e+17 290 1.200729749E+00 1.200729749E+00 1.200866875E+0 1.200866875E+0
1.468000E+12 1.000e+17 290 1.212009473E+00 1.212009473E+00 1.200905860E+0 1.200905860E+0
2.154000E+12 1.000e+17 290 1.220551456E+00 1.220551456E+00 1.200942399E+0 1.200942399E+0
3.162000E+12 1.000e+17 290 1.224995511E+00 1.224995511E+00 1.200976730E+0 1.200976730E+0
4.642000E+12 1.000e+17 290 1.225180290E+00 1.225180290E+00 1.201008949E+0 1.201008949E+0
6.813000E+12 1.000e+17 290 1.237373260E+00 1.237373260E+00 1.201039163E+0 1.201039163E+0
1.000000E+13 1.000e+17 290 1.237513468E+00 1.237513468E+00 1.201067519E+0 1.201067519E+0
1.000000E+10 1.000e+17 295 1.163557279E+00 1.163557279E+00 1.203089253E+0 1.203089253E+0
1.468000E+10 1.000e+17 295 1.168082094E+00 1.168082094E+00 1.203202981E+0 1.203202981E+0
2.154000E+10 1.000e+17 295 1.175249997E+00 1.175249997E+00 1.203309767E+0 1.203309767E+0
3.162000E+10 1.000e+17 295 1.180940593E+00 1.180940593E+00 1.203410273E+0 1.203410273E+0
