T d154 d184 d214 d244
d 150 180 210 240
290 1.187860000E-04 1.139050000E-04 1.111320000E-04 1.093160000E-04
295 1.093560000E-04 1.046400000E-04 1.016510000E-04 1.001180000E-04
300 1.012440000E-04 9.649400000E-05 9.360400000E-05 9.205700000E-05
305 9.291400000E-05 8.863000000E-05 8.612600000E-05 8.390200000E-05
310 8.930500000E-05 8.433400000E-05 8.169800000E-05 8.057000000E-05
315 8.783500000E-05 8.361300000E-05 8.099700000E-05 8.012000000E-05
320 8.866900000E-05 8.455700000E-05 8.218100000E-05 8.067400000E-05
325 9.430100000E-05 9.033200000E-05 8.806400000E-05 8.653000000E-05
330 1.037140000E-04 9.964300000E-05 9.755300000E-05 9.625900000E-05
335 1.157730000E-04 1.119220000E-04 1.101490000E-04 1.094280000E-04
340 1.327930000E-04 1.294810000E-04 1.281860000E-04 1.283110000E-04
