T Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.500000000E+01 1.204814079E+00 1.200742015E+00 4.072064000E-03 1.204795293E+00 1.200690563E+00 4.104730000E-03 1.878600000E-05 5.145200000E-05
290 1.524993176E+01 1.220566737E+00 1.205354755E+00 1.521198200E-02 1.220527889E+00 1.205280630E+00 1.524725900E-02 3.884800000E-05 7.412500000E-05
290 1.549996187E+01 1.232591800E+00 1.209810519E+00 2.278128100E-02 1.232514542E+00 1.209704800E+00 2.280974200E-02 7.725800000E-05 1.057190000E-04
290 1.574996808E+01 1.244790789E+00 1.218256523E+00 2.653426600E-02 1.244638025E+00 1.218111348E+00 2.652667700E-02 1.527640000E-04 1.451750000E-04
290 1.600000000E+01 1.258018247E+00 1.225346676E+00 3.267157100E-02 1.257715906E+00 1.225160380E+00 3.255552600E-02 3.023410000E-04 1.862960000E-04
290 1.624993176E+01 1.272843840E+00 1.229197720E+00 4.364612000E-02 1.272245399E+00 1.228953527E+00 4.329187200E-02 5.984410000E-04 2.441930000E-04
290 1.649996187E+01 1.290419497E+00 1.233890623E+00 5.652887400E-02 1.289237867E+00 1.233553188E+00 5.568467900E-02 1.181630000E-03 3.374350000E-04
290 1.674996808E+01 1.310881629E+00 1.245325066E+00 6.555656300E-02 1.308568143E+00 1.244849621E+00 6.371852200E-02 2.313486000E-03 4.754450000E-04
290 1.700000000E+01 1.334307844E+00 1.264239540E+00 7.006830400E-02 1.329864987E+00 1.263572036E+00 6.629295100E-02 4.442857000E-03 6.675040000E-04
295 1.500000000E+01 1.198114853E+00 1.200266624E+00 -2.151771000E-03 1.198099598E+00 1.200220721E+00 -2.121123000E-03 1.525500000E-05 4.590300000E-05
295 1.524993176E+01 1.218906643E+00 1.205477569E+00 1.342907400E-02 1.218872809E+00 1.205411364E+00 1.346144500E-02 3.383400000E-05 6.620500000E-05
295 1.549996187E+01 1.232807200E+00 1.210580873E+00 2.222632700E-02 1.232739617E+00 1.210484137E+00 2.225548000E-02 6.758300000E-05 9.673600000E-05
295 1.574996808E+01 1.245193344E+00 1.218545965E+00 2.664737900E-02 1.245060028E+00 1.218414292E+00 2.664573600E-02 1.333160000E-04 1.316730000E-04
295 1.600000000E+01 1.258294607E+00 1.226479389E+00 3.181521800E-02 1.258029921E+00 1.226305580E+00 3.172434100E-02 2.646860000E-04 1.738090000E-04
295 1.624993176E+01 1.272595091E+00 1.230575514E+00 4.201957700E-02 1.272066860E+00 1.230348635E+00 4.171822500E-02 5.282310000E-04 2.268790000E-04
295 1.649996187E+01 1.289777841E+00 1.235377095E+00 5.440074600E-02 1.288720819E+00 1.235066214E+00 5.365460500E-02 1.057022000E-03 3.108810000E-04
295 1.674996808E+01 1.309820438E+00 1.246548695E+00 6.327174300E-02 1.307712287E+00 1.246113276E+00 6.159901100E-02 2.108151000E-03 4.354190000E-04
295 1.700000000E+01 1.332686467E+00 1.265039094E+00 6.764737300E-02 1.328555947E+00 1.264429702E+00 6.412624500E-02 4.130520000E-03 6.093920000E-04
300 1.500000000E+01 1.183188365E+00 1.199695153E+00 -1.650678800E-02 1.183177755E+00 1.199654268E+00 -1.647651300E-02 1.061000000E-05 4.088500000E-05
300 1.524993176E+01 1.215707697E+00 1.206395893E+00 9.311804000E-03 1.215678094E+00 1.206334974E+00 9.343120000E-03 2.960300000E-05 6.091900000E-05
300 1.549996187E+01 1.232876863E+00 1.211550629E+00 2.132623400E-02 1.232816548E+00 1.211462482E+00 2.135406600E-02 6.031500000E-05 8.814700000E-05
300 1.574996808E+01 1.246211806E+00 1.219992506E+00 2.621930000E-02 1.246093684E+00 1.219868869E+00 2.622481500E-02 1.181220000E-04 1.236370000E-04
300 1.600000000E+01 1.259336759E+00 1.228160018E+00 3.117674100E-02 1.259103859E+00 1.227995228E+00 3.110863100E-02 2.329000000E-04 1.647900000E-04
