N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.778E+16 340 2.400E-4 1.154530926E+00 1.221819335E+00
1.468000E+10 1.778E+16 340 2.400E-4 1.173594555E+00 1.221885753E+00
2.154000E+10 1.778E+16 340 2.400E-4 1.189029241E+00 1.221982860E+00
3.162000E+10 1.778E+16 340 2.400E-4 1.202244891E+00 1.222124594E+00
4.642000E+10 1.778E+16 340 2.400E-4 1.211344121E+00 1.222331656E+00
6.813000E+10 1.778E+16 340 2.400E-4 1.220775503E+00 1.223014738E+00
1.000000E+11 1.778E+16 340 2.400E-4 1.222289922E+00 1.224955600E+00
1.468000E+11 1.778E+16 340 2.400E-4 1.225073089E+00 1.227545375E+00
2.154000E+11 1.778E+16 340 2.400E-4 1.229203125E+00 1.005758275E+00
3.162000E+11 1.778E+16 340 2.400E-4 1.233847222E+00 1.234977906E+00
4.642000E+11 1.778E+16 340 2.400E-4 1.238991266E+00 1.239751525E+00
6.813000E+11 1.778E+16 340 2.400E-4 1.244469559E+00 1.244979111E+00
1.000000E+12 1.778E+16 340 2.400E-4 1.250655150E+00 1.250938066E+00
1.468000E+12 1.778E+16 340 2.400E-4 1.255517041E+00 1.255744790E+00
2.154000E+12 1.778E+16 340 2.400E-4 1.260709339E+00 1.260858293E+00
3.162000E+12 1.778E+16 340 2.400E-4 1.264839886E+00 1.264943257E+00
4.642000E+12 1.778E+16 340 2.400E-4 1.268558955E+00 1.268629055E+00
6.813000E+12 1.778E+16 340 2.400E-4 1.271662002E+00 1.271719269E+00
1.000000E+13 1.778E+16 340 2.400E-4 1.274310563E+00 1.274345057E+00
