N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.030221365E+00 1.030585895E+00 1.031180195E+00 1.031835499E+00
1.600000000E+01 1.283978072E+00 1.283638093E+00 1.281555681E+00 1.282368072E+00
1.700000000E+01 1.371920177E+00 1.371832884E+00 1.371296971E+00 1.371650243E+00
1.549996187E+01 1.166940753E+00 1.163444434E+00 1.160703414E+00 1.157271817E+00
1.649996187E+01 1.326704741E+00 1.327619797E+00 1.327575900E+00 1.327445192E+00
1.674996808E+01 1.348985451E+00 1.348117801E+00 1.348666142E+00 1.348552040E+00
1.624993176E+01 1.307064308E+00 1.307210385E+00 1.307034041E+00 1.306556456E+00
1.574996808E+01 1.247296336E+00 1.244350090E+00 1.244565309E+00 1.243971300E+00
1.524993176E+01 1.022500604E+00 1.022704859E+00 1.022946279E+00 1.023185680E+00
