T Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.000000000E+01 1.271673411E+00 1.210533003E+00 6.114040800E-02 1.245236249E+00 1.201204429E+00 4.403182000E-02 2.643716200E-02 9.328574000E-03
290 1.016672606E+01 1.271787130E+00 1.210824711E+00 6.096241900E-02 1.250026190E+00 1.204020107E+00 4.600608300E-02 2.176094000E-02 6.804604000E-03
290 1.033324570E+01 1.271952844E+00 1.211240805E+00 6.071203900E-02 1.254411318E+00 1.206319747E+00 4.809157100E-02 1.754152600E-02 4.921058000E-03
290 1.049996187E+01 1.272193803E+00 1.211827656E+00 6.036614700E-02 1.258385760E+00 1.208289412E+00 5.009634800E-02 1.380804300E-02 3.538244000E-03
290 1.066670514E+01 1.272542871E+00 1.212642682E+00 5.990018900E-02 1.261924907E+00 1.210102555E+00 5.182235200E-02 1.061796400E-02 2.540127000E-03
290 1.083333839E+01 1.273045700E+00 1.213752157E+00 5.929354300E-02 1.265043576E+00 1.211921253E+00 5.312232300E-02 8.002124000E-03 1.830904000E-03
290 1.100000000E+01 1.273764191E+00 1.215225481E+00 5.853871000E-02 1.267822425E+00 1.213891792E+00 5.393063300E-02 5.941766000E-03 1.333689000E-03
290 1.116672606E+01 1.274779200E+00 1.217125908E+00 5.765329200E-02 1.270404473E+00 1.216137229E+00 5.426724400E-02 4.374727000E-03 9.886790000E-04
290 1.133324570E+01 1.276190885E+00 1.219499909E+00 5.669097600E-02 1.272975354E+00 1.218749304E+00 5.422605000E-02 3.215531000E-03 7.506050000E-04
290 1.149996187E+01 1.278113725E+00 1.222368640E+00 5.574508500E-02 1.275738776E+00 1.221782685E+00 5.395609100E-02 2.374949000E-03 5.859550000E-04
290 1.166670514E+01 1.280663248E+00 1.225725211E+00 5.493803700E-02 1.278890606E+00 1.225254749E+00 5.363585700E-02 1.772642000E-03 4.704620000E-04
290 1.183333839E+01 1.283933112E+00 1.229539755E+00 5.439335700E-02 1.282590513E+00 1.229152659E+00 5.343785400E-02 1.342599000E-03 3.870960000E-04
290 1.200000000E+01 1.287966766E+00 1.233771667E+00 5.419509900E-02 1.286932874E+00 1.233447247E+00 5.348562700E-02 1.033892000E-03 3.244200000E-04
290 1.216672606E+01 1.292735256E+00 1.238383429E+00 5.435182700E-02 1.291926195E+00 1.238108300E+00 5.381789500E-02 8.090610000E-04 2.751290000E-04
290 1.233324570E+01 1.298136153E+00 1.243348036E+00 5.478811700E-02 1.297494470E+00 1.243113273E+00 5.438119700E-02 6.416830000E-04 2.347630000E-04
290 1.249996187E+01 1.304019760E+00 1.248646571E+00 5.537318900E-02 1.303505897E+00 1.248445900E+00 5.505999700E-02 5.138630000E-04 2.006710000E-04
290 1.266670514E+01 1.310230076E+00 1.254260521E+00 5.596955500E-02 1.309816205E+00 1.254089245E+00 5.572696000E-02 4.138710000E-04 1.712760000E-04
290 1.283333839E+01 1.316636613E+00 1.260165732E+00 5.647088100E-02 1.316302493E+00 1.260019994E+00 5.628249900E-02 3.341200000E-04 1.457380000E-04
290 1.300000000E+01 1.323142607E+00 1.266327880E+00 5.681472700E-02 1.322872961E+00 1.266204552E+00 5.666840900E-02 2.696460000E-04 1.233280000E-04
295 1.000000000E+01 1.272786694E+00 1.213780343E+00 5.900635100E-02 1.248123023E+00 1.203354899E+00 4.476812400E-02 2.466367100E-02 1.042544400E-02
295 1.016672606E+01 1.272888076E+00 1.214057029E+00 5.883104700E-02 1.252936444E+00 1.206546243E+00 4.639020100E-02 1.995163200E-02 7.510786000E-03
295 1.033324570E+01 1.273035874E+00 1.214485596E+00 5.855027800E-02 1.257152971E+00 1.209096423E+00 4.805654800E-02 1.588290300E-02 5.389173000E-03
295 1.049996187E+01 1.273250840E+00 1.215072579E+00 5.817826100E-02 1.260856196E+00 1.211223276E+00 4.963292000E-02 1.239464400E-02 3.849303000E-03
295 1.066670514E+01 1.273562322E+00 1.215852775E+00 5.770954700E-02 1.264086796E+00 1.213121843E+00 5.096495300E-02 9.475526000E-03 2.730932000E-03
295 1.083333839E+01 1.274011156E+00 1.216903059E+00 5.710809700E-02 1.266897993E+00 1.214963839E+00 5.193415400E-02 7.113163000E-03 1.939220000E-03
295 1.100000000E+01 1.274652777E+00 1.218287835E+00 5.636494200E-02 1.269385022E+00 1.216901011E+00 5.248401100E-02 5.267755000E-03 1.386824000E-03
295 1.116672606E+01 1.275559862E+00 1.220060648E+00 5.549921400E-02 1.271688125E+00 1.219054923E+00 5.263320200E-02 3.871737000E-03 1.005725000E-03
295 1.133324570E+01 1.276822928E+00 1.222258151E+00 5.456477700E-02 1.273979908E+00 1.221513047E+00 5.246686100E-02 2.843020000E-03 7.451040000E-04
295 1.149996187E+01 1.278546606E+00 1.224891787E+00 5.365481900E-02 1.276447105E+00 1.224324351E+00 5.212275400E-02 2.099501000E-03 5.674360000E-04
295 1.166670514E+01 1.280838853E+00 1.227959397E+00 5.287945600E-02 1.279270315E+00 1.227513561E+00 5.175675400E-02 1.568538000E-03 4.458360000E-04
295 1.183333839E+01 1.283791839E+00 1.231426141E+00 5.236569800E-02 1.282600930E+00 1.231065429E+00 5.153550100E-02 1.190909000E-03 3.607120000E-04
295 1.200000000E+01 1.287457340E+00 1.235259773E+00 5.219756700E-02 1.286536344E+00 1.234960752E+00 5.157559200E-02 9.209960000E-04 2.990210000E-04
295 1.216672606E+01 1.291825851E+00 1.239434719E+00 5.239113200E-02 1.291100641E+00 1.239182454E+00 5.191818700E-02 7.252100000E-04 2.522650000E-04
295 1.233324570E+01 1.296822193E+00 1.243937510E+00 5.288468300E-02 1.296242392E+00 1.243722351E+00 5.252004100E-02 5.798010000E-04 2.151590000E-04
295 1.249996187E+01 1.302324805E+00 1.248763825E+00 5.356098000E-02 1.301856123E+00 1.248579315E+00 5.327680800E-02 4.686820000E-04 1.845100000E-04
295 1.266670514E+01 1.308200338E+00 1.253910453E+00 5.428988500E-02 1.307818951E+00 1.253752031E+00 5.406692000E-02 3.813870000E-04 1.584220000E-04
295 1.283333839E+01 1.314333060E+00 1.259366494E+00 5.496656600E-02 1.314021824E+00 1.259230836E+00 5.479098800E-02 3.112360000E-04 1.356580000E-04
295 1.300000000E+01 1.320634409E+00 1.265125663E+00 5.550874600E-02 1.320380449E+00 1.265009716E+00 5.537073300E-02 2.539600000E-04 1.159470000E-04
300 1.000000000E+01 1.274804170E+00 1.216353623E+00 5.845054700E-02 1.250841986E+00 1.204469543E+00 4.637244300E-02 2.396218400E-02 1.188408000E-02
300 1.016672606E+01 1.274895746E+00 1.216637497E+00 5.825824900E-02 1.255950619E+00 1.208176808E+00 4.777381100E-02 1.894512700E-02 8.460689000E-03
300 1.033324570E+01 1.275029248E+00 1.217041655E+00 5.798759300E-02 1.260218181E+00 1.211064353E+00 4.915382800E-02 1.481106700E-02 5.977302000E-03
300 1.049996187E+01 1.275223396E+00 1.217609766E+00 5.761363000E-02 1.263822613E+00 1.213412576E+00 5.041003700E-02 1.140078300E-02 4.197190000E-03
300 1.066670514E+01 1.275504621E+00 1.218427215E+00 5.707740600E-02 1.266877271E+00 1.215476201E+00 5.140107000E-02 8.627350000E-03 2.951014000E-03
300 1.083333839E+01 1.275909665E+00 1.219489244E+00 5.642042100E-02 1.269482441E+00 1.217408038E+00 5.207440300E-02 6.427224000E-03 2.081206000E-03
300 1.100000000E+01 1.276488329E+00 1.220881782E+00 5.560654700E-02 1.271756577E+00 1.219420167E+00 5.233641000E-02 4.731752000E-03 1.461615000E-03
300 1.116672606E+01 1.277305804E+00 1.222650315E+00 5.465548900E-02 1.273844689E+00 1.221613050E+00 5.223163900E-02 3.461115000E-03 1.037265000E-03
300 1.133324570E+01 1.278443231E+00 1.224813534E+00 5.362969700E-02 1.275912045E+00 1.224064608E+00 5.184743700E-02 2.531186000E-03 7.489260000E-04
300 1.149996187E+01 1.279994592E+00 1.227369161E+00 5.262543100E-02 1.278131711E+00 1.226814196E+00 5.131751500E-02 1.862881000E-03 5.549650000E-04
300 1.166670514E+01 1.282057721E+00 1.230287007E+00 5.177071400E-02 1.280669424E+00 1.229862785E+00 5.080663900E-02 1.388297000E-03 4.242220000E-04
300 1.183333839E+01 1.284718543E+00 1.233529957E+00 5.118858600E-02 1.283665626E+00 1.233194862E+00 5.047076400E-02 1.052917000E-03 3.350950000E-04
300 1.200000000E+01 1.288030640E+00 1.237065934E+00 5.096470600E-02 1.287215638E+00 1.236793187E+00 5.042245100E-02 8.150020000E-04 2.727470000E-04
300 1.216672606E+01 1.291997195E+00 1.240877599E+00 5.111959600E-02 1.291353358E+00 1.240650213E+00 5.070314500E-02 6.438370000E-04 2.273860000E-04
300 1.233324570E+01 1.296565528E+00 1.244964601E+00 5.160092700E-02 1.296047878E+00 1.244771794E+00 5.127608400E-02 5.176500000E-04 1.928070000E-04
300 1.249996187E+01 1.301640933E+00 1.249338218E+00 5.230271500E-02 1.301219270E+00 1.249173019E+00 5.204625100E-02 4.216630000E-04 1.651990000E-04
300 1.266670514E+01 1.307114657E+00 1.254015183E+00 5.309947400E-02 1.306768379E+00 1.253872881E+00 5.289549800E-02 3.462780000E-04 1.423020000E-04
300 1.283333839E+01 1.312889531E+00 1.258997159E+00 5.389237200E-02 1.312604076E+00 1.258874482E+00 5.372959400E-02 2.854550000E-04 1.226770000E-04
300 1.300000000E+01 1.318889425E+00 1.264295742E+00 5.459368300E-02 1.318654008E+00 1.264190123E+00 5.446388500E-02 2.354170000E-04 1.056190000E-04
305 1.000000000E+01 1.277264942E+00 1.219248648E+00 5.801629400E-02 1.252842028E+00 1.205164347E+00 4.767768100E-02 2.442291400E-02 1.408430100E-02
305 1.016672606E+01 1.277350040E+00 1.219539273E+00 5.781076700E-02 1.258525048E+00 1.209574554E+00 4.895049400E-02 1.882499200E-02 9.964719000E-03
305 1.033324570E+01 1.277474062E+00 1.219953147E+00 5.752091500E-02 1.263074477E+00 1.212960524E+00 5.011395300E-02 1.439958500E-02 6.992623000E-03
305 1.049996187E+01 1.277654295E+00 1.220535119E+00 5.711917600E-02 1.266765802E+00 1.215661087E+00 5.110471500E-02 1.088849300E-02 4.874032000E-03
305 1.066670514E+01 1.277915119E+00 1.221339264E+00 5.657585500E-02 1.269791299E+00 1.217958505E+00 5.183279400E-02 8.123820000E-03 3.380759000E-03
305 1.083333839E+01 1.278290242E+00 1.222424996E+00 5.586524600E-02 1.272306236E+00 1.220085619E+00 5.222061700E-02 5.984006000E-03 2.339377000E-03
305 1.100000000E+01 1.278825120E+00 1.223848319E+00 5.497680100E-02 1.274460770E+00 1.222227727E+00 5.223304300E-02 4.364350000E-03 1.620592000E-03
305 1.116672606E+01 1.279578803E+00 1.225649213E+00 5.392959000E-02 1.276412646E+00 1.224519673E+00 5.189297300E-02 3.166157000E-03 1.129540000E-03
305 1.133324570E+01 1.280624128E+00 1.227839193E+00 5.278493500E-02 1.278326417E+00 1.227041736E+00 5.128468100E-02 2.297711000E-03 7.974570000E-04
305 1.149996187E+01 1.282044560E+00 1.230396615E+00 5.164794500E-02 1.280366021E+00 1.229821688E+00 5.054433300E-02 1.678539000E-03 5.749270000E-04
305 1.166670514E+01 1.283926273E+00 1.233274602E+00 5.065167100E-02 1.282684040E+00 1.232848054E+00 4.983598600E-02 1.242233000E-03 4.265480000E-04
305 1.183333839E+01 1.286344917E+00 1.236419262E+00 4.992565500E-02 1.285408340E+00 1.236091981E+00 4.931635900E-02 9.365770000E-04 3.272810000E-04
305 1.200000000E+01 1.289349391E+00 1.239788485E+00 4.956090600E-02 1.288627342E+00 1.239528708E+00 4.909863400E-02 7.220490000E-04 2.597770000E-04
305 1.216672606E+01 1.292947847E+00 1.243363271E+00 4.958457600E-02 1.292378186E+00 1.243150804E+00 4.922738200E-02 5.696610000E-04 2.124670000E-04
305 1.233324570E+01 1.297103277E+00 1.247148607E+00 4.995467000E-02 1.296644469E+00 1.246970722E+00 4.967374700E-02 4.588080000E-04 1.778850000E-04
305 1.249996187E+01 1.301743926E+00 1.251166047E+00 5.057787900E-02 1.301368464E+00 1.251014662E+00 5.035380200E-02 3.754620000E-04 1.513850000E-04
305 1.266670514E+01 1.306785215E+00 1.255442663E+00 5.134255200E-02 1.306474736E+00 1.255312532E+00 5.116220400E-02 3.104790000E-04 1.301310000E-04
305 1.283333839E+01 1.312150673E+00 1.260001556E+00 5.214911700E-02 1.311892517E+00 1.259889149E+00 5.200336800E-02 2.581560000E-04 1.124070000E-04
305 1.300000000E+01 1.317779954E+00 1.264863036E+00 5.291691800E-02 1.317564981E+00 1.264765733E+00 5.279924800E-02 2.149730000E-04 9.730300000E-05
310 1.000000000E+01 1.280165244E+00 1.221625214E+00 5.854003000E-02 1.254063031E+00 1.204758590E+00 4.930444100E-02 2.610221300E-02 1.686662400E-02
310 1.016672606E+01 1.280247924E+00 1.221929564E+00 5.831836000E-02 1.260602674E+00 1.210029739E+00 5.057293500E-02 1.964525000E-02 1.189982500E-02
310 1.033324570E+01 1.280368340E+00 1.222363403E+00 5.800493700E-02 1.265671649E+00 1.214043526E+00 5.162812300E-02 1.469669100E-02 8.319877000E-03
