N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.019663094E+00 1.018239737E+00 1.017102825E+00 1.016156890E+00
1.600000000E+01 1.257774859E+00 1.253640143E+00 1.249820700E+00 1.246625479E+00
1.700000000E+01 1.330912910E+00 1.328190514E+00 1.324668792E+00 1.323358591E+00
1.549996187E+01 1.162873935E+00 1.149792372E+00 1.140488426E+00 1.132472068E+00
1.649996187E+01 1.292539095E+00 1.290229502E+00 1.287533204E+00 1.285683556E+00
1.674996808E+01 1.311342145E+00 1.307386647E+00 1.305211648E+00 1.303435127E+00
1.624993176E+01 1.276456285E+00 1.273206557E+00 1.270354246E+00 1.267617247E+00
1.574996808E+01 1.228697752E+00 1.222077717E+00 1.216626109E+00 1.212811982E+00
1.524993176E+01 1.014105659E+00 1.012606768E+00 1.011489063E+00 1.010607616E+00
