N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.019914301E+00 1.018623808E+00 1.017638057E+00 1.016855779E+00
1.600000000E+01 1.256868625E+00 1.252221651E+00 1.247762613E+00 1.243809255E+00
1.700000000E+01 1.330104078E+00 1.327106776E+00 1.323288121E+00 1.321665779E+00
1.549996187E+01 1.157997432E+00 1.142103162E+00 1.129370641E+00 1.117412860E+00
1.649996187E+01 1.291913095E+00 1.289319997E+00 1.286282989E+00 1.284036685E+00
1.674996808E+01 1.310647899E+00 1.306417043E+00 1.303925656E+00 1.301794099E+00
1.624993176E+01 1.275806325E+00 1.272224332E+00 1.268960550E+00 1.265737400E+00
1.574996808E+01 1.226826394E+00 1.219099638E+00 1.212275114E+00 1.206847616E+00
1.524993176E+01 1.014043165E+00 1.012557217E+00 1.011456124E+00 1.010601014E+00
