fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
UDT0 7:58 300.9 38.53 1.000E+000 1.268E+000 1.407E-006 1.685E+004 2.659E+000 1.818E-008 2.336E-003 
UDT1 8:0 300.9 38.53 1.000E+000 1.267E+000 1.429E-006 1.685E+004 2.650E+000 1.842E-008 1.121E-003 
UDT2 8:3 301 38.52 1.000E+000 1.263E+000 1.478E-006 1.679E+004 2.645E+000 1.868E-008 1.194E-003 
UDT3 8:6 301 38.52 1.000E+000 1.248E+000 1.477E-006 1.679E+004 2.648E+000 1.842E-008 1.549E-003 
UDT4 8:8 301.1 38.51 1.000E+000 1.265E+000 1.478E-006 1.672E+004 2.650E+000 1.851E-008 1.377E-003 
UDT5 8:11 301.2 38.49 1.000E+000 1.287E+000 1.452E-006 1.666E+004 2.655E+000 1.837E-008 1.248E-003 
UDT6 8:13 301.2 38.49 1.000E+000 1.267E+000 1.518E-006 1.666E+004 2.644E+000 1.873E-008 1.363E-003 
UDT7 8:16 301.3 38.48 1.000E+000 1.296E+000 1.470E-006 1.660E+004 2.655E+000 1.848E-008 1.580E-003 
UDT8 8:18 301.3 38.48 1.000E+000 1.304E+000 1.455E-006 1.660E+004 2.653E+000 1.847E-008 1.710E-003 
UDT9 8:21 301.4 38.47 1.000E+000 1.309E+000 1.482E-006 1.653E+004 2.645E+000 1.880E-008 1.113E-003 
