T nFsrh nFBsrh dnsrh nF nFB dn
290 1.160674492E+00 1.159075803E+0 1.598689000E-03 1.160674492E+00 1.159075803E+0 1.598689000E-03
295 1.166903539E+00 1.162058280E+0 4.845259000E-03 1.166903539E+00 1.162058280E+0 4.845259000E-03
300 1.163800894E+00 1.164835509E+0 -1.034615000E-03 1.163800894E+00 1.164835509E+0 -1.034615000E-03
305 1.168436621E+00 1.167070725E+0 1.365896000E-03 1.168436621E+00 1.167070725E+0 1.365896000E-03
310 1.171699887E+00 1.167958006E+0 3.741881000E-03 1.171699887E+00 1.167958006E+0 3.741881000E-03
315 1.164458684E+00 1.165726321E+0 -1.267637000E-03 1.164458684E+00 1.165726321E+0 -1.267637000E-03
320 1.148272473E+00 1.157071757E+0 -8.799284000E-03 1.148272473E+00 1.157071757E+0 -8.799284000E-03
325 1.133766967E+00 1.137746262E+0 -3.979295000E-03 1.133766967E+00 1.137746262E+0 -3.979295000E-03
330 1.111934178E+00 1.106684000E+0 5.250178000E-03 1.111934178E+00 1.106684000E+0 5.250178000E-03
335 1.093592736E+00 1.070996916E+0 2.259582000E-02 1.093592736E+00 1.070996916E+0 2.259582000E-02
340 1.017128938E+00 1.041315902E+0 -2.418696400E-02 1.017128938E+00 1.041315902E+0 -2.418696400E-02
