fname time Tem kT_1 A Rs Io Rsh dev 
01FR 01fr.dat 340 34.1 2.274E+001 9.095E+002 7.294E-009 1.000E+015 1.124E-002 
02FR 02fr.dat 340 34.1 2.254E+001 8.969E+002 7.814E-009 1.000E+015 9.733E-003 
03FR 03fr.dat 340 34.1 2.252E+001 8.668E+002 7.596E-009 1.000E+015 1.000E-002 
04FR 04fr.dat 340 34.1 2.194E+001 8.205E+002 8.920E-009 1.000E+015 4.832E-003 
05FR 05fr.dat 340 34.1 2.198E+001 8.466E+002 8.884E-009 1.000E+015 4.798E-003 
06FR 06fr.dat 340 34.1 2.225E+001 8.971E+002 8.442E-009 1.000E+015 4.939E-003 
07FR 07fr.dat 340 34.1 2.196E+001 8.509E+002 8.823E-009 1.000E+015 4.448E-003 
08FR 08fr.dat 340 34.1 2.207E+001 8.643E+002 8.479E-009 1.000E+015 5.212E-003 
09FR 09fr.dat 340 34.1 2.191E+001 8.076E+002 8.726E-009 1.000E+015 4.778E-003 
10FR 10fr.dat 340 34.1 2.186E+001 8.377E+002 8.946E-009 1.000E+015 4.417E-003 
11FR 11fr.dat 340 34.1 2.182E+001 8.755E+002 8.755E-009 1.000E+015 5.570E-003 
12FR 12fr.dat 340 34.1 2.161E+001 6.848E+002 9.831E-009 1.000E+015 6.056E-003 
13FR 13fr.dat 340 34.1 2.170E+001 7.376E+002 1.019E-008 1.000E+015 5.008E-003 
14FR 14fr.dat 340 34.1 2.165E+001 7.462E+002 9.793E-009 1.000E+015 9.251E-003 
15FR 15fr.dat 340 34.1 2.171E+001 8.055E+002 9.596E-009 1.000E+015 4.498E-003 
16FR 16fr.dat 340 34.1 2.197E+001 8.305E+002 9.171E-009 1.000E+015 3.702E-003 
17FR 17fr.dat 340 34.1 2.169E+001 7.856E+002 9.272E-009 1.000E+015 4.559E-003 
18FR 18fr.dat 340 34.1 2.180E+001 7.856E+002 9.186E-009 1.000E+015 4.840E-003 
19FR 19fr.dat 340 34.1 2.196E+001 8.319E+002 9.060E-009 1.000E+015 3.783E-003 
20FR 20fr.dat 340 34.1 2.176E+001 7.706E+002 9.257E-009 1.000E+015 3.993E-003 
21FR 21fr.dat 340 34.1 2.164E+001 7.764E+002 9.071E-009 1.000E+015 4.497E-003 
22FR 22fr.dat 340 34.1 2.181E+001 8.191E+002 9.091E-009 1.000E+015 2.789E-003 
23FR 23fr.dat 340 34.1 2.173E+001 8.363E+002 9.095E-009 1.000E+015 3.836E-003 
24FR 24fr.dat 340 34.1 2.179E+001 8.334E+002 8.693E-009 1.000E+015 3.607E-003 
25FR 25fr.dat 340 34.1 2.174E+001 8.476E+002 8.777E-009 1.000E+015 4.181E-003 
26FR 26fr.dat 340 34.1 2.180E+001 8.542E+002 8.687E-009 1.000E+015 4.660E-003 
27FR 27fr.dat 340 34.1 2.170E+001 8.203E+002 8.546E-009 1.000E+015 4.235E-003 
28FR 28fr.dat 340 34.1 2.170E+001 8.453E+002 9.095E-009 1.000E+015 3.599E-003 
29FR 29fr.dat 340 34.1 2.155E+001 8.341E+002 9.025E-009 1.000E+015 3.346E-003 
30FR 30fr.dat 340 34.1 2.158E+001 7.649E+002 8.850E-009 1.000E+015 3.848E-003 
31FR 31fr.dat 340 34.1 2.169E+001 7.902E+002 9.086E-009 1.000E+015 3.890E-003 
32FR 32fr.dat 340 34.1 2.150E+001 8.204E+002 9.176E-009 1.000E+015 4.188E-003 
33FR 33fr.dat 340 34.1 2.158E+001 8.338E+002 9.064E-009 1.000E+015 3.886E-003 
34FR 34fr.dat 340 34.1 2.167E+001 8.324E+002 8.994E-009 1.000E+015 3.602E-003 
35FR 35fr.dat 340 34.1 2.174E+001 8.640E+002 8.796E-009 1.000E+015 3.395E-003 
36FR 36fr.dat 340 34.1 2.169E+001 8.552E+002 8.917E-009 1.000E+015 3.467E-003 
37FR 37fr.dat 340 34.1 2.155E+001 8.474E+002 9.077E-009 1.000E+015 3.157E-003 
38FR 38fr.dat 340 34.1 2.158E+001 8.422E+002 8.916E-009 1.000E+015 3.861E-003 
39FR 39fr.dat 340 34.1 2.148E+001 8.275E+002 9.064E-009 1.000E+015 3.736E-003 
40FR 40fr.dat 340 34.1 2.152E+001 8.392E+002 9.028E-009 1.000E+015 4.110E-003 
41FR 41fr.dat 340 34.1 2.165E+001 8.498E+002 8.916E-009 1.000E+015 3.791E-003 
42FR 42fr.dat 340 34.1 2.158E+001 8.550E+002 9.038E-009 1.000E+015 3.893E-003 
43FR 43fr.dat 340 34.1 2.157E+001 8.504E+002 8.898E-009 1.000E+015 3.664E-003 
44FR 44fr.dat 339.8 34.12 2.159E+001 8.745E+002 8.839E-009 1.000E+015 3.749E-003 
45FR 45fr.dat 340 34.1 2.160E+001 8.568E+002 8.797E-009 1.000E+015 4.230E-003 
46FR 46fr.dat 340.2 34.08 2.151E+001 8.341E+002 9.182E-009 1.000E+015 3.833E-003 
47FR 47fr.dat 340 34.1 2.159E+001 8.452E+002 8.834E-009 1.000E+015 3.516E-003 
48FR 48fr.dat 340 34.1 2.173E+001 8.573E+002 8.693E-009 1.000E+015 3.661E-003 
49FR 49fr.dat 340 34.1 2.166E+001 8.607E+002 8.708E-009 1.000E+015 3.492E-003 
50FR 50fr.dat 340.1 34.09 2.156E+001 8.437E+002 8.907E-009 1.000E+015 3.097E-003 
