fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0DT0 8:50:22 304.9 38.03 1.000E+000 8.853E-001 5.254E-006 7.200E+002 2.600E+000 3.493E-008 4.477E-004 
0DT1 8:52:18 304.9 38.03 1.000E+000 9.055E-001 5.020E-006 7.200E+002 2.616E+000 3.417E-008 5.476E-004 
0DT2 8:54:10 304.9 38.03 1.000E+000 9.224E-001 4.959E-006 7.200E+002 2.612E+000 3.428E-008 5.247E-004 
0DT3 8:56:04 305 38.01 1.000E+000 9.238E-001 4.993E-006 7.204E+002 2.609E+000 3.459E-008 4.213E-004 
0DT4 8:58:04 305 38.01 1.000E+000 9.676E-001 4.708E-006 7.204E+002 2.615E+000 3.421E-008 4.850E-004 
0DT5 8:59:56 305 38.01 1.000E+000 9.029E-001 5.165E-006 7.204E+002 2.610E+000 3.449E-008 4.558E-004 
0DT6 9:02:00 304.9 38.03 1.000E+000 9.273E-001 4.979E-006 7.200E+002 2.608E+000 3.442E-008 4.707E-004 
0DT7 9:03:58 304.8 38.04 1.000E+000 9.557E-001 4.784E-006 7.195E+002 2.618E+000 3.384E-008 4.122E-004 
0DT8 9:05:58 304.8 38.04 1.000E+000 9.502E-001 4.938E-006 7.195E+002 2.617E+000 3.401E-008 5.568E-004 
0DT9 9:07:50 304.9 38.03 1.000E+000 9.334E-001 5.099E-006 7.200E+002 2.615E+000 3.419E-008 5.422E-004 
0T00 8:19:06 292.3 39.67 1.000E+000 8.890E-001 4.742E-006 6.592E+002 2.699E+000 2.044E-008 5.101E-004 
