fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L1 29488 294.02 39.433 1.506830213E-06 4.905377402E+00 1.203267923E+04 6.977553585E-05 3.536526534E+00 3.257131549E+03 0.000000000E+00 3.235134887E-04 4.806259119E-01 2.920034788E-04 3.290053955E-01 4.617407743E-05 2.551341789E-01 1.809763184E-04 9.086073923E-03 
00L2 30136 295.03 39.298 5.311322875E-07 4.569684749E+00 8.912396693E+03 7.333615848E-05 3.647905577E+00 3.083023758E+03 0.000000000E+00 3.267323946E-04 4.792975140E-01 2.927937399E-04 3.315539512E-01 4.652872706E-05 2.552811514E-01 1.822560645E-04 1.958218799E-01 
00L3 30778 296 39.17 1.794940256E-06 4.911523965E+00 1.250602073E+04 7.796413150E-05 3.626357059E+00 2.913174393E+03 0.000000000E+00 3.233066326E-04 4.777823483E-01 2.929060247E-04 3.329284764E-01 4.659178493E-05 2.572581156E-01 1.811088087E-04 5.734572286E-02 
00L4 31416 297.02 39.035 8.558507172E-07 4.656050571E+00 9.996738396E+03 8.112275010E-05 3.707668431E+00 2.727853830E+03 0.000000000E+00 3.247251684E-04 4.764388199E-01 2.931837511E-04 3.362325526E-01 4.696634836E-05 2.573706764E-01 1.824805159E-04 8.163182416E-03 
00L5 32050 298.02 38.904 3.143656622E-08 3.663593988E+00 5.919831215E+03 9.106242434E-05 4.442072495E+00 2.730769628E+03 0.000000000E+00 3.328843691E-04 4.754013008E-01 2.930940864E-04 3.379850046E-01 4.709392134E-05 2.596230624E-01 1.813903200E-04 2.074468603E-01 
00L6 32690 299.03 38.773 5.317641171E-06 5.242233903E+00 1.618638195E+04 8.951079916E-05 3.463456573E+00 2.425178475E+03 0.000000000E+00 3.182506899E-04 4.740974869E-01 2.930375117E-04 3.385579229E-01 4.703529287E-05 2.617784616E-01 1.796735234E-04 8.868393701E-02 
00L7 33328 300.05 38.641 5.026833340E-06 5.301764248E+00 1.387988589E+04 9.000813984E-05 3.281816716E+00 2.258636273E+03 0.000000000E+00 3.196834235E-04 4.728097466E-01 2.930495335E-04 3.414104494E-01 4.730469690E-05 2.593565079E-01 1.823907475E-04 6.120525598E-02 
00L8 33956 301.03 38.515 5.268107870E-07 4.470933269E+00 7.841264381E+03 9.717212298E-05 3.658244538E+00 2.163278397E+03 0.000000000E+00 3.251597243E-04 4.716554173E-01 2.934687571E-04 3.446575054E-01 4.770615775E-05 2.589764966E-01 1.842099781E-04 1.254852336E-02 
00L9 34592 302.05 38.385 4.621200119E-06 5.223958930E+00 1.326779638E+04 9.933503312E-05 3.272064148E+00 2.032048849E+03 0.000000000E+00 3.180835891E-04 4.700677692E-01 2.925613608E-04 3.460313906E-01 4.758750547E-05 2.616841771E-01 1.818523188E-04 1.192300755E-02 
0L10 35224 303.03 38.261 1.892632951E-06 4.839621532E+00 1.096765659E+04 1.096678610E-04 3.649891431E+00 2.026269825E+03 0.000000000E+00 3.202522068E-04 4.688211880E-01 2.922917523E-04 3.476038238E-01 4.763304412E-05 2.627874667E-01 1.812642594E-04 1.636042192E-02 
0L11 35844 304.02 38.136 1.375350655E-07 3.991450300E+00 6.466434038E+03 1.216682304E-04 4.268667252E+00 2.020002859E+03 0.000000000E+00 3.251792185E-04 4.673035366E-01 2.914762627E-04 3.484636225E-01 4.746349421E-05 2.604603116E-01 1.822307112E-04 4.643793660E-01 
0L12 36486 305.05 38.008 3.228255714E-06 5.062702997E+00 1.155452424E+04 1.207635288E-04 3.488038141E+00 1.831054118E+03 0.000000000E+00 3.190281455E-04 4.656670113E-01 2.924370524E-04 3.487392024E-01 4.749070761E-05 2.590494452E-01 1.833256509E-04 1.677060179E-01 
0L13 37122 306.03 37.886 1.753708678E-06 4.753976651E+00 1.106940978E+04 1.388689369E-04 4.061853010E+00 1.855579348E+03 0.000000000E+00 3.200600327E-04 4.648870682E-01 2.921971805E-04 3.510657961E-01 4.768831805E-05 2.613756472E-01 1.824512509E-04 8.380652446E-03 
0L14 37752 307.02 37.764 4.569057977E-06 5.053524639E+00 1.399894907E+04 1.377603411E-04 3.748990302E+00 1.709112826E+03 0.000000000E+00 3.162716163E-04 4.635902920E-01 2.920017915E-04 3.522162600E-01 4.767923186E-05 2.629197824E-01 1.813462013E-04 1.656950832E-01 
0L15 38360 308.04 37.639 3.011768547E-06 4.915908977E+00 1.233909201E+04 1.523268607E-04 3.996834307E+00 1.687606398E+03 0.000000000E+00 3.184302159E-04 4.616944958E-01 2.923387219E-04 3.540485370E-01 4.778634839E-05 2.628993624E-01 1.817620544E-04 7.001237350E-02 
0L16 38996 309.03 37.518 2.573949917E-05 5.670084419E+00 2.501627246E+04 1.545162400E-04 3.392217018E+00 1.549544496E+03 0.000000000E+00 2.967421152E-04 4.602785732E-01 2.921574698E-04 3.551335824E-01 4.775617063E-05 2.607202314E-01 1.831711047E-04 1.056971281E-02 
0L17 39626 310 37.401 7.223281600E-06 5.219056608E+00 1.617223701E+04 1.771384445E-04 3.951203233E+00 1.596915454E+03 0.000000000E+00 3.142367860E-04 4.593874466E-01 2.919749221E-04 3.568654760E-01 4.786622851E-05 2.608288074E-01 1.835135886E-04 6.088297980E-03 
