fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 40930 319.38 36.302 1.121429071E+00 2.389039665E+00 5.789653989E-09 1.855609631E+06 1.417143087E-04 3.125151596E-01 1.417143087E-04 6.946360794E-01 3.076395225E-05 2.449859514E-01 1.255708906E-04 2.571866791E-02 
00L2 41066 319.59 36.278 1.124276952E+00 2.371382168E+00 6.086959096E-09 2.733804316E+18 1.420889506E-04 3.206831093E-01 1.420889506E-04 6.755145352E-01 3.078017543E-05 2.448144812E-01 1.257749427E-04 1.992903341E+00 
00L3 41166 319.67 36.269 1.134395897E+00 2.332408914E+00 6.876391692E-09 7.194165953E+19 1.419872187E-04 3.121692589E-01 1.419808106E-04 6.955575324E-01 3.082853185E-05 2.452257635E-01 1.257173602E-04 5.428651637E-02 
00L4 41266 319.74 36.261 1.124655809E+00 2.350377417E+00 6.177545431E-09 9.293652710E+19 1.419377513E-04 3.121288750E-01 1.419377513E-04 6.951099606E-01 3.079536666E-05 2.451768160E-01 1.256045186E-04 3.121194925E-02 
00L5 41366 319.8 36.255 1.124851626E+00 2.345294177E+00 6.217811561E-09 2.427936269E+18 1.418897053E-04 3.120848198E-01 1.418897053E-04 6.950279439E-01 3.077696547E-05 2.450027706E-01 1.256189063E-04 3.360519890E-02 
00L6 41466 319.83 36.251 1.123867825E+00 2.338448687E+00 6.157737533E-09 2.634014441E+17 1.419791910E-04 3.206877953E-01 1.419791910E-04 6.740607777E-01 3.069065704E-05 2.449268450E-01 1.253548542E-04 2.074396857E+00 
00L7 41574 319.85 36.249 1.123058888E+00 2.337623391E+00 6.114938465E-09 2.116119443E+06 1.422016993E-04 3.205564339E-01 1.422016993E-04 6.739262241E-01 3.072003034E-05 2.445900614E-01 1.256403191E-04 1.948475769E+00 
00L8 41668 319.9 36.243 1.121572151E+00 2.336261975E+00 6.009077727E-09 1.832515067E+17 1.425794848E-04 3.121468529E-01 1.425794848E-04 6.937535575E-01 3.087601370E-05 2.447909103E-01 1.261306766E-04 2.472986439E-02 
00L9 41770 319.93 36.24 1.136455769E+00 2.296163057E+00 7.151235543E-09 6.803924805E+19 1.424817963E-04 3.121777878E-01 1.424517417E-04 6.948662323E-01 3.090088869E-05 2.442040224E-01 1.265352553E-04 6.442347780E-02 
0L10 41868 319.95 36.238 1.121877198E+00 2.331839293E+00 6.049753516E-09 9.985748510E+19 1.423626754E-04 3.205568771E-01 1.423626754E-04 6.757488757E-01 3.083802607E-05 2.449616316E-01 1.259380972E-04 1.916597519E+00 
0L11 41972 319.96 36.236 1.124360472E+00 2.322864839E+00 6.231633002E-09 9.360205795E+19 1.421280240E-04 3.120725822E-01 1.421280240E-04 6.952069945E-01 3.083539141E-05 2.442951448E-01 1.262183313E-04 3.267521423E-02 
0L12 42070 319.97 36.235 1.121302403E+00 2.328104572E+00 6.020276935E-09 8.626069456E+05 1.422599992E-04 3.206050392E-01 1.422599992E-04 6.760726731E-01 3.083518286E-05 2.452660913E-01 1.257467699E-04 1.945994816E+00 
0L13 42202 320.14 36.216 1.119401856E+00 2.553061443E+00 5.249527359E-09 3.323466327E+19 1.373882396E-04 3.160223045E-01 1.373882396E-04 6.936864089E-01 3.011830177E-05 2.477313766E-01 1.215739864E-04 4.108137860E-02 
0L14 42336 319.87 36.247 1.121763765E+00 2.605580724E+00 5.170075977E-09 9.776700817E+19 1.374690281E-04 3.168765793E-01 1.374690281E-04 6.960615503E-01 3.032093907E-05 2.487140060E-01 1.219058439E-04 5.167462121E-02 
0L15 42434 319.92 36.241 1.120579828E+00 2.608214390E+00 5.122540102E-09 8.660720404E+19 1.376927429E-04 3.170012718E-01 1.376927429E-04 6.952831803E-01 3.034825883E-05 2.482545673E-01 1.222437987E-04 5.199371958E-02 
