fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
00D1 40952 319.44 36.295 1.000000000E+00 2.447382865E+00 3.109737081E-10 8.003423340E+05 1.155772244E+00 6.309612878E-09 9.097267661E-03 
00D2 41084 319.59 36.278 1.000000000E+00 2.368782962E+00 3.658225945E-25 8.029605302E+05 1.123074663E+00 5.952185351E-09 1.904245825E-02 
00D3 41182 319.67 36.269 1.000000000E+00 2.454022121E+00 4.441867046E-10 8.745756409E+05 1.170971774E+00 6.619428287E-09 4.809581013E-02 
00D4 41282 319.74 36.261 1.000000000E+00 2.459811654E+00 5.191253789E-10 8.857231646E+05 1.187274405E+00 7.048920152E-09 5.060211853E-02 
00D5 41382 319.79 36.256 1.000000000E+00 2.450282948E+00 4.965897080E-10 8.798213977E+05 1.183522894E+00 7.034718269E-09 4.983553656E-02 
00D6 41486 319.85 36.249 1.000000000E+00 2.414893983E+00 3.863261854E-10 8.392774552E+05 1.164384493E+00 6.622334852E-09 9.522832277E-03 
00D7 41590 319.87 36.247 1.000000000E+00 2.437195672E+00 4.673703062E-10 8.472368352E+05 1.174977698E+00 6.770767771E-09 1.891155198E-02 
00D8 41682 319.92 36.241 1.000000000E+00 2.452812487E+00 5.835387780E-10 8.786306624E+05 1.194134278E+00 7.129327755E-09 5.486032241E-02 
00D9 41786 319.94 36.239 1.000000000E+00 2.417540433E+00 4.074964362E-10 8.232921504E+05 1.165800264E+00 6.650401922E-09 8.474482012E-03 
0D10 41884 319.95 36.238 1.000000000E+00 2.458594671E+00 5.362801961E-10 8.661074562E+05 1.185671816E+00 7.023963214E-09 8.618849321E-03 
0D11 41992 319.97 36.235 1.000000000E+00 2.389072721E+00 2.795944744E-10 8.019809552E+05 1.147558884E+00 6.256615246E-09 1.624193200E-02 
0D12 42086 319.97 36.235 1.000000000E+00 2.434183619E+00 5.215871829E-10 8.244908840E+05 1.181278148E+00 6.880573765E-09 1.315445388E-02 
0D13 42218 320.03 36.228 1.000000000E+00 2.731028654E+00 5.900412478E-10 9.712213200E+05 1.214350430E+00 6.556855395E-09 2.409328538E-02 
0D14 42356 319.85 36.249 1.000000000E+00 2.796476034E+00 5.465302436E-10 8.650949658E+05 1.195476771E+00 5.745782675E-09 6.164332694E-02 
0D15 42452 319.92 36.241 1.000000000E+00 2.737826492E+00 5.169198731E-10 8.837638012E+05 1.196195426E+00 6.078899496E-09 3.516773181E-02 
0D16 42552 319.99 36.233 1.000000000E+00 2.812311430E+00 5.771496473E-10 8.864823637E+05 1.209485231E+00 6.331448583E-09 4.148726616E-02 
0D17 42654 320 36.232 1.000000000E+00 2.762473814E+00 6.006200071E-10 9.734087611E+05 1.223170381E+00 6.744561055E-09 3.658273366E-02 
0D18 42752 320.02 36.23 1.000000000E+00 2.693426539E+00 4.340992442E-10 8.486199987E+05 1.176311460E+00 5.672309990E-09 1.069048573E-02 
0D19 42848 320 36.232 1.000000000E+00 2.725449028E+00 4.702333202E-10 8.748979515E+05 1.185536784E+00 5.882218053E-09 1.346923647E-02 
0D20 42950 320.03 36.228 1.000000000E+00 2.593001570E+00 1.141942216E-25 7.435450924E+05 1.119549407E+00 5.018610015E-09 2.297395314E-02 
0D21 43054 320.03 36.228 1.000000000E+00 2.575629487E+00 1.060504532E-25 7.807684430E+05 1.121049228E+00 5.086285763E-09 6.208722154E-02 
0D22 43150 320.03 36.228 1.000000000E+00 2.708062134E+00 4.969625160E-10 8.724199942E+05 1.197323514E+00 6.250313431E-09 1.541625889E-02 
0D23 43248 320.04 36.227 1.000000000E+00 2.742122956E+00 5.508586449E-10 8.692640771E+05 1.206369035E+00 6.350490631E-09 5.060509764E-02 
0D24 43346 320.02 36.23 1.000000000E+00 2.562262175E+00 1.079171645E-25 7.720848346E+05 1.121572848E+00 5.091901872E-09 6.038041849E-02 
0D25 43450 320.04 36.227 1.000000000E+00 2.654268906E+00 3.656433400E-10 8.203464010E+05 1.169136648E+00 5.677333168E-09 1.138366710E-02 
0D26 43552 320.03 36.228 1.000000000E+00 2.667671649E+00 3.424435981E-10 8.050886565E+05 1.162079080E+00 5.459501518E-09 1.174446365E-02 
0D27 43652 320.03 36.228 1.000000000E+00 2.568363619E+00 7.887319328E-26 7.828301603E+05 1.119762033E+00 4.974594849E-09 2.616199564E-02 
