N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.265282751E+00 1.261898546E+00 1.257464154E+00 1.255209330E+00
1.016672606E+01 1.276605860E+00 1.273820635E+00 1.269915582E+00 1.268187780E+00
1.033324570E+01 1.285500265E+00 1.283135634E+00 1.279619024E+00 1.278287321E+00
1.049996187E+01 1.292663193E+00 1.290554070E+00 1.287292077E+00 1.286233368E+00
1.066670514E+01 1.298640957E+00 1.296651871E+00 1.293535469E+00 1.292650795E+00
1.083333839E+01 1.303803641E+00 1.301838696E+00 1.298793572E+00 1.298016604E+00
1.100000000E+01 1.308370662E+00 1.306380544E+00 1.303372449E+00 1.302672776E+00
1.116672606E+01 1.312469861E+00 1.310454960E+00 1.307490107E+00 1.306871558E+00
1.133324570E+01 1.316204785E+00 1.314211563E+00 1.311330567E+00 1.310823258E+00
1.149996187E+01 1.319703061E+00 1.317812116E+00 1.315076743E+00 1.314723312E+00
1.166670514E+01 1.323131684E+00 1.321438491E+00 1.318913069E+00 1.318751495E+00
1.183333839E+01 1.326682368E+00 1.325273513E+00 1.323004717E+00 1.323052414E+00
1.200000000E+01 1.330539351E+00 1.329468645E+00 1.327469332E+00 1.327714389E+00
1.216672606E+01 1.334842617E+00 1.334114167E+00 1.332358047E+00 1.332762015E+00
1.233324570E+01 1.339659288E+00 1.339225759E+00 1.337656981E+00 1.338168715E+00
1.249996187E+01 1.344975278E+00 1.344755262E+00 1.343309265E+00 1.343882040E+00
1.266670514E+01 1.350713100E+00 1.350620374E+00 1.349244261E+00 1.349846239E+00
1.283333839E+01 1.356767480E+00 1.356735674E+00 1.355397127E+00 1.356011511E+00
1.300000000E+01 1.363038228E+00 1.363028828E+00 1.361712846E+00 1.362332393E+00
