T d154 d184 d214 d244
d 150 180 210 240
290 3.047275000E-03 2.501282000E-03 2.126958000E-03 1.871681000E-03
295 2.827916000E-03 2.381841000E-03 2.053168000E-03 1.825370000E-03
300 2.769796000E-03 2.354921000E-03 2.157011000E-03 1.908787000E-03
305 2.796423000E-03 2.438583000E-03 2.351518000E-03 2.088159000E-03
310 2.919655000E-03 2.609945000E-03 2.615199000E-03 2.495707000E-03
315 3.107208000E-03 2.849364000E-03 2.679763000E-03 3.006302000E-03
320 3.440651000E-03 3.217014000E-03 3.065001000E-03 3.356991000E-03
325 3.869314000E-03 3.660902000E-03 3.514660000E-03 3.405300000E-03
330 4.325641000E-03 4.117153000E-03 3.959870000E-03 3.828100000E-03
335 4.785606000E-03 4.523228000E-03 4.331168000E-03 4.156472000E-03
340 5.126430000E-03 4.621770000E-03 4.337027000E-03 4.081823000E-03
