fname time Tem kT_1 Voc Isc Pm Vm Im FF rmsre 
L711 54829167.673 340.22 34.079 2.420134000E-01 1.557991636E-04 2.242926811E-05 1.799970799E-01 1.246089919E-04 5.948542480E-01 0.000000000E+00 
L712 54854482.79 340.07 34.094 2.431311001E-01 1.565876143E-04 2.283195865E-05 1.816780290E-01 1.256755428E-04 5.997154627E-01 0.000000000E+00 
L713 54875483.881 339.97 34.104 2.438090150E-01 1.572467973E-04 2.307563961E-05 1.818292925E-01 1.269218141E-04 6.018970001E-01 0.000000000E+00 
L714 54896487.03 339.91 34.11 2.453382958E-01 1.579524846E-04 2.325148135E-05 1.834382802E-01 1.267548901E-04 6.000104591E-01 0.000000000E+00 
L715 54917475.119 339.87 34.114 2.448392045E-01 1.589450504E-04 2.338119686E-05 1.809201888E-01 1.292387195E-04 6.008122383E-01 0.000000000E+00 
L716 54938476.588 339.81 34.12 2.459516067E-01 1.595917368E-04 2.354051634E-05 1.820854268E-01 1.292778655E-04 5.997302008E-01 0.000000000E+00 
L717 54959476.898 339.8 34.121 2.458630303E-01 1.602862460E-04 2.374255977E-05 1.819293917E-01 1.305066631E-04 6.024736433E-01 0.000000000E+00 
L718 54980480.183 339.79 34.122 2.465110550E-01 1.610607149E-04 2.386413870E-05 1.841887754E-01 1.295872170E-04 6.010626498E-01 0.000000000E+00 
L719 55001478.558 339.78 34.123 2.470653370E-01 1.620049205E-04 2.415607095E-05 1.851821237E-01 1.304504779E-04 6.035125042E-01 0.000000000E+00 
L720 55022709.622 339.78 34.123 2.479576360E-01 1.626300098E-04 2.432518604E-05 1.859904759E-01 1.307832561E-04 6.032231430E-01 0.000000000E+00 
L721 55043712.518 339.79 34.122 2.482837120E-01 1.635860017E-04 2.454990883E-05 1.864050376E-01 1.316956779E-04 6.044432281E-01 0.000000000E+00 
L722 55064711.534 339.8 34.121 2.482294798E-01 1.641980549E-04 2.465350141E-05 1.870184177E-01 1.318403846E-04 6.048633124E-01 0.000000000E+00 
L723 55085712.28 339.8 34.121 2.493801625E-01 1.644964128E-04 2.470951179E-05 1.868502281E-01 1.322536448E-04 6.023457212E-01 0.000000000E+00 
L724 55106713.961 339.84 34.117 2.487540233E-01 1.653312800E-04 2.483911322E-05 1.871503331E-01 1.327374372E-04 6.039638506E-01 0.000000000E+00 
L725 55127713.566 339.85 34.116 2.492129630E-01 1.660073543E-04 2.493161416E-05 1.865711218E-01 1.336315131E-04 6.026323484E-01 0.000000000E+00 
L726 55148704.538 339.87 34.114 2.498103881E-01 1.667309443E-04 2.515741174E-05 1.876270444E-01 1.340904729E-04 6.040032200E-01 0.000000000E+00 
L727 55169804.78 339.88 34.113 2.509174747E-01 1.685058479E-04 2.534949596E-05 1.871397139E-01 1.354512707E-04 5.995472882E-01 0.000000000E+00 
L728 55190710.589 339.9 34.111 2.503108103E-01 1.690777478E-04 2.548104596E-05 1.874689476E-01 1.359172751E-04 6.020758271E-01 1.681888695E-17 
L729 55211707.808 339.92 34.109 2.511772990E-01 1.691601311E-04 2.577393027E-05 1.869484325E-01 1.378569806E-04 6.065997824E-01 0.000000000E+00 
L730 55232707.556 339.93 34.108 2.514927605E-01 1.697178335E-04 2.599723385E-05 1.892486121E-01 1.373682842E-04 6.090797679E-01 0.000000000E+00 
L731 55253709.557 339.94 34.107 2.513349286E-01 1.706463053E-04 2.598810261E-05 1.890336834E-01 1.374821567E-04 6.059333208E-01 0.000000000E+00 
L732 55274709.266 339.95 34.106 2.517948494E-01 1.712299712E-04 2.602390272E-05 1.881063451E-01 1.383586235E-04 6.035952328E-01 0.000000000E+00 
L733 55295573.497 339.97 34.104 2.526344698E-01 1.720480018E-04 2.636425189E-05 1.892999558E-01 1.392756539E-04 6.065592266E-01 0.000000000E+00 
L734 55316480.312 339.99 34.102 2.530411958E-01 1.728670505E-04 2.654984846E-05 1.892273083E-01 1.403096165E-04 6.069579350E-01 0.000000000E+00 
L735 55337481.686 340 34.101 2.529520315E-01 1.732005521E-04 2.660316438E-05 1.900595495E-01 1.399720822E-04 6.072197017E-01 0.000000000E+00 
L736 55358471.954 340.01 34.1 2.537512725E-01 1.735148591E-04 2.678779794E-05 1.907515628E-01 1.404342605E-04 6.084040744E-01 0.000000000E+00 
L737 55379472.842 340.01 34.1 2.540695774E-01 1.741128935E-04 2.685218294E-05 1.918419006E-01 1.399573931E-04 6.070102144E-01 0.000000000E+00 
L738 55400474.17 340.02 34.099 2.542630357E-01 1.748887808E-04 2.698580210E-05 1.914465393E-01 1.409513158E-04 6.068622924E-01 0.000000000E+00 
L739 55421474.276 340.03 34.098 2.545870339E-01 1.756027552E-04 2.720574519E-05 1.915522651E-01 1.420248262E-04 6.085454492E-01 0.000000000E+00 
L740 55442475.542 340.03 34.098 2.542095569E-01 1.763153950E-04 2.735341220E-05 1.901836747E-01 1.438265895E-04 6.102803715E-01 0.000000000E+00 
L741 55463475.894 340.03 34.098 2.545883835E-01 1.769784593E-04 2.745771258E-05 1.913664507E-01 1.434880059E-04 6.094040848E-01 0.000000000E+00 
L742 55484477.6 340.04 34.097 2.557885405E-01 1.773685974E-04 2.765596634E-05 1.926577621E-01 1.435453303E-04 6.095804390E-01 0.000000000E+00 
L743 55505477.872 340.03 34.098 2.558098017E-01 1.782164938E-04 2.779218823E-05 1.913190279E-01 1.452657824E-04 6.096178378E-01 0.000000000E+00 
L744 55526480.148 340.04 34.097 2.556186468E-01 1.789009814E-04 2.789121791E-05 1.919373331E-01 1.453141947E-04 6.099050429E-01 0.000000000E+00 
L745 55547479.243 340.05 34.096 2.558337735E-01 1.795771026E-04 2.811075100E-05 1.905016925E-01 1.475643158E-04 6.118762713E-01 0.000000000E+00 
L746 55568469.995 340.03 34.098 2.567439886E-01 1.796223667E-04 2.822716942E-05 1.932723316E-01 1.460504454E-04 6.120778051E-01 0.000000000E+00 
