Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+10 1.216783220E+00 1.210303561E+0 6.479659000E-03 1.216783220E+00 1.210303561E+0 6.479659000E-03
1.468000015E+10 1.216790168E+00 1.211650400E+0 5.139768000E-03 1.216790168E+00 1.211650400E+0 5.139768000E-03
2.154000005E+10 1.216800216E+00 1.212982104E+0 3.818112000E-03 1.216800216E+00 1.212982104E+0 3.818112000E-03
3.162000032E+10 1.216814772E+00 1.214302246E+0 2.512526000E-03 1.216814772E+00 1.214302246E+0 2.512526000E-03
4.642000041E+10 1.216835834E+00 1.215609793E+0 1.226041000E-03 1.216835834E+00 1.215609793E+0 1.226041000E-03
6.813000017E+10 1.216866225E+00 1.216904001E+0 -3.777600000E-05 1.216866225E+00 1.216904001E+0 -3.777600000E-05
1.000000000E+11 1.216909714E+00 1.218186261E+0 -1.276547000E-03 1.216909714E+00 1.218186261E+0 -1.276547000E-03
1.468000015E+11 1.216971331E+00 1.219457138E+0 -2.485807000E-03 1.216971331E+00 1.219457138E+0 -2.485807000E-03
2.154000005E+11 1.217057402E+00 1.220714867E+0 -3.657465000E-03 1.217057402E+00 1.220714867E+0 -3.657465000E-03
3.162000032E+11 1.217174983E+00 1.221962765E+0 -4.787782000E-03 1.217174983E+00 1.221962765E+0 -4.787782000E-03
4.642000041E+11 1.217331276E+00 1.223199806E+0 -5.868530000E-03 1.217331276E+00 1.223199806E+0 -5.868530000E-03
6.813000017E+11 1.217531320E+00 1.224425234E+0 -6.893914000E-03 1.217531320E+00 1.224425234E+0 -6.893914000E-03
1.000000000E+12 1.217775620E+00 1.225640319E+0 -7.864699000E-03 1.217775620E+00 1.225640319E+0 -7.864699000E-03
1.468000015E+12 1.218057575E+00 1.226845551E+0 -8.787976000E-03 1.218057575E+00 1.226845551E+0 -8.787976000E-03
2.154000005E+12 1.218365355E+00 1.228039213E+0 -9.673858000E-03 1.218365355E+00 1.228039213E+0 -9.673858000E-03
3.162000032E+12 1.229564660E+00 1.229224412E+0 3.402480000E-04 1.229564660E+00 1.229224412E+0 3.402480000E-04
4.642000041E+12 1.229946321E+00 1.230400136E+0 -4.538150000E-04 1.229946321E+00 1.230400136E+0 -4.538150000E-04
6.813000017E+12 1.230255224E+00 1.231565630E+0 -1.310406000E-03 1.230255224E+00 1.231565630E+0 -1.310406000E-03
1.000000000E+13 1.234796277E+00 1.232722066E+0 2.074211000E-03 1.234796277E+00 1.232722066E+0 2.074211000E-03
